frame,gazeStartPos,
0,"[4.86297,2.189697,3.984014]",
1,"[4.86297,2.189697,3.984014]",
2,"[4.854026,2.181644,3.983997]",
3,"[4.847323,2.175186,3.983983]",
4,"[4.843544,2.169325,3.983971]",
5,"[4.845554,2.163366,3.983958]",
6,"[4.849119,2.154061,3.983939]",
7,"[4.849119,2.154061,3.983939]",
8,"[4.851423,2.147818,3.983926]",
9,"[4.855618,2.137838,3.983905]",
10,"[4.857813,2.133353,3.983896]",
11,"[4.862274,2.125135,3.983878]",
12,"[4.86425,2.121177,3.98387]",
13,"[4.867369,2.114897,3.983857]",
14,"[4.868676,2.11295,3.983853]",
15,"[4.871149,2.109944,3.983847]",
16,"[4.872658,2.108662,3.983844]",
17,"[4.87494,2.106938,3.98384]",
18,"[4.875853,2.106347,3.983839]",
19,"[4.876549,2.105733,3.983838]",
20,"[4.877478,2.104792,3.983836]",
21,"[4.876621,2.102132,3.98383]",
22,"[4.875044,2.097657,3.983821]",
23,"[4.874297,2.095722,3.983817]",
24,"[4.873504,2.093279,3.983812]",
25,"[4.873366,2.092283,3.983809]",
26,"[4.87561,2.089561,3.983804]",
27,"[4.876381,2.08815,3.983801]",
28,"[4.877514,2.086812,3.983798]",
29,"[4.879928,2.084357,3.983793]",
30,"[4.881141,2.083318,3.983791]",
31,"[4.883374,2.081877,3.983788]",
32,"[4.884598,2.080662,3.983785]",
33,"[4.88653,2.077926,3.983779]",
34,"[4.887105,2.076456,3.983776]",
35,"[4.887345,2.075043,3.983773]",
36,"[4.886024,2.07109,3.983765]",
37,"[4.884108,2.067842,3.983758]",
38,"[4.877816,2.059821,3.983742]",
39,"[4.873703,2.055829,3.983733]",
40,"[4.865099,2.049346,3.98372]",
41,"[4.862035,2.047772,3.983716]",
42,"[4.856348,2.045229,3.983711]",
43,"[4.85317,2.043435,3.983707]",
44,"[4.849759,2.040753,3.983702]",
45,"[4.841609,2.034693,3.983689]",
46,"[4.83551,2.009824,3.983637]",
47,"[4.832611,1.890882,3.983388]",
48,"[4.830575,1.868191,3.98334]",
49,"[4.826677,1.843772,3.983289]",
50,"[4.825694,1.840022,3.983281]",
51,"[4.822736,1.832764,3.983266]",
52,"[4.820597,1.829039,3.983258]",
53,"[4.818038,1.825598,3.983251]",
54,"[4.817254,1.822643,3.983245]",
55,"[4.816219,1.821412,3.983242]",
56,"[4.813263,1.821928,3.983243]",
57,"[4.809846,1.822548,3.983245]",
58,"[4.805535,1.822842,3.983245]",
59,"[4.794961,1.826403,3.983253]",
60,"[4.788579,1.828199,3.983256]",
61,"[4.781478,1.830611,3.983262]",
62,"[4.775665,1.831859,3.983264]",
63,"[4.768387,1.832791,3.983266]",
64,"[4.763306,1.832486,3.983265]",
65,"[4.751916,1.829833,3.98326]",
66,"[4.746363,1.827478,3.983255]",
67,"[4.742051,1.823008,3.983246]",
68,"[4.736571,1.81537,3.98323]",
69,"[4.737823,1.812084,3.983223]",
70,"[4.740413,1.808181,3.983215]",
71,"[4.742198,1.806895,3.983212]",
72,"[4.745633,1.807798,3.983214]",
73,"[4.747077,1.808427,3.983215]",
74,"[4.748413,1.809352,3.983217]",
75,"[4.750888,1.812973,3.983225]",
76,"[4.751916,1.815934,3.983231]",
77,"[4.734022,1.827682,3.983255]",
78,"[4.7261,1.832557,3.983266]",
79,"[4.711914,1.841858,3.983285]",
80,"[4.70507,1.844733,3.983291]",
81,"[4.693371,1.849039,3.9833]",
82,"[4.687442,1.8509,3.983304]",
83,"[4.683474,1.851713,3.983306]",
84,"[4.678378,1.852192,3.983307]",
85,"[4.674941,1.852461,3.983307]",
86,"[4.672141,1.850431,3.983303]",
87,"[4.670894,1.849353,3.983301]",
88,"[4.66832,1.847471,3.983297]",
89,"[4.666896,1.846061,3.983294]",
90,"[4.665285,1.844734,3.983291]",
91,"[4.664668,1.843346,3.983288]",
92,"[4.664116,1.842917,3.983287]",
93,"[4.662265,1.842165,3.983286]",
94,"[4.662068,1.842063,3.983285]",
95,"[4.661986,1.842202,3.983286]",
96,"[4.662161,1.842191,3.983286]",
97,"[4.66478,1.919785,3.983448]",
98,"[4.663782,1.960378,3.983533]",
99,"[4.662663,1.968423,3.98355]",
100,"[4.654316,1.973052,3.98356]",
101,"[4.647317,1.972433,3.983559]",
102,"[4.629496,1.957152,3.983526]",
103,"[4.621929,1.949483,3.98351]",
104,"[4.599742,1.903988,3.983415]",
105,"[4.592416,1.879557,3.983364]",
106,"[4.588127,1.863178,3.98333]",
107,"[4.587275,1.840878,3.983283]",
108,"[4.589343,1.833875,3.983268]",
109,"[4.593388,1.824759,3.983249]",
110,"[4.595817,1.820899,3.983241]",
111,"[4.601227,1.81564,3.98323]",
112,"[4.604097,1.813253,3.983225]",
113,"[4.606925,1.811258,3.983221]",
114,"[4.609356,1.809814,3.983218]",
115,"[4.610041,1.809612,3.983217]",
116,"[4.610312,1.809342,3.983217]",
117,"[4.610297,1.80964,3.983217]",
118,"[4.609868,1.810806,3.98322]",
119,"[4.609396,1.811236,3.983221]",
120,"[4.608624,1.81205,3.983223]",
121,"[4.604728,1.815274,3.983229]",
122,"[4.602164,1.817861,3.983235]",
123,"[4.596251,1.825219,3.98325]",
124,"[4.594878,1.828709,3.983258]",
125,"[4.593024,1.834174,3.983269]",
126,"[4.59274,1.835719,3.983272]",
127,"[4.594081,1.837768,3.983277]",
128,"[4.595296,1.83953,3.98328]",
129,"[4.596631,1.840171,3.983282]",
130,"[4.601048,1.841104,3.983284]",
131,"[4.604276,1.841313,3.983284]",
132,"[4.613455,1.840557,3.983282]",
133,"[4.61919,1.83951,3.98328]",
134,"[4.629693,1.838368,3.983278]",
135,"[4.636234,1.836916,3.983275]",
136,"[4.64039,1.835577,3.983272]",
137,"[4.648085,1.832048,3.983264]",
138,"[4.65165,1.829796,3.98326]",
139,"[4.655971,1.82497,3.98325]",
140,"[4.658731,1.821607,3.983243]",
141,"[4.661977,1.813531,3.983226]",
142,"[4.661755,1.813113,3.983225]",
143,"[4.661151,1.812086,3.983223]",
144,"[4.660763,1.811876,3.983222]",
145,"[4.660292,1.811648,3.983222]",
146,"[4.656771,1.811262,3.983221]",
147,"[4.653923,1.810572,3.98322]",
148,"[4.648723,1.808926,3.983216]",
149,"[4.646415,1.808035,3.983214]",
150,"[4.645455,1.804584,3.983207]",
151,"[4.646191,1.802593,3.983203]",
152,"[4.64672,1.801391,3.9832]",
153,"[4.647612,1.799797,3.983197]",
154,"[4.648094,1.799168,3.983196]",
155,"[4.650383,1.798253,3.983194]",
156,"[4.652235,1.798265,3.983194]",
157,"[4.658247,1.799661,3.983197]",
158,"[4.662351,1.801279,3.9832]",
159,"[4.667801,1.80313,3.983204]",
160,"[4.679677,1.807184,3.983212]",
161,"[4.68608,1.809259,3.983217]",
162,"[4.695235,1.811584,3.983222]",
163,"[4.697967,1.811959,3.983222]",
164,"[4.702073,1.812211,3.983223]",
165,"[4.703598,1.812518,3.983224]",
166,"[4.705546,1.81317,3.983225]",
167,"[4.705938,1.813277,3.983225]",
168,"[4.706068,1.813356,3.983225]",
169,"[4.705262,1.813458,3.983226]",
170,"[4.704054,1.813297,3.983225]",
171,"[4.699748,1.811696,3.983222]",
172,"[4.697217,1.810534,3.983219]",
173,"[4.691317,1.806213,3.98321]",
174,"[4.713825,1.927389,3.983464]",
175,"[4.720295,1.95887,3.98353]",
176,"[4.726698,1.985843,3.983587]",
177,"[4.729105,1.993358,3.983602]",
178,"[4.730831,1.992462,3.983601]",
179,"[4.731129,1.977854,3.98357]",
180,"[4.725431,1.918602,3.983446]",
181,"[4.722712,1.893929,3.983394]",
182,"[4.717527,1.86638,3.983336]",
183,"[4.714751,1.857862,3.983319]",
184,"[4.712759,1.851667,3.983306]",
185,"[4.710296,1.844112,3.98329]",
186,"[4.709279,1.84212,3.983286]",
187,"[4.70973,1.838213,3.983277]",
188,"[4.710787,1.836377,3.983274]",
189,"[4.712229,1.830673,3.983262]",
190,"[4.712557,1.828936,3.983258]",
191,"[4.712682,1.827877,3.983256]",
192,"[4.712509,1.826354,3.983253]",
193,"[4.712244,1.825797,3.983251]",
194,"[4.711707,1.825187,3.98325]",
195,"[4.711427,1.825036,3.98325]",
196,"[4.710784,1.82438,3.983248]",
197,"[4.710743,1.82423,3.983248]",
198,"[4.710742,1.824109,3.983248]",
199,"[4.712766,1.823441,3.983247]",
200,"[4.714791,1.822795,3.983245]",
201,"[4.71824,1.822338,3.983244]",
202,"[4.719984,1.821997,3.983243]",
203,"[4.723491,1.8211,3.983242]",
204,"[4.725738,1.820512,3.98324]",
205,"[4.729998,1.818847,3.983237]",
206,"[4.732004,1.817796,3.983235]",
207,"[4.733891,1.816799,3.983232]",
208,"[4.735034,1.815525,3.98323]",
209,"[4.735007,1.814598,3.983228]",
210,"[4.732654,1.813313,3.983225]",
211,"[4.730609,1.813092,3.983225]",
212,"[4.727428,1.813048,3.983225]",
213,"[4.726087,1.813226,3.983225]",
214,"[4.722932,1.81383,3.983226]",
215,"[4.71802,1.815172,3.983229]",
216,"[4.715969,1.816358,3.983232]",
217,"[4.712553,1.818906,3.983237]",
218,"[4.71111,1.820239,3.98324]",
219,"[4.708838,1.822335,3.983244]",
220,"[4.707885,1.823207,3.983246]",
221,"[4.706993,1.82438,3.983248]",
222,"[4.706563,1.824986,3.98325]",
223,"[4.706152,1.825609,3.983251]",
224,"[4.705481,1.826676,3.983253]",
225,"[4.705157,1.827241,3.983254]",
226,"[4.730543,1.824504,3.983249]",
227,"[4.738405,1.823791,3.983247]",
228,"[4.750467,1.822993,3.983246]",
229,"[4.75579,1.822703,3.983245]",
230,"[4.772218,1.820933,3.983241]",
231,"[4.780998,1.819766,3.983239]",
232,"[4.787005,1.818774,3.983237]",
233,"[4.798474,1.816427,3.983232]",
234,"[4.80359,1.815321,3.983229]",
235,"[4.81083,1.813978,3.983227]",
236,"[4.814106,1.813654,3.983226]",
237,"[4.819138,1.813502,3.983226]",
238,"[4.821176,1.813442,3.983226]",
239,"[4.822009,1.813881,3.983227]",
240,"[4.82349,1.814707,3.983228]",
