frame,gazeStartPos,
151,"[4.268019,1.366618,3.98229]",
152,"[4.279756,1.342476,3.982239]",
153,"[4.294709,1.320815,3.982194]",
154,"[4.310766,1.296344,3.965772]",
155,"[4.318675,1.283837,3.958519]",
156,"[4.33817,1.207351,3.957912]",
157,"[4.345047,1.186609,3.913127]",
158,"[4.357529,1.126387,3.911954]",
159,"[4.363445,1.097592,3.911398]",
160,"[4.370131,1.048784,3.91077]",
161,"[4.371915,1.027029,3.910602]",
162,"[4.370793,1.018762,3.910707]",
163,"[4.369946,1.005715,3.910787]",
164,"[4.370338,0.9995241,3.91075]",
165,"[4.387468,0.9935545,3.90914]",
166,"[4.393642,0.9874893,3.90856]",
167,"[4.402511,0.9755154,3.907726]",
168,"[4.404055,0.9706997,3.907581]",
169,"[4.404926,0.962809,3.907499]",
170,"[4.406385,0.9510252,3.907362]",
171,"[4.406684,0.9433926,3.907334]",
172,"[4.435078,0.9164112,3.904665]",
173,"[4.442982,0.9058431,3.903922]",
174,"[4.453616,0.8900676,3.902922]",
175,"[4.449147,0.8819752,3.903342]",
176,"[4.44134,0.8583963,3.904076]",
177,"[4.438889,0.8466008,3.904306]",
178,"[4.50508,0.8111753,3.898084]",
179,"[4.556326,0.7876475,3.893267]",
180,"[4.614915,0.7806653,3.88776]",
181,"[4.67174,0.7910194,3.882418]",
182,"[4.690976,0.8021765,3.88061]",
183,"[4.718455,0.8191065,3.878027]",
184,"[4.729816,0.8241829,3.876959]",
185,"[4.742013,0.8278088,3.875813]",
186,"[4.749033,0.8303025,3.875153]",
187,"[4.747367,0.8310647,3.875309]",
188,"[4.760572,0.831569,3.874068]",
189,"[4.772722,0.830927,3.872926]",
190,"[4.789816,0.8306472,3.871319]",
191,"[4.797527,0.831435,3.870595]",
192,"[4.814182,0.8400955,3.869029]",
193,"[4.817982,0.8497518,3.859376]",
194,"[4.822712,0.8556847,3.853584]",
195,"[4.831577,0.8585347,3.854641]",
196,"[4.834189,0.8602649,3.854952]",
197,"[4.834728,0.8604019,3.855016]",
198,"[4.834997,0.8588737,3.855048]",
199,"[4.836045,0.8572609,3.855173]",
200,"[4.834902,0.8578367,3.855037]",
201,"[4.832274,0.8602421,3.854724]",
202,"[4.830981,0.8616405,3.85457]",
203,"[4.828344,0.8617986,3.854255]",
204,"[4.824258,0.8627683,3.853768]",
205,"[4.821971,0.8617702,3.853495]",
206,"[4.818567,0.8594705,3.854473]",
207,"[4.818079,0.8563876,3.858558]",
208,"[4.831845,0.839142,3.854673]",
209,"[4.843193,0.8257761,3.856026]",
210,"[4.851496,0.8158906,3.857016]",
211,"[4.861714,0.8022019,3.858234]",
212,"[4.865018,0.7970245,3.858628]",
213,"[4.870267,0.7881597,3.859254]",
214,"[4.872272,0.7848391,3.859493]",
215,"[4.874825,0.7806732,3.859798]",
216,"[4.875735,0.7790866,3.859906]",
217,"[4.883596,0.7734119,3.860844]",
218,"[4.894828,0.7645968,3.862183]",
219,"[4.898911,0.7611682,3.86267]",
220,"[4.904469,0.7556968,3.863333]",
221,"[4.906821,0.7532416,3.863613]",
222,"[4.910673,0.7516481,3.864072]",
223,"[4.913177,0.751111,3.864371]",
224,"[4.915481,0.7505601,3.864645]",
225,"[4.920786,0.7493468,3.865278]",
226,"[4.923784,0.7487988,3.865636]",
227,"[4.932947,0.747498,3.866728]",
228,"[4.936989,0.7470174,3.86721]",
229,"[4.945463,0.7483159,3.868221]",
230,"[4.947306,0.7486485,3.868441]",
231,"[4.951338,0.7486945,3.868921]",
232,"[4.953661,0.7486923,3.869198]",
233,"[4.956223,0.7490413,3.869504]",
234,"[4.959621,0.7520897,3.869909]",
235,"[4.961582,0.7545691,3.870143]",
236,"[4.965219,0.7609425,3.870576]",
237,"[4.966945,0.7650904,3.870782]",
238,"[4.970258,0.7753543,3.871177]",
239,"[4.971797,0.7811459,3.871361]",
240,"[4.971754,0.785552,3.871356]",
241,"[4.97183,0.7884366,3.871365]",
242,"[4.971279,0.7901557,3.871299]",
243,"[4.970082,0.7944377,3.871156]",
244,"[4.969385,0.796846,3.871073]",
245,"[4.967341,0.7951065,3.87083]",
246,"[4.966318,0.794395,3.870708]",
247,"[4.96394,0.790618,3.870424]",
248,"[4.959502,0.7889631,3.869895]",
249,"[4.955697,0.7874143,3.869441]",
250,"[4.948611,0.7838352,3.868596]",
251,"[4.945058,0.7807975,3.868172]",
252,"[4.936797,0.7694109,3.867188]",
253,"[4.93089,0.7586336,3.866483]",
254,"[4.921547,0.7315364,3.865369]",
255,"[4.918497,0.7167215,3.865005]",
256,"[4.919872,0.6892025,3.865169]",
257,"[4.921151,0.6762548,3.865322]",
258,"[4.922018,0.6745303,3.865425]",
259,"[4.925633,0.6722731,3.865856]",
260,"[4.928332,0.6706818,3.866178]",
261,"[4.935773,0.6600997,3.867065]",
262,"[4.942154,0.6551523,3.867826]",
263,"[4.959702,0.6608503,3.869919]",
264,"[4.969241,0.6628653,3.871056]",
265,"[4.978733,0.6683454,3.872188]",
266,"[4.995615,0.6806925,3.874201]",
267,"[5.005163,0.6923237,3.87534]",
268,"[5.023232,0.721508,3.877494]",
269,"[5.032444,0.7364318,3.878592]",
270,"[5.046738,0.7577769,3.880297]",
271,"[5.053309,0.766156,3.881081]",
272,"[5.059258,0.7734423,3.88179]",
273,"[5.070758,0.787279,3.883161]",
274,"[5.075852,0.7940198,3.883769]",
275,"[5.083698,0.8075216,3.884704]",
276,"[5.086375,0.8176764,3.885024]",
277,"[5.088849,0.8374533,3.885319]",
278,"[5.088862,0.848072,3.88532]",
279,"[5.08721,0.867227,3.885123]",
280,"[5.085446,0.878087,3.884913]",
281,"[5.083517,0.890048,3.884683]",
282,"[5.078905,0.9132833,3.884133]",
283,"[5.076529,0.9268152,3.883849]",
284,"[5.066065,0.9495199,3.882602]",
285,"[5.059312,0.9625908,3.881797]",
286,"[4.964751,1.00303,3.870521]",
287,"[4.951918,1.014804,3.868991]",
288,"[4.939964,1.011863,3.867565]",
289,"[4.934405,1.017267,3.866902]",
290,"[4.935568,1.022613,3.867041]",
291,"[4.942913,1.035826,3.867917]",
292,"[4.947962,1.043139,3.868519]",
293,"[4.959211,1.057554,3.86986]",
294,"[4.964307,1.063223,3.870468]",
295,"[4.96804,1.068709,3.870913]",
296,"[4.971025,1.072306,3.871269]",
297,"[4.972074,1.069899,3.871394]",
298,"[4.973476,1.061703,3.871561]",
299,"[4.973833,1.057356,3.871604]",
300,"[4.974744,1.047432,3.871712]",
301,"[4.977029,1.03897,3.871985]",
302,"[4.980642,1.024845,3.872416]",
303,"[4.982048,1.019111,3.872583]",
304,"[4.98282,1.014806,3.872675]",
305,"[4.983335,1.008116,3.872737]",
306,"[4.98314,1.004889,3.872714]",
307,"[4.982265,0.9994708,3.872609]",
308,"[4.981516,0.9953743,3.87252]",
309,"[4.980066,0.9894369,3.872347]",
310,"[4.979266,0.9866784,3.872252]",
311,"[4.978799,0.9831665,3.872196]",
312,"[4.978321,0.981172,3.872139]",
313,"[4.977724,0.9803311,3.872068]",
314,"[4.97611,0.9784967,3.871875]",
315,"[4.974731,0.9772437,3.871711]",
316,"[4.972952,0.9766101,3.871499]",
317,"[4.971137,0.9764963,3.871282]",
318,"[4.9709,0.9764311,3.871254]",
319,"[4.969906,0.9763272,3.871135]",
320,"[4.96911,0.9761263,3.871041]",
321,"[4.96746,0.9759322,3.870844]",
322,"[4.9666,0.9760776,3.870741]",
323,"[4.96539,0.9775427,3.870597]",
324,"[4.965074,0.9786019,3.870559]",
325,"[4.964756,0.9792652,3.870522]",
326,"[4.964986,0.9792951,3.870549]",
327,"[4.965332,0.9791232,3.87059]",
328,"[4.965943,0.9779094,3.87066]",
329,"[4.966132,0.9774131,3.870552]",
330,"[4.966554,0.9793262,3.868497]",
331,"[4.966496,0.9810358,3.866175]",
332,"[4.965471,0.989827,3.855965]",
333,"[4.964534,0.9962572,3.848368]",
334,"[4.962566,1.008023,3.83423]",
335,"[4.957906,1.014782,3.825478]",
336,"[4.953319,1.022664,3.815431]",
337,"[4.945395,1.040887,3.793245]",
338,"[4.940558,1.049812,3.780253]",
339,"[4.933537,1.073549,3.751339]",
340,"[4.930731,1.087213,3.736015]",
341,"[4.926287,1.120406,3.701773]",
342,"[4.924354,1.141106,3.681284]",
343,"[4.922405,1.162022,3.660601]",
344,"[4.954554,0.6245353,4.206568]",
345,"[4.953739,0.6245382,4.207332]",
346,"[4.949153,0.6245769,4.209098]",
347,"[4.94581,0.6246083,4.210029]",
348,"[4.945032,0.624616,4.210196]",
349,"[4.944489,0.6246222,4.210221]",
350,"[4.941979,0.6246544,4.209937]",
351,"[4.941863,0.6246564,4.209865]",
352,"[4.941722,0.6246596,4.209699]",
353,"[4.939243,0.6247028,4.208125]",
354,"[4.937708,0.6247371,4.206287]",
355,"[4.894938,0.6255007,4.177005]",
356,"[4.882234,0.6257743,4.162988]",
357,"[4.867246,0.6261012,4.145981]",
358,"[4.862565,0.6262126,4.139613]",
359,"[4.858844,0.6263013,4.134538]",
360,"[4.854434,0.626384,4.131061]",
361,"[4.852105,0.626407,4.131577]",
362,"[4.848102,0.6264466,4.132468]",
363,"[4.84611,0.6264678,4.132741]",
364,"[4.844182,0.6264851,4.133363]",
365,"[4.844164,0.6264824,4.133694]",
366,"[4.844164,0.6264731,4.134755]",
367,"[4.84419,0.6264664,4.135478]",
368,"[4.844213,0.6264582,4.136381]",
369,"[4.843524,0.6264279,4.140754]",
370,"[4.842872,0.6264038,4.144373]",
371,"[4.841843,0.6263494,4.15194]",
372,"[4.841583,0.6263135,4.156374]",
373,"[4.842415,0.6262183,4.166083]",
374,"[4.84364,0.626157,4.171405]",
375,"[4.867114,0.6258241,4.177671]",
376,"[5.075509,0.3221402,4.457097]",
377,"[4.983269,1.188573,3.622231]",
378,"[5.024272,1.122358,3.690699]",
379,"[5.042478,1.098962,3.717541]",
380,"[5.073928,1.057187,3.764092]",
381,"[5.086147,1.041173,3.781625]",
382,"[5.099168,1.02607,3.798292]",
383,"[5.11825,1.000041,3.823692]",
384,"[5.126268,0.9871083,3.834197]",
