AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 558,560,2,
CabinArea,LowerCabin,OtherPlant4, 560,563,3,
CabinArea,Cabin,GothicCabinet, 563,578,15,
BookShelfArea,ChairGroup,PlantC1, 580,582,2,
BookShelfArea,RedOfficeChair,RedOfficeChair, 582,583,1,
BookShelfArea,Bookshelf,WoodenShelf, 583,586,3,
BookShelfArea,LowerShelf,DeskPlant2, 586,591,5,
BookShelfArea,Bookshelf,WoodenShelf, 591,595,4,
BookShelfArea,LowerShelf,Books14, 595,599,4,
BookShelfArea,Bookshelf,WoodenShelf, 599,600,1,
BookShelfArea,LowerShelf,Books14, 600,600,0,
BookShelfArea,Bookshelf,WoodenShelf, 600,602,2,
BookShelfArea,LowerShelf,Books14, 602,609,7,
BookShelfArea,LowerShelf,Book9, 609,611,2,
BookShelfArea,Bookshelf,WoodenShelf, 611,649,38,
BookShelfArea,UpperShelf,book11, 650,650,0,
BookShelfArea,UpperShelf,book7, 650,658,8,
BookShelfArea,UpperShelf,Books12, 658,660,2,
BookShelfArea,UpperShelf,Books13, 660,672,12,
BookShelfArea,Bookshelf,WoodenShelf, 677,680,3,
BookShelfArea,UpperShelf,Books15, 680,688,8,
BookShelfArea,Bookshelf,WoodenShelf, 688,690,2,
BookShelfArea,UpperShelf,Bookcase, 690,703,13,
BookShelfArea,UpperShelf,Kettle, 710,713,3,
BookShelfArea,Bookshelf,WoodenShelf, 713,716,3,
BookShelfArea,LowerShelf,Plant2, 716,736,20,
BookShelfArea,Bookshelf,WoodenShelf, 736,739,3,
BookShelfArea,LowerShelf,Book9, 739,744,5,
BookShelfArea,Bookshelf,WoodenShelf, 744,753,9,
BookShelfArea,LowerShelf,Books14, 753,759,6,
BookShelfArea,Bookshelf,WoodenShelf, 759,790,31,
BookShelfArea,Bookshelf,WoodenShelf, 791,793,2,
BookShelfArea,UpperShelf,Books12, 793,812,19,
BookShelfArea,Bookshelf,WoodenShelf, 813,824,11,
BookShelfArea,UpperShelf,Books13, 824,827,3,
BookShelfArea,Bookshelf,WoodenShelf, 832,833,1,
BookShelfArea,UpperShelf,Books15, 833,835,2,
BookShelfArea,UpperShelf,book8, 835,838,3,
BookShelfArea,UpperShelf,Books16, 838,841,3,
BookShelfArea,UpperShelf,book8, 841,844,3,
BookShelfArea,UpperShelf,Books15, 844,850,6,
BookShelfArea,UpperShelf,Bookcase, 850,867,17,
BookShelfArea,UpperShelf,Paperbag, 867,868,1,
BookShelfArea,Bookshelf,WoodenShelf, 868,877,9,
BookShelfArea,UpperShelf,Paperbag, 877,877,0,
BookShelfArea,UpperShelf,Bookcase, 877,900,23,
BookShelfArea,Bookshelf,WoodenShelf, 900,900,0,
BookShelfArea,UpperShelf,Kettle, 900,902,2,
BookShelfArea,LowerShelf,Plant2, 902,903,1,
OfficeSet,OfficeSet,OfficeTable, 903,905,2,
OfficeSet,OfficeChairGroup,BookStack6, 905,906,1,
OfficeSet,OfficeChairGroup,OfficeChair, 906,931,25,
OfficeSet,OfficeChairGroup,Plant3, 931,957,26,
OfficeSet,OfficeSet,OfficeTable, 957,975,18,
OfficeSet,OfficeChairGroup,Plant3, 975,986,11,
OfficeSet,OfficeSet,OfficeTable, 986,989,3,
BookShelfArea,LowerShelf,Plant2, 989,990,1,
BookShelfArea,Bookshelf,WoodenShelf, 990,991,1,
BookShelfArea,LowerShelf,Book9, 993,993,0,
BookShelfArea,LowerShelf,Books14, 1000,1023,23,
BookShelfArea,Bookshelf,WoodenShelf, 1023,1026,3,
BookShelfArea,LowerShelf,Book9, 1026,1028,2,
BookShelfArea,LowerShelf,Books14, 1028,1030,2,
BookShelfArea,Bookshelf,WoodenShelf, 1030,1034,4,
BookShelfArea,LowerShelf,Cup1, 1034,1038,4,
BookShelfArea,Bookshelf,WoodenShelf, 1038,1039,1,
