"id","AreaName","ParentName","GazeObject","startKeyframe","endKeyframe","duration","eventType","AreaCode"
3,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer1OfficeTableDrawer1,OfficeTableDrawer1BookStack7,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,BookStack7,Key8,BookStack7,OfficeTableDrawer2,,",3740,4054,290,2,"C18"
3,"LongTableArea","UnderLongTable","PaperbagOtherPlant3,Paperbag,Paperbag,Paperbag,Paperbag,",4073,4312,137,2,"B2"
4,"CabinArea","CabinetDoors","GothicCabinetDoor3GothicCabinetDoor4,GothicCabinetDoor3,GothicCabinetDoor3GothicCabinetDoor4,GothicCabinetDoor3,GothicCabinetDoor4,GothicCabinetDoor3,GothicCabinetDoor4,GothicCabinetDoor3,,GothicCabinetDoor3GothicCabinetDoor4,,",6385,6777,339,2,"A10"
4,"BookShelfArea","ChairGroup","PlantC1",6779,6846,67,2,"D15"
4,"CabinArea","CabinetDoors","GothicCabinetDoor4GothicCabinetDoor3,GothicCabinetDoor4,",6847,7018,171,2,"A10"
4,"CabinArea","Cabin","OtherPlant4",7018,7050,32,2,"A0"
4,"CabinArea","CabinetDoors","GothicCabinetDoor3",7052,7125,73,2,"A10"
4,"CabinArea","LowerCabin","PlantC2SmallChair2,",7139,7290,124,2,"A19"
4,"CabinArea","Cabin","GothicCabinetOtherPlant4,GothicCabinet,",7319,7384,65,2,"A0"
4,"BookShelfArea","LowerShelf","BookshelfDrawer1book4,BookshelfDrawer2,book4,BookshelfDrawer1,BookshelfDrawer1,SushiBox2,BookshelfDrawer1,BookshelfDrawer2,book4,book4,Plant2,",7462,7707,138,2,"D12"
4,"OfficeSet","OfficeChairGroup","Plant3OfficeChair,",7763,7949,186,2,"C7"
4,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer1OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,OfficeTableDrawer3,OfficeTableDrawer2,BookStack7,OfficeTableDrawer2,BookStack7,OfficeTableDrawer2,BookStack7,Key8,OfficeTableDrawer3Key8,OfficeTableDrawer3,OfficeTableDrawer1,,BookStack7OfficeTableDrawer2,BookStack7,OfficeTableDrawer3,BookStack7,OfficeTableDrawer3,,",8054,8342,215,2,"C18"
4,"LongTableArea","UnderLongTable","PaperbagOtherPlant3,Paperbag,OtherPlant3,Paperbag,Paperbag,Paperbag,Paperbag,Paperbag,OtherPlant3,Backpack,SmallChair,",8351,8613,201,2,"B2"
5,"CabinArea","CabinetDoors","GothicCabinetDoor3GothicCabinetDoor4,",7595,7641,46,2,"A10"
5,"CabinArea","LowerCabin","PlantC2SmallChair2,",7673,7849,131,2,"A19"
5,"CabinArea","Cabin","GothicCabinetOtherPlant4,",7849,7887,38,2,"A0"
5,"BookShelfArea","ChairGroup","PlantC1",7912,8073,161,2,"D15"
5,"BookShelfArea","RedOfficeChair","RedOfficeChair",8105,8216,111,2,"D14"
5,"CabinArea","CabinetDoors","GothicCabinetDoor3",8332,8456,124,2,"A10"
5,"CabinArea","LowerCabin","PlantC2SmallChair2,",8456,8504,48,2,"A19"
5,"CabinArea","CabinetDoors","GothicCabinetDoor3",8506,8549,43,2,"A10"
5,"CabinArea","LoungeChair","OpenBookLoungeChair,",8549,8586,37,2,"A1"
5,"CabinArea","CabinetDrawer","SmallCabinetDrawer1SmallCabinetDrawer1SmallCabinetDrawer2,,SmallCabinetDrawer2SmallCabinetDrawer1,,",8648,8951,292,2,"A3"
5,"LongTableArea","LongTableSurface","Bookcase1",9008,9040,32,2,"B4"
5,"OfficeSet","OfficeChairGroup","OfficeChairPlant3,OfficeChair,",9136,9175,39,2,"C7"
5,"OfficeSet","OfficeTableDrawer","OfficeTableDrawer2OfficeTableDrawer1,OfficeTableDrawer1,OfficeTableDrawer1BookStack7,OfficeTableDrawer2,BookStack7,Key8,BookStack7,OfficeTableDrawer2,OfficeTableDrawer3,,",9200,9575,371,2,"C18"
5,"OfficeSet","OfficeChairGroup","ComputerCaseOfficeChair,BookStack6,OfficeChair,",9577,9774,176,2,"C7"
5,"BookShelfArea","LowerShelf","BookshelfDrawer3BookshelfDrawer2,BookshelfDrawer3,BookshelfDrawer2,BookshelfDrawer1,SushiBox2,SushiBox2,BookshelfDrawer1,SushiBox2,book4BookshelfDrawer2,book4,book4,book4,book4,,",9774,10223,362,2,"D12"
5,"BookShelfArea","Bookshelf","WoodenShelfWoodenShelf,WoodenShelf,",10232,10281,42,2,"D8"
5,"LongTableArea","UnderLongTable","PlantC3Paperbag,OtherPlant3,BackpackSmallChair,Backpack,SmallChair,Backpack,Backpack,SmallChair,Backpack,,OtherPlant3Paperbag,Paperbag,Paperbag,,",10403,10871,345,2,"B2"
