frame,gazeStartPos,
0,"[4.885938,1.577053,3.98273]",
1,"[4.885938,1.577053,3.98273]",
2,"[4.887246,1.57408,3.982724]",
3,"[4.889124,1.570704,3.982717]",
4,"[4.890592,1.568666,3.982713]",
5,"[4.89087,1.56786,3.982711]",
6,"[4.89166,1.5665,3.982708]",
7,"[4.892233,1.566153,3.982708]",
8,"[4.893631,1.564582,3.982704]",
9,"[4.8946,1.563668,3.982702]",
10,"[4.895716,1.562567,3.9827]",
11,"[4.898732,1.560319,3.982695]",
12,"[4.900304,1.558738,3.982692]",
13,"[4.903263,1.557999,3.982691]",
14,"[4.903537,1.558103,3.982691]",
15,"[4.903441,1.558195,3.982691]",
16,"[4.903172,1.558165,3.982691]",
17,"[4.901924,1.558491,3.982692]",
18,"[4.901119,1.558583,3.982692]",
19,"[4.898866,1.558531,3.982692]",
20,"[4.893963,1.555739,3.982686]",
21,"[4.892647,1.55758,3.98269]",
22,"[4.895392,1.55982,3.982694]",
23,"[4.898215,1.56039,3.982696]",
24,"[4.901543,1.559647,3.982694]",
25,"[4.902882,1.55836,3.982691]",
26,"[4.80362,1.377685,3.982313]",
27,"[4.778997,1.329443,3.982212]",
28,"[4.772002,1.315964,3.982184]",
29,"[4.767255,1.306924,3.982165]",
30,"[4.767427,1.308264,3.982167]",
31,"[4.770569,1.315556,3.982183]",
32,"[4.777215,1.325193,3.982203]",
33,"[4.784489,1.336991,3.982228]",
34,"[4.788479,1.34561,3.982246]",
35,"[4.792688,1.351196,3.982257]",
36,"[4.797763,1.358186,3.982272]",
37,"[4.799384,1.360746,3.982277]",
38,"[4.801397,1.366176,3.982289]",
39,"[4.802051,1.366831,3.98229]",
40,"[4.800818,1.371552,3.9823]",
41,"[4.799151,1.374757,3.982307]",
42,"[4.797382,1.377331,3.982312]",
43,"[4.599253,1.452886,3.98247]",
44,"[4.520122,1.512239,3.982595]",
45,"[4.480988,1.540895,3.982655]",
46,"[4.470631,1.548489,3.982671]",
47,"[4.45322,1.56194,3.982699]",
48,"[4.44839,1.564717,3.982705]",
49,"[4.443475,1.567499,3.98271]",
50,"[4.433186,1.573732,3.982723]",
51,"[4.431201,1.575737,3.982728]",
52,"[4.42731,1.579125,3.982735]",
53,"[4.425307,1.580627,3.982738]",
54,"[4.422595,1.583092,3.982743]",
55,"[4.421957,1.583715,3.982744]",
56,"[4.419537,1.586973,3.982751]",
57,"[4.41802,1.589318,3.982756]",
58,"[4.416587,1.591545,3.982761]",
59,"[4.400449,1.607113,3.982793]",
60,"[4.379224,1.70364,3.982996]",
61,"[4.369867,1.747967,3.983088]",
62,"[4.367054,1.758661,3.983111]",
63,"[4.36361,1.772609,3.98314]",
64,"[4.362567,1.776839,3.983149]",
65,"[4.36032,1.780243,3.983156]",
66,"[4.356601,1.786374,3.983169]",
67,"[4.355221,1.78883,3.983174]",
68,"[4.352222,1.795134,3.983187]",
69,"[4.350746,1.798054,3.983193]",
70,"[4.348434,1.803255,3.983204]",
71,"[4.347317,1.805917,3.98321]",
72,"[4.346065,1.810519,3.983219]",
73,"[4.345612,1.811726,3.983222]",
74,"[4.345183,1.81289,3.983224]",
75,"[4.344575,1.814678,3.983228]",
76,"[4.344361,1.815261,3.983229]",
77,"[4.356167,1.814434,3.983228]",
78,"[4.360079,1.81434,3.983227]",
79,"[4.63202,1.775133,3.983145]",
80,"[4.663784,1.771591,3.983138]",
81,"[4.680035,1.769908,3.983134]",
82,"[4.699544,1.764417,3.983123]",
83,"[4.705893,1.762322,3.983119]",
84,"[4.71621,1.761795,3.983117]",
85,"[4.720496,1.761428,3.983117]",
86,"[4.727027,1.760839,3.983115]",
87,"[4.732137,1.761,3.983116]",
88,"[4.736349,1.761196,3.983116]",
89,"[4.739635,1.761662,3.983117]",
90,"[4.741144,1.761173,3.983116]",
91,"[4.743761,1.760281,3.983114]",
92,"[4.745113,1.75958,3.983113]",
93,"[4.747824,1.75816,3.98311]",
94,"[4.749465,1.757341,3.983108]",
95,"[4.751052,1.756667,3.983107]",
96,"[4.877897,1.734241,3.98306]",
97,"[5.075831,1.704096,3.982996]",
98,"[5.125679,1.695566,3.982979]",
99,"[5.14132,1.692874,3.982973]",
100,"[5.159558,1.68974,3.982966]",
101,"[5.166687,1.688269,3.982963]",
102,"[5.18294,1.687273,3.982961]",
103,"[5.190042,1.686792,3.98296]",
104,"[5.193173,1.68792,3.982963]",
105,"[5.16244,1.698264,3.982984]",
106,"[5.145021,1.703617,3.982996]",
