AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 263,264,1,
BookShelfArea,UpperShelf,Books13, 270,272,2,
BookShelfArea,Bookshelf,WoodenShelf, 273,273,0,
BookShelfArea,Bookshelf,WoodenShelf, 274,284,10,
BookShelfArea,Bookshelf,WoodenShelf, 293,295,2,
BookShelfArea,UpperShelf,Books13, 295,313,18,
BookShelfArea,UpperShelf,book11, 313,314,1,
BookShelfArea,UpperShelf,book6, 314,321,7,
BookShelfArea,UpperShelf,book3, 321,327,6,
BookShelfArea,Bookshelf,WoodenShelf, 327,340,13,
BookShelfArea,LowerShelf,Book9, 340,340,0,
BookShelfArea,LowerShelf,Books14, 340,343,3,
BookShelfArea,Bookshelf,WoodenShelf, 343,345,2,
CabinArea,Cabin,GothicCabinet, 351,354,3,
BookShelfArea,Bookshelf,WoodenShelf, 368,370,2,
BookShelfArea,Bookshelf,WoodenShelf, 372,373,1,
BookShelfArea,LowerShelf,Plant2, 373,387,14,
BookShelfArea,Bookshelf,WoodenShelf, 387,391,4,
BookShelfArea,LowerShelf,Plant2, 391,401,10,
BookShelfArea,Bookshelf,WoodenShelf, 401,418,17,
BookShelfArea,Bookshelf,WoodenShelf, 418,423,5,
BookShelfArea,LowerShelf,Book9, 423,463,40,
BookShelfArea,LowerShelf,Books14, 463,467,4,
BookShelfArea,Bookshelf,WoodenShelf, 467,468,1,
BookShelfArea,UpperShelf,Books13, 468,547,79,
BookShelfArea,UpperShelf,Books16, 549,591,42,
BookShelfArea,UpperShelf,book8, 591,591,0,
BookShelfArea,UpperShelf,Books15, 591,608,17,
BookShelfArea,UpperShelf,book8, 608,669,61,
BookShelfArea,UpperShelf,Books15, 669,704,35,
BookShelfArea,UpperShelf,book8, 704,711,7,
BookShelfArea,UpperShelf,Books16, 711,718,7,
BookShelfArea,Bookshelf,WoodenShelf, 718,729,11,
BookShelfArea,UpperShelf,Books15, 729,789,60,
BookShelfArea,ChairGroup,PlantC1, 790,792,2,
BookShelfArea,UpperShelf,Books15, 792,793,1,
BookShelfArea,ChairGroup,PlantC1, 793,809,16,
BookShelfArea,UpperShelf,Books15, 811,820,9,
BookShelfArea,UpperShelf,Books12, 822,824,2,
