frame,gazeStartPos,
0,"[4.15024,1.768644,3.983132]",
1,"[4.148715,1.768117,3.983131]",
2,"[4.148715,1.768117,3.983131]",
3,"[4.147258,1.768797,3.983132]",
4,"[4.145761,1.769533,3.983134]",
5,"[4.143569,1.770843,3.983136]",
6,"[4.143765,1.771132,3.983137]",
7,"[4.14381,1.771174,3.983137]",
8,"[4.143819,1.771196,3.983137]",
9,"[4.143954,1.771253,3.983137]",
10,"[4.144324,1.77103,3.983137]",
11,"[4.144601,1.770801,3.983136]",
12,"[4.145124,1.770455,3.983135]",
13,"[4.145401,1.770369,3.983135]",
14,"[4.145922,1.770144,3.983135]",
15,"[4.147121,1.769821,3.983134]",
16,"[4.147772,1.769757,3.983134]",
17,"[4.14886,1.769713,3.983134]",
18,"[4.149333,1.769743,3.983134]",
19,"[4.15032,1.769393,3.983133]",
20,"[4.150664,1.769252,3.983133]",
21,"[4.15105,1.769243,3.983133]",
22,"[4.152047,1.769254,3.983133]",
23,"[4.152651,1.769292,3.983133]",
24,"[4.224949,1.811824,3.983222]",
25,"[4.237147,1.819623,3.983238]",
26,"[4.254241,1.831538,3.983263]",
27,"[4.2598,1.835584,3.983272]",
28,"[4.264381,1.838778,3.983279]",
29,"[4.271129,1.842507,3.983286]",
30,"[4.273803,1.843397,3.983288]",
31,"[4.279831,1.844062,3.98329]",
32,"[4.28254,1.844238,3.98329]",
33,"[4.288333,1.845065,3.983292]",
34,"[4.290568,1.845131,3.983292]",
35,"[4.292818,1.845,3.983292]",
36,"[4.294823,1.844227,3.98329]",
37,"[4.295817,1.843317,3.983288]",
38,"[4.29761,1.841063,3.983283]",
39,"[4.29814,1.840249,3.983282]",
40,"[4.299242,1.838099,3.983277]",
41,"[4.2999,1.836666,3.983274]",
42,"[4.300529,1.835348,3.983271]",
43,"[4.302194,1.833859,3.983268]",
44,"[4.309536,1.832296,3.983265]",
45,"[4.321962,1.829974,3.98326]",
46,"[4.491947,1.80862,3.983215]",
47,"[4.53541,1.803164,3.983204]",
48,"[4.550473,1.801386,3.9832]",
49,"[4.568889,1.799584,3.983196]",
50,"[4.575715,1.798778,3.983195]",
51,"[4.581921,1.798038,3.983193]",
52,"[4.587312,1.796637,3.98319]",
53,"[4.588477,1.795784,3.983189]",
54,"[4.532482,1.737087,3.983066]",
55,"[4.511005,1.714586,3.983018]",
56,"[4.415973,1.643884,3.98287]",
57,"[4.402409,1.633205,3.982848]",
58,"[4.388139,1.621724,3.982824]",
59,"[4.384176,1.619605,3.98282]",
60,"[4.380752,1.617752,3.982816]",
61,"[4.375733,1.615253,3.98281]",
62,"[4.373525,1.614498,3.982809]",
63,"[4.370665,1.613959,3.982808]",
64,"[4.368219,1.614134,3.982808]",
65,"[4.365996,1.614985,3.98281]",
66,"[4.364949,1.615861,3.982812]",
67,"[4.362212,1.618486,3.982817]",
68,"[4.36069,1.619991,3.98282]",
69,"[4.359185,1.621555,3.982824]",
70,"[4.356331,1.624559,3.98283]",
71,"[4.354839,1.626061,3.982833]",
72,"[4.349873,1.637698,3.982857]",
73,"[4.347078,1.645495,3.982874]",
74,"[4.365483,1.67536,3.982936]",
