frame,gazeStartPos,
0,"[3.657334,1.803805,5.04]",
1,"[3.657255,1.802716,5.04]",
2,"[3.656978,1.801712,5.04]",
3,"[3.655897,1.799003,5.04]",
4,"[3.655377,1.798614,5.04]",
5,"[3.654869,1.798153,5.04]",
6,"[3.653874,1.796276,5.04]",
7,"[3.653299,1.795393,5.04]",
8,"[3.652787,1.794956,5.04]",
9,"[3.652437,1.794753,5.04]",
10,"[3.652023,1.794978,5.04]",
11,"[3.651876,1.795251,5.04]",
12,"[3.65122,1.795866,5.04]",
13,"[3.650575,1.796337,5.04]",
14,"[3.649534,1.79708,5.04]",
15,"[3.64671,1.799238,5.04]",
16,"[3.645139,1.800585,5.04]",
17,"[3.642294,1.802824,5.04]",
18,"[3.64095,1.803841,5.04]",
19,"[3.638855,1.80539,5.04]",
20,"[3.638114,1.805916,5.04]",
21,"[3.637596,1.806881,5.04]",
22,"[3.637787,1.807313,5.04]",
23,"[3.639369,1.808264,5.04]",
24,"[3.635323,1.812245,5.04]",
25,"[3.632347,1.815966,5.04]",
26,"[3.622273,1.826371,5.04]",
27,"[3.621083,1.829686,5.04]",
28,"[3.62167,1.839646,5.04]",
29,"[3.618254,1.846554,5.04]",
30,"[3.611458,1.867432,5.04]",
31,"[3.610083,1.876826,5.04]",
32,"[3.608015,1.882743,5.04]",
33,"[3.608239,1.891041,5.04]",
34,"[3.607663,1.893238,5.04]",
35,"[3.606817,1.901397,5.04]",
36,"[3.602913,1.902785,5.04]",
37,"[3.591499,1.899155,5.04]",
38,"[3.58692,1.894838,5.04]",
39,"[3.582093,1.863539,5.04]",
40,"[3.586315,1.836936,5.04]",
41,"[3.596314,1.793009,5.04]",
42,"[3.627676,1.714762,5.04]",
43,"[3.652962,1.680152,5.04]",
44,"[4.025381,1.698349,3.95719]",
45,"[4.055491,1.680481,3.943707]",
46,"[4.089665,1.654032,3.947045]",
47,"[4.114627,1.63809,3.957738]",
48,"[4.138357,1.61741,3.982815]",
49,"[4.220757,1.571732,3.982719]",
50,"[4.516662,1.374243,3.982306]",
51,"[4.572761,1.338087,3.98223]",
52,"[4.602054,1.322451,3.982197]",
53,"[4.667028,1.296423,3.982143]",
54,"[4.678696,1.296362,3.971367]",
55,"[4.694982,1.295967,3.962118]",
56,"[4.697909,1.295668,3.961975]",
57,"[4.702036,1.293196,3.960798]",
58,"[4.690021,1.291359,3.959923]",
59,"[4.672111,1.287925,3.958729]",
60,"[4.660106,1.280192,3.958532]",
61,"[4.650477,1.285133,3.958514]",
62,"[4.62815,1.299129,3.982148]",
63,"[4.623975,1.306574,3.982164]",
64,"[4.620103,1.323833,3.9822]",
65,"[4.61999,1.333266,3.98222]",
66,"[4.644998,1.333276,3.98222]",
67,"[4.67374,1.330209,3.982213]",
68,"[4.684086,1.327225,3.982207]",
69,"[4.703143,1.317812,3.982188]",
70,"[4.713137,1.310368,3.982172]",
71,"[4.723306,1.292901,3.960658]",
72,"[4.725301,1.284031,3.958519]",
73,"[4.727473,1.2773,3.953434]",
74,"[4.730883,1.266415,3.948429]",
75,"[4.732331,1.261337,3.944895]",
76,"[4.729856,1.254097,3.936663]",
77,"[4.73,1.252332,3.933687]",
78,"[4.729388,1.253971,3.93645]",
79,"[4.728772,1.256646,3.939863]",
80,"[4.728927,1.260101,3.943738]",
81,"[4.730136,1.28838,3.958822]",
82,"[4.709017,1.47976,3.982527]",
83,"[4.703237,1.543526,3.98266]",
84,"[4.702975,1.558592,3.982692]",
85,"[4.704359,1.576202,3.982729]",
86,"[4.703152,1.579805,3.982736]",
87,"[4.700336,1.585334,3.982748]",
88,"[4.69905,1.587113,3.982752]",
89,"[4.698426,1.587071,3.982751]",
90,"[4.698057,1.587191,3.982752]",
91,"[4.698145,1.587885,3.982753]",
92,"[4.698879,1.593035,3.982764]",
93,"[4.699556,1.597239,3.982773]",
94,"[4.700878,1.602739,3.982784]",
95,"[4.701911,1.606028,3.982791]",
96,"[4.701716,1.609569,3.982799]",
97,"[4.701675,1.610219,3.9828]",
98,"[4.701655,1.610821,3.982801]",
99,"[4.718466,1.595609,3.982769]",
100,"[4.729516,1.584652,3.982746]",
101,"[4.755859,1.54853,3.982671]",
102,"[4.763707,1.537441,3.982647]",
103,"[4.775678,1.523685,3.982619]",
104,"[4.779363,1.521465,3.982614]",
105,"[4.782862,1.520359,3.982612]",
106,"[4.791775,1.523123,3.982617]",
107,"[4.796818,1.527097,3.982626]",
108,"[4.80664,1.53985,3.982652]",
109,"[4.811788,1.547173,3.982668]",
110,"[4.821397,1.562928,3.982701]",
111,"[4.824355,1.565965,3.982707]",
112,"[4.828242,1.563843,3.982703]",
113,"[4.828894,1.56109,3.982697]",
114,"[4.829443,1.558635,3.982692]",
115,"[4.830147,1.554227,3.982683]",
116,"[4.830249,1.551456,3.982677]",
117,"[4.850804,1.528168,3.982628]",
118,"[4.863128,1.514274,3.982599]",
119,"[4.880302,1.487785,3.982543]",
120,"[4.886248,1.475166,3.982517]",
