frame,gazeStartPos,
0,"[4.252315,2.171547,3.983976]",
1,"[4.250633,2.171823,3.983976]",
2,"[4.248898,2.172137,3.983977]",
3,"[4.247197,2.17256,3.983978]",
4,"[4.244288,2.173451,3.983979]",
5,"[4.243253,2.1737,3.98398]",
6,"[4.241697,2.173728,3.98398]",
7,"[4.240975,2.173726,3.98398]",
8,"[4.239704,2.173794,3.98398]",
9,"[4.239267,2.173819,3.98398]",
10,"[4.238844,2.17382,3.98398]",
11,"[4.237852,2.173765,3.98398]",
12,"[4.237246,2.173782,3.98398]",
13,"[4.236176,2.173769,3.98398]",
14,"[4.235689,2.173676,3.98398]",
15,"[4.234726,2.173058,3.983979]",
16,"[4.234214,2.172516,3.983978]",
17,"[4.233727,2.171875,3.983976]",
18,"[4.232783,2.169789,3.983972]",
19,"[4.232376,2.167993,3.983968]",
20,"[4.231978,2.160539,3.983953]",
21,"[4.23225,2.154854,3.983941]",
22,"[4.233638,2.140702,3.983911]",
23,"[4.234745,2.132795,3.983894]",
24,"[4.238025,2.116284,3.98386]",
25,"[4.240391,2.10722,3.983841]",
26,"[4.243908,2.096164,3.983818]",
27,"[4.252347,2.072444,3.983768]",
28,"[4.258002,2.057883,3.983737]",
29,"[4.269921,2.027585,3.983674]",
30,"[4.27678,2.009552,3.983636]",
31,"[4.292026,1.965548,3.983544]",
32,"[4.299645,1.943377,3.983498]",
33,"[4.316974,1.885433,3.983376]",
34,"[4.326542,1.858459,3.98332]",
35,"[4.335828,1.838291,3.983278]",
36,"[4.35409,1.809576,3.983217]",
37,"[4.364722,1.797514,3.983192]",
38,"[4.383388,1.777564,3.98315]",
39,"[4.393054,1.766886,3.983128]",
40,"[4.409949,1.748719,3.98309]",
41,"[4.416557,1.741763,3.983075]",
42,"[4.422075,1.735864,3.983063]",
43,"[4.43224,1.724587,3.983039]",
44,"[4.437894,1.718004,3.983026]",
45,"[4.449382,1.704285,3.982997]",
46,"[4.455594,1.696926,3.982981]",
47,"[4.467875,1.681964,3.98295]",
48,"[4.473751,1.67445,3.982934]",
49,"[4.485064,1.659423,3.982903]",
50,"[4.49082,1.65171,3.982887]",
51,"[4.495445,1.645043,3.982873]",
52,"[4.502887,1.632669,3.982847]",
53,"[4.506048,1.626155,3.982833]",
54,"[4.510538,1.615686,3.982811]",
55,"[4.512378,1.611109,3.982802]",
56,"[4.513669,1.607515,3.982794]",
57,"[4.51511,1.600929,3.98278]",
58,"[4.515532,1.596642,3.982771]",
59,"[4.516749,1.582928,3.982743]",
60,"[4.517913,1.573973,3.982724]",
61,"[4.520439,1.554166,3.982682]",
62,"[4.522232,1.540106,3.982653]",
63,"[4.526753,1.505582,3.982581]",
64,"[4.529356,1.486914,3.982542]",
65,"[4.531044,1.471792,3.98251]",
66,"[4.533702,1.450084,3.982465]",
67,"[4.535159,1.442007,3.982448]",
68,"[4.541261,1.425425,3.982413]",
69,"[4.545545,1.416759,3.982395]",
70,"[4.559319,1.396182,3.982352]",
71,"[4.56715,1.388007,3.982335]",
72,"[4.58277,1.379145,3.982316]",
73,"[4.591031,1.376007,3.982309]",
74,"[4.598574,1.373412,3.982304]",
75,"[4.611317,1.369378,3.982296]",
76,"[4.618641,1.367193,3.982291]",
77,"[4.631991,1.363368,3.982283]",
78,"[4.639125,1.361417,3.982279]",
79,"[4.650128,1.371055,3.982299]",
80,"[4.655725,1.374913,3.982307]",
81,"[4.660947,1.377161,3.982312]",
82,"[4.672225,1.378514,3.982315]",
83,"[4.679238,1.377427,3.982312]",
84,"[4.695611,1.37221,3.982301]",
85,"[4.706038,1.368697,3.982294]",
86,"[4.726493,1.366102,3.982289]",
87,"[4.738496,1.368633,3.982294]",
88,"[4.765073,1.382151,3.982322]",
89,"[4.778302,1.391487,3.982342]",
90,"[4.791883,1.401998,3.982364]",
91,"[4.816876,1.423468,3.982409]",
92,"[4.829392,1.435833,3.982435]",
93,"[4.851151,1.458992,3.982483]",
94,"[4.860406,1.469045,3.982504]",
95,"[4.87726,1.487875,3.982544]",
96,"[4.884887,1.49742,3.982564]",
97,"[4.889853,1.504853,3.982579]",
98,"[4.894742,1.516582,3.982604]",
99,"[4.893639,1.519093,3.982609]",
100,"[4.887724,1.518901,3.982609]",
101,"[4.882985,1.518109,3.982607]",
102,"[4.876725,1.516968,3.982605]",
103,"[4.866948,1.512604,3.982595]",
104,"[4.862859,1.50944,3.982589]",
105,"[4.860525,1.505803,3.982581]",
106,"[4.860851,1.504233,3.982578]",
107,"[4.864922,1.497991,3.982565]",
108,"[4.870638,1.491381,3.982551]",
109,"[4.889501,1.472508,3.982512]",
110,"[4.90745,1.455147,3.982475]",
111,"[4.958356,1.405493,3.982371]",
112,"[4.988345,1.375364,3.982308]",
113,"[5.027001,1.33408,3.982222]",
114,"[5.088488,1.251501,3.932285]",
115,"[5.13893,1.191984,3.957912]",
116,"[5.186453,1.10592,3.896957]",
117,"[5.221902,1.052526,3.901184]",
118,"[5.286946,0.9500381,3.90894]",
119,"[5.318218,0.8995191,3.912669]",
120,"[5.33924,0.8632262,3.915176]",
121,"[5.361123,0.8224453,3.917785]",
122,"[5.368208,0.8090476,3.91863]",
123,"[5.375769,0.7958236,3.919532]",
124,"[5.377384,0.7937028,3.919724]",
125,"[5.378022,0.7951352,3.9198]",
126,"[5.377751,0.7981221,3.919768]",
127,"[5.376752,0.8022642,3.919649]",
128,"[5.374004,0.8086894,3.919321]",
129,"[5.372709,0.8103537,3.919167]",
130,"[5.36993,0.812304,3.918835]",
131,"[5.365977,0.8152624,3.918364]",
132,"[5.350767,0.827771,3.91655]",
133,"[5.337606,0.8389515,3.914981]",
134,"[5.303896,0.870039,3.910961]",
135,"[5.282194,0.8910504,3.908374]",
136,"[5.262403,0.9103667,3.906013]",
137,"[5.224151,0.944559,3.901452]",
138,"[5.205863,0.9589696,3.899272]",
139,"[5.174752,0.9847313,3.895562]",
140,"[5.159115,1.000028,3.893697]",
141,"[5.124514,1.043795,3.889571]",
142,"[5.105041,1.076886,3.887249]",
