AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4445,4532,87,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer2, 4532,4566,34,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4566,4623,57,
OfficeSet,OfficeDeskSurface,SushiBox1, 4623,4628,5,
OfficeSet,OfficeSet,OfficeTable, 4628,4632,4,
OfficeSet,OfficeDeskSurface,OtherPlant1, 4632,4634,2,
OfficeSet,OfficeChairGroup,OfficeChair, 4634,4648,14,
OfficeSet,OfficeDeskSurface,OtherPlant1, 4648,4653,5,
OfficeSet,OfficeDeskSurface,OpenBook2, 4653,4655,2,
OfficeSet,OfficeChairGroup,Plant3, 4655,4840,185,
OfficeSet,OfficeSet,OfficeTable, 4840,4888,48,
OfficeSet,OfficeDeskSurface,OpenBook2, 4888,4891,3,
OfficeSet,OfficeSet,OfficeTable, 4891,4898,7,
OfficeSet,OfficeDeskSurface,ComputerMonitor, 4898,4923,25,
OfficeSet,OfficeChairGroup,Plant3, 4923,4945,22,
OfficeSet,OfficeDeskSurface,ComputerMonitor, 4945,4957,12,
OfficeSet,OfficeDeskSurface,OtherPlantBox, 4958,4961,3,
OfficeSet,OfficeDeskSurface,OtherPlant1, 4961,4964,3,
OfficeSet,OfficeChairGroup,OfficeChair, 4964,4971,7,
OfficeSet,BookStack,Books1, 4972,4974,2,
LongTableArea,UnderLongTable,PlantC3, 4974,4976,2,
LongTableArea,LongTableSurface,Laptop, 4976,4981,5,
LongTableArea,LongTableSurface,OtherPlant2, 4981,4983,2,
LongTableArea,LongTableSurface,Plant1, 4988,4997,9,
LongTableArea,LongTableSurface,Keyboard, 4997,5004,7,
LongTableArea,LongTable,LongTable, 5004,5005,1,
LongTableArea,LongTableSurface,Bookcase1, 5005,5031,26,
LongTableArea,LongTableSurface,Keyboard, 5031,5034,3,
LongTableArea,LongTable,LongTable, 5034,5039,5,
LongTableArea,ChargingStation,PowerStrip, 5039,5041,2,
LongTableArea,ChargingStation,PhoneWithCharger, 5041,5042,1,
LongTableArea,ChargingStation,PowerStrip, 5042,5043,1,
LongTableArea,LongTable,LongTable, 5043,5061,18,
LongTableArea,LongTableSurface,Laptop, 5061,5074,13,
LongTableArea,LongTable,LongTable, 5074,5089,15,
LongTableArea,UnderLongTable,Paperbag, 5089,5096,7,
LongTableArea,UnderLongTable,OtherPlant3, 5107,5119,12,
LongTableArea,UnderLongTable,Backpack, 5226,5248,22,
LongTableArea,UnderLongTable,OtherPlant3, 5265,5283,18,
LongTableArea,UnderLongTable,Paperbag, 5370,5375,5,
LongTableArea,UnderLongTable,Paperbag, 5381,5382,1,
LongTableArea,LongTable,LongTable, 5504,5526,22,
LongTableArea,UnderLongTable,PlantC3, 5526,5529,3,
OfficeSet,BookStack,Books2, 5529,5532,3,
OfficeSet,OfficeSet,OfficeTable, 5533,5535,2,
OfficeSet,OfficeDeskSurface,SushiBox1, 5535,5537,2,
OfficeSet,OfficeDeskSurface,ComputerMousePack, 5538,5540,2,
OfficeSet,OfficeChairGroup,OfficeChair, 5540,5542,2,
OfficeSet,OfficeDeskSurface,OtherPlant1, 5542,5543,1,
OfficeSet,OfficeChairGroup,Plant3, 5543,5549,6,
BookShelfArea,Bookshelf,WoodenShelf, 5552,5553,1,
BookShelfArea,UpperShelf,Kettle, 5553,5554,1,
BookShelfArea,UpperShelf,DeskPlant4, 5554,5555,1,
BookShelfArea,UpperShelf,book3, 5555,5556,1,
BookShelfArea,UpperShelf,book6, 5556,5557,1,
BookShelfArea,UpperShelf,book7, 5557,5558,1,
BookShelfArea,UpperShelf,Books12, 5558,5560,2,
BookShelfArea,UpperShelf,Books13, 5560,5562,2,
BookShelfArea,Bookshelf,WoodenShelf, 5562,5563,1,
CabinArea,Cabin,GothicCabinet, 5574,5576,2,
