frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.615433,1.634571,2.53774]","[4.283053,1.617933,2.903705]","[4.777308,1.007452,2.672689]","[-0.4699463,0.01793316,0.6977049]","[0.02430886,-0.592548,0.4666886]","[0,0,0,1]","[-0.1424792,-0.1869498,-0.02695879,0.9716083]","[-0.278493,-0.1305645,-0.001744535,0.9515206]","[0.2620735,-0.09249549,0.1047096,0.9548811]","[-0.278493,-0.1305645,-0.001744535,0.9515206]","[0.2620735,-0.09249549,0.1047096,0.9548811]",1.6,
1,"[4.753,0,2.206]","[4.614811,1.634544,2.537461]","[4.281996,1.617982,2.903312]","[4.776452,1.007841,2.672878]","[-0.4710036,0.01798214,0.697312]","[0.02345247,-0.5921595,0.4668781]","[0,0,0,1]","[-0.142185,-0.1862751,-0.02819379,0.9717459]","[-0.2815359,-0.1397824,-0.007946056,0.9492815]","[0.2614447,-0.09112743,0.1056699,0.9550793]","[-0.2815359,-0.1397824,-0.007946056,0.9492815]","[0.2614447,-0.09112743,0.1056699,0.9550793]",
2,"[4.753,0,2.206]","[4.61483,1.634536,2.53743]","[4.281996,1.617982,2.903312]","[4.776452,1.007841,2.672878]","[-0.4710036,0.01798214,0.697312]","[0.02345247,-0.5921595,0.4668781]","[0,0,0,1]","[-0.1421545,-0.1862802,-0.02822696,0.9717485]","[-0.2815359,-0.1397824,-0.007946056,0.9492815]","[0.2614447,-0.09112743,0.1056699,0.9550793]","[-0.2815359,-0.1397824,-0.007946056,0.9492815]","[0.2614447,-0.09112743,0.1056699,0.9550793]",
3,"[4.753,0,2.206]","[4.613851,1.634539,2.537035]","[4.28181,1.617857,2.903188]","[4.776093,1.007994,2.672923]","[-0.4711893,0.01785646,0.6971881]","[0.0230928,-0.5920061,0.4669232]","[0,0,0,1]","[-0.1417703,-0.1844486,-0.02881016,0.9721368]","[-0.2805044,-0.1390565,-0.008797809,0.9496858]","[0.2611113,-0.09026966,0.1059227,0.9552239]","[-0.2805044,-0.1390565,-0.008797809,0.9496858]","[0.2611113,-0.09026966,0.1059227,0.9552239]",
4,"[4.753,0,2.206]","[4.613084,1.634215,2.536451]","[4.281059,1.617575,2.902656]","[4.775136,1.008371,2.672931]","[-0.4719406,0.01757482,0.6966563]","[0.02213576,-0.5916293,0.4669313]","[0,0,0,1]","[-0.1410005,-0.1836498,-0.02937663,0.972383]","[-0.2803383,-0.1360492,-0.002748423,0.9502071]","[0.2604093,-0.08786573,0.1057755,0.9556559]","[-0.2803383,-0.1360492,-0.002748423,0.9502071]","[0.2604093,-0.08786573,0.1057755,0.9556559]",
5,"[4.753,0,2.206]","[4.610787,1.633754,2.534768]","[4.278648,1.617318,2.901734]","[4.774124,1.008706,2.672683]","[-0.4743518,0.01731765,0.6957341]","[0.02112383,-0.5912943,0.4666824]","[0,0,0,1]","[-0.1389256,-0.1821382,-0.02970272,0.9729559]","[-0.2830919,-0.1340415,0.007060048,0.9496536]","[0.2602863,-0.08673231,0.105017,0.9558766]","[-0.2830919,-0.1340415,0.007060048,0.9496536]","[0.2602863,-0.08673231,0.105017,0.9558766]",
6,"[4.753,0,2.206]","[4.609129,1.633789,2.533462]","[4.276917,1.617188,2.900901]","[4.77296,1.009031,2.672152]","[-0.4760829,0.01718802,0.6949005]","[0.01996054,-0.5909691,0.4661522]","[0,0,0,1]","[-0.1382588,-0.1818617,-0.02979689,0.9730998]","[-0.2848592,-0.1345269,0.008931194,0.9490406]","[0.2599016,-0.08676716,0.1046873,0.9560142]","[-0.2848592,-0.1345269,0.008931194,0.9490406]","[0.2599016,-0.08676716,0.1046873,0.9560142]",
7,"[4.753,0,2.206]","[4.608522,1.633949,2.532835]","[4.275686,1.617281,2.900026]","[4.772202,1.009192,2.671752]","[-0.4773141,0.01728128,0.6940264]","[0.01920239,-0.5908085,0.4657518]","[0,0,0,1]","[-0.1386514,-0.1813077,-0.02980177,0.973147]","[-0.2872513,-0.1370534,0.009246546,0.9479544]","[0.2597986,-0.08701087,0.1045391,0.9560363]","[-0.2872513,-0.1370534,0.009246546,0.9479544]","[0.2597986,-0.08701087,0.1045391,0.9560363]",
8,"[4.753,0,2.206]","[4.607943,1.634063,2.53215]","[4.272202,1.617671,2.896544]","[4.770126,1.009475,2.670638]","[-0.4807975,0.01767063,0.6905437]","[0.01712677,-0.5905252,0.4646379]","[0,0,0,1]","[-0.139893,-0.1803993,-0.02950691,0.9731472]","[-0.2970454,-0.1442918,0.01316507,0.9438064]","[0.2595188,-0.08776113,0.1037538,0.9561293]","[-0.2970454,-0.1442918,0.01316507,0.9438064]","[0.2595188,-0.08776113,0.1037538,0.9561293]",
9,"[4.753,0,2.206]","[4.607254,1.634025,2.531515]","[4.271526,1.617628,2.894867]","[4.768817,1.009583,2.669877]","[-0.481474,0.01762745,0.6888666]","[0.01581702,-0.5904174,0.4638768]","[0,0,0,1]","[-0.1401269,-0.1791442,-0.02969546,0.9733396]","[-0.3007277,-0.1452262,0.01356696,0.9424904]","[0.2592928,-0.08822662,0.1032005,0.9562076]","[-0.3007277,-0.1452262,0.01356696,0.9424904]","[0.2592928,-0.08822662,0.1032005,0.9562076]",
10,"[4.753,0,2.206]","[4.606017,1.634035,2.530337]","[4.27082,1.617039,2.89184]","[4.766561,1.009453,2.668418]","[-0.4821799,0.0170392,0.6858397]","[0.01356138,-0.5905474,0.4624176]","[0,0,0,1]","[-0.1405904,-0.1764666,-0.03020109,0.9737462]","[-0.3053384,-0.1428645,0.01427469,0.9413578]","[0.2590826,-0.08804104,0.1023228,0.956376]","[-0.3053384,-0.1428645,0.01427469,0.9413578]","[0.2590826,-0.08804104,0.1023228,0.956376]",
