frame,gazeStartPos,
0,"[3.453468,2.097159,5.039999]",
1,"[3.445334,2.086055,5.039999]",
2,"[3.349398,2.126877,5.039999]",
3,"[3.305174,2.145536,5.039999]",
4,"[3.279485,2.155989,5.039999]",
5,"[3.274066,2.162382,5.039999]",
6,"[3.272045,2.166424,5.039999]",
7,"[3.269934,2.170181,5.039999]",
8,"[3.26721,2.197947,5.039999]",
9,"[3.266175,2.206587,5.039999]",
10,"[3.264123,2.228188,5.039999]",
11,"[3.266307,2.240878,5.039999]",
12,"[3.267856,2.25328,5.039999]",
13,"[3.266249,2.256272,5.039999]",
14,"[3.26319,2.259141,5.039999]",
15,"[3.261895,2.259359,5.039999]",
16,"[3.260871,2.258732,5.039999]",
17,"[3.259007,2.256506,5.039999]",
18,"[3.258005,2.25528,5.039999]",
19,"[3.257014,2.254183,5.039999]",
20,"[3.256762,2.254102,5.039999]",
21,"[3.255957,2.253326,5.039999]",
22,"[3.255322,2.252657,5.039999]",
23,"[3.254496,2.252688,5.039999]",
24,"[3.254318,2.252075,5.039999]",
25,"[3.253995,2.252212,5.039999]",
26,"[3.254114,2.2514,5.039999]",
27,"[3.254714,2.249899,5.039999]",
28,"[3.597581,2.076934,5.039999]",
29,"[4.031605,1.874055,3.957228]",
30,"[4.195216,1.811154,3.983221]",
31,"[4.218943,1.802666,3.983203]",
32,"[4.2481,1.798957,3.983195]",
33,"[4.260652,1.800811,3.983199]",
34,"[4.273602,1.803236,3.983204]",
35,"[4.301316,1.810784,3.98322]",
36,"[4.318771,1.813541,3.983226]",
37,"[4.377052,1.81403,3.983227]",
38,"[4.400157,1.813488,3.983226]",
39,"[4.443963,1.809219,3.983217]",
40,"[4.46714,1.804525,3.983207]",
41,"[4.475571,1.801652,3.983201]",
42,"[4.51402,1.788274,3.983173]",
43,"[4.521384,1.784835,3.983166]",
44,"[4.560354,1.773614,3.983142]",
45,"[4.590637,1.765715,3.983126]",
46,"[4.630968,1.753021,3.983099]",
47,"[4.706096,1.715178,3.98302]",
48,"[5.170759,1.570689,3.982717]",
49,"[5.21182,1.559851,3.982694]",
50,"[5.253065,1.54748,3.982668]",
51,"[5.343069,1.51726,3.982605]",
52,"[5.397058,1.499183,3.982567]",
53,"[5.431656,1.491771,3.982552]",
54,"[5.479848,1.48102,3.982529]",
55,"[5.491559,1.47707,3.982521]",
56,"[5.493482,1.479648,3.982527]",
57,"[5.507659,1.482335,3.982532]",
58,"[5.572443,1.484107,3.944411]",
59,"[5.573494,1.485747,3.943483]",
60,"[5.62008,1.480393,3.957279]",
61,"[5.95,1.440317,4.151748]",
62,"[5.949999,1.430959,3.947212]",
63,"[5.95,1.441123,3.798296]",
64,"[5.95,1.440834,3.670805]",
65,"[5.95,1.436718,3.614903]",
66,"[5.95,1.431198,3.564401]",
67,"[5.95,1.429046,3.559409]",
68,"[5.95,1.429016,3.561192]",
69,"[5.95,1.431794,3.548221]",
70,"[5.95,1.434626,3.525026]",
71,"[5.574811,1.515784,2.844153]",
72,"[5.574212,1.517501,2.8154]",
73,"[5.57154,1.525165,2.729636]",
74,"[5.571133,1.52633,2.668957]",
75,"[5.570902,1.526993,2.644773]",
76,"[5.570952,1.526851,2.618121]",
77,"[5.570932,1.526907,2.611894]",
78,"[5.570615,1.527816,2.613842]",
79,"[5.570528,1.528066,2.609489]",
