frame,gazeStartPos,
0,"[4.916246,2.017164,3.983652]",
1,"[4.916246,2.017164,3.983652]",
2,"[4.915067,2.018008,3.983654]",
3,"[4.913482,2.018697,3.983655]",
4,"[4.911923,2.019397,3.983657]",
5,"[4.911273,2.019279,3.983657]",
6,"[4.910359,2.019069,3.983656]",
7,"[4.910141,2.018886,3.983656]",
8,"[4.909625,2.018474,3.983655]",
9,"[4.909186,2.018157,3.983654]",
10,"[4.907746,2.016957,3.983652]",
11,"[4.906444,2.015923,3.98365]",
12,"[4.878551,1.956569,3.983525]",
13,"[4.846246,1.867209,3.983338]",
14,"[4.836033,1.835043,3.983271]",
15,"[4.825133,1.80344,3.983205]",
16,"[4.820952,1.792727,3.983182]",
17,"[4.815525,1.77905,3.983154]",
18,"[4.813441,1.774107,3.983143]",
19,"[4.813086,1.771905,3.983139]",
20,"[4.81295,1.769408,3.983133]",
21,"[4.813278,1.768648,3.983132]",
22,"[4.813797,1.766537,3.983127]",
23,"[4.813808,1.765575,3.983125]",
24,"[4.814982,1.76403,3.983122]",
25,"[4.815231,1.763296,3.98312]",
26,"[4.815547,1.762504,3.983119]",
27,"[4.816063,1.760562,3.983115]",
28,"[4.816206,1.759573,3.983113]",
29,"[4.815687,1.758414,3.98311]",
30,"[4.813983,1.757766,3.983109]",
31,"[4.810493,1.757429,3.983108]",
32,"[4.810057,1.757789,3.983109]",
33,"[4.822919,1.758885,3.983111]",
34,"[4.832251,1.759072,3.983112]",
35,"[4.839821,1.758933,3.983111]",
36,"[4.883277,1.753667,3.9831]",
37,"[4.895811,1.751567,3.983096]",
38,"[4.918794,1.743268,3.983078]",
39,"[4.930007,1.737721,3.983067]",
40,"[4.948552,1.73024,3.983051]",
41,"[4.957184,1.72781,3.983046]",
42,"[4.964437,1.72567,3.983042]",
43,"[4.976625,1.72343,3.983037]",
44,"[4.980788,1.722804,3.983036]",
45,"[4.959064,1.710773,3.983011]",
46,"[4.943983,1.702214,3.982993]",
47,"[4.908869,1.688034,3.982963]",
48,"[4.898701,1.682113,3.98295]",
49,"[4.885882,1.672459,3.98293]",
50,"[4.88154,1.669438,3.982924]",
51,"[4.878062,1.666496,3.982918]",
52,"[4.871769,1.660022,3.982904]",
53,"[4.868825,1.656673,3.982897]",
54,"[4.86167,1.652747,3.982889]",
55,"[4.858499,1.65103,3.982885]",
56,"[4.846881,1.647982,3.982879]",
57,"[4.841275,1.64872,3.982881]",
58,"[4.836636,1.649073,3.982881]",
59,"[4.829822,1.652336,3.982888]",
60,"[4.826967,1.653618,3.982891]",
61,"[4.820854,1.659737,3.982904]",
62,"[4.817251,1.66261,3.98291]",
63,"[4.811964,1.666499,3.982918]",
64,"[4.810078,1.667734,3.98292]",
65,"[4.808463,1.668713,3.982922]",
66,"[4.805827,1.67006,3.982925]",
67,"[4.805357,1.670535,3.982926]",
68,"[4.804569,1.671366,3.982928]",
69,"[4.80414,1.672386,3.98293]",
70,"[4.803413,1.674236,3.982934]",
71,"[4.803146,1.67512,3.982936]",
72,"[4.803006,1.675828,3.982937]",
73,"[4.802909,1.676908,3.982939]",
74,"[4.802565,1.678098,3.982942]",
75,"[4.801857,1.680059,3.982946]",
76,"[4.801435,1.680998,3.982948]",
77,"[4.800831,1.68199,3.98295]",
78,"[4.800593,1.682149,3.982951]",
79,"[4.800353,1.681939,3.98295]",
80,"[4.8003,1.681865,3.98295]",
81,"[4.800248,1.681803,3.98295]",
82,"[4.803272,1.684279,3.982955]",
83,"[4.806023,1.686564,3.98296]",
84,"[4.854127,1.691364,3.98297]",
85,"[4.865415,1.692107,3.982971]",
86,"[4.879452,1.691955,3.982971]",
87,"[4.882205,1.691808,3.982971]",
88,"[4.884781,1.69141,3.98297]",
89,"[4.888889,1.691515,3.98297]",
90,"[4.890941,1.691376,3.98297]",
91,"[4.893326,1.690476,3.982968]",
92,"[4.897458,1.68992,3.982967]",
93,"[4.90388,1.688938,3.982965]",
94,"[4.904572,1.688483,3.982964]",
95,"[4.890616,1.675221,3.982936]",
96,"[4.880647,1.666102,3.982917]",
97,"[4.869724,1.658566,3.982901]",
98,"[4.857925,1.649955,3.982883]",
99,"[4.854419,1.647407,3.982878]",
100,"[4.849747,1.644205,3.982871]",
101,"[4.848292,1.643362,3.982869]",
102,"[4.846142,1.641848,3.982866]",
103,"[4.845326,1.641164,3.982865]",
104,"[4.841852,1.640193,3.982863]",
105,"[4.839723,1.639821,3.982862]",
106,"[4.837851,1.639447,3.982861]",
107,"[4.83477,1.63873,3.98286]",
108,"[4.83346,1.638362,3.982859]",
109,"[4.860071,1.629074,3.982839]",
110,"[4.868047,1.626123,3.982833]",
111,"[4.897795,1.614546,3.982809]",
112,"[4.905824,1.612795,3.982805]",
113,"[4.912253,1.611363,3.982802]",
114,"[4.92153,1.608588,3.982796]",
115,"[4.925155,1.607412,3.982794]",
116,"[4.933642,1.605286,3.98279]",
117,"[4.940207,1.603882,3.982787]",
118,"[4.948817,1.601857,3.982782]",
119,"[4.99795,1.595094,3.982768]",
120,"[5.019681,1.591537,3.982761]",
121,"[5.067403,1.58742,3.982752]",
122,"[5.079732,1.586142,3.982749]",
123,"[5.095677,1.585957,3.982749]",
124,"[5.101377,1.586713,3.982751]",
125,"[5.109423,1.588525,3.982754]",
126,"[5.11266,1.589447,3.982756]",
127,"[5.119931,1.590968,3.982759]",
128,"[5.123901,1.591684,3.982761]",
129,"[5.12585,1.592187,3.982762]",
130,"[5.130643,1.593251,3.982764]",
131,"[5.133369,1.593857,3.982766]",
132,"[5.140663,1.596831,3.982772]",
133,"[5.144867,1.5989,3.982776]",
134,"[5.273907,1.61509,3.98281]",
135,"[5.29378,1.617809,3.982816]",
136,"[5.310165,1.623784,3.982828]",
137,"[5.332451,1.628359,3.982838]",
138,"[5.341044,1.628599,3.982838]",
139,"[5.352034,1.629001,3.982839]",
140,"[5.356395,1.629286,3.98284]",
141,"[5.364635,1.629583,3.982841]",
142,"[5.369205,1.62892,3.982839]",
143,"[5.375745,1.62824,3.982838]",
144,"[5.378115,1.627562,3.982836]",
145,"[5.38013,1.62696,3.982835]",
146,"[5.382393,1.62595,3.982833]",
147,"[5.38318,1.62558,3.982832]",
148,"[5.384358,1.624919,3.982831]",
149,"[5.384941,1.624556,3.98283]",
150,"[5.387415,1.623903,3.982829]",
151,"[5.38924,1.623663,3.982828]",
152,"[5.390768,1.623491,3.982828]",
153,"[5.402334,1.629018,3.982839]",
154,"[5.412947,1.631611,3.982845]",
155,"[5.425382,1.634602,3.982851]",
156,"[5.430207,1.635649,3.982853]",
157,"[5.439302,1.637427,3.982857]",
158,"[5.442842,1.638178,3.982858]",
159,"[5.445698,1.638812,3.98286]",
160,"[5.449984,1.639966,3.982862]",
161,"[5.451956,1.64012,3.982862]",
162,"[5.454566,1.640398,3.982863]",
163,"[5.455476,1.640529,3.982863]",
164,"[5.456295,1.640717,3.982864]",
165,"[5.45647,1.640794,3.982864]",
166,"[5.456731,1.640723,3.982864]",
167,"[5.456752,1.640686,3.982864]",
168,"[5.456713,1.640653,3.982864]",
169,"[5.456609,1.640736,3.982864]",
170,"[5.457482,1.640722,3.982864]",
171,"[5.458548,1.64082,3.982864]",
172,"[5.464021,1.640255,3.982863]",
173,"[5.471597,1.639164,3.982861]",
174,"[5.474483,1.638378,3.982859]",
175,"[5.476753,1.637754,3.982858]",
176,"[5.479285,1.636908,3.982856]",
177,"[5.480426,1.636572,3.982855]",
178,"[5.482024,1.636137,3.982854]",
179,"[5.485705,1.635326,3.982852]",
