frame,gazeStartPos,
0,"[4.365086,1.703154,3.982995]",
1,"[4.366543,1.702985,3.982994]",
2,"[4.36798,1.703116,3.982995]",
3,"[4.36897,1.703245,3.982995]",
4,"[4.369857,1.703397,3.982995]",
5,"[4.370779,1.703657,3.982996]",
6,"[4.370911,1.703771,3.982996]",
7,"[4.370962,1.704041,3.982996]",
8,"[4.371028,1.704161,3.982997]",
9,"[4.371058,1.704263,3.982997]",
10,"[4.370994,1.704427,3.982997]",
11,"[4.370894,1.704478,3.982997]",
12,"[4.370924,1.704929,3.982998]",
13,"[4.37095,1.705501,3.983]",
14,"[4.37106,1.70847,3.983006]",
15,"[4.371202,1.710171,3.983009]",
16,"[4.371592,1.711559,3.983012]",
17,"[4.371941,1.712054,3.983013]",
18,"[4.372722,1.712839,3.983015]",
19,"[4.372995,1.712936,3.983015]",
20,"[4.373142,1.712826,3.983015]",
21,"[4.373301,1.712667,3.983015]",
22,"[4.373111,1.712613,3.983014]",
23,"[4.372354,1.712681,3.983015]",
24,"[4.371858,1.712662,3.983015]",
25,"[4.365801,1.753587,3.9831]",
26,"[4.36459,1.763577,3.983121]",
27,"[4.36209,1.776154,3.983147]",
28,"[4.360796,1.781297,3.983158]",
29,"[4.359969,1.785353,3.983167]",
30,"[4.35858,1.791876,3.98318]",
31,"[4.357935,1.794835,3.983186]",
32,"[4.357266,1.79974,3.983197]",
33,"[4.357188,1.80071,3.983199]",
34,"[4.357171,1.802796,3.983203]",
35,"[4.357003,1.80329,3.983204]",
36,"[4.356888,1.803694,3.983205]",
37,"[4.356619,1.803792,3.983205]",
38,"[4.356507,1.803829,3.983205]",
39,"[4.355879,1.803589,3.983205]",
40,"[4.355213,1.803425,3.983205]",
41,"[4.353935,1.802874,3.983203]",
42,"[4.353338,1.802482,3.983203]",
43,"[4.352442,1.801747,3.983201]",
44,"[4.352099,1.801422,3.9832]",
45,"[4.356351,1.76318,3.98312]",
46,"[4.359333,1.734877,3.983061]",
47,"[4.359783,1.726484,3.983043]",
48,"[4.359409,1.716237,3.983022]",
49,"[4.358833,1.712305,3.983014]",
50,"[4.355744,1.703949,3.982996]",
51,"[4.354097,1.700184,3.982988]",
52,"[4.352734,1.697386,3.982982]",
53,"[4.350063,1.692621,3.982973]",
54,"[4.34788,1.6896,3.982966]",
55,"[4.346038,1.685784,3.982958]",
56,"[4.345868,1.683908,3.982954]",
57,"[4.345776,1.680624,3.982947]",
58,"[4.345907,1.679026,3.982944]",
59,"[4.346638,1.675352,3.982936]",
60,"[4.347476,1.67274,3.982931]",
61,"[4.348594,1.669988,3.982925]",
62,"[4.352829,1.66703,3.982919]",
63,"[4.355647,1.665549,3.982916]",
