frame,gazeStartPos,
0,"[4.100728,2.04276,3.951224]",
1,"[4.100395,2.04256,3.951332]",
2,"[4.100044,2.042418,3.951417]",
3,"[4.099716,2.042251,3.951498]",
4,"[4.098833,2.042108,3.951577]",
5,"[4.09838,2.042002,3.951606]",
6,"[4.097745,2.041885,3.951644]",
7,"[4.096621,2.041517,3.951722]",
8,"[4.096085,2.041363,3.951757]",
9,"[4.09476,2.040797,3.951855]",
10,"[4.094131,2.040536,3.951864]",
11,"[4.092752,2.039876,3.951805]",
12,"[4.092077,2.039398,3.951594]",
13,"[4.090796,2.038533,3.951293]",
14,"[4.09018,2.038225,3.951229]",
15,"[4.089082,2.037724,3.951302]",
16,"[4.088565,2.037467,3.951337]",
17,"[4.088152,2.037223,3.951368]",
18,"[4.087505,2.0362,3.951443]",
19,"[4.087479,2.035479,3.951485]",
20,"[4.089059,2.033291,3.95161]",
21,"[4.09057,2.031869,3.951787]",
22,"[4.216162,1.984175,3.983583]",
23,"[4.255424,1.967583,3.983548]",
24,"[4.298157,1.950278,3.983512]",
25,"[4.307699,1.946047,3.983503]",
26,"[4.316123,1.942222,3.983495]",
27,"[4.330351,1.936049,3.983482]",
28,"[4.337798,1.932817,3.983476]",
29,"[4.348248,1.927835,3.983465]",
30,"[4.352074,1.92564,3.98346]",
31,"[4.360155,1.922582,3.983454]",
32,"[4.365261,1.921967,3.983453]",
33,"[4.372709,1.92088,3.983451]",
34,"[4.376562,1.920152,3.983449]",
35,"[4.381775,1.919285,3.983447]",
36,"[4.388706,1.918267,3.983445]",
37,"[4.391889,1.918024,3.983445]",
38,"[4.402349,1.916562,3.983442]",
39,"[4.403773,1.916158,3.983441]",
40,"[4.407658,1.914886,3.983438]",
41,"[4.410086,1.913724,3.983436]",
42,"[4.410083,1.912306,3.983433]",
43,"[4.412279,1.907832,3.983423]",
44,"[4.41552,1.89576,3.983398]",
45,"[4.443718,1.503896,3.982577]",
46,"[4.447818,1.471245,3.982509]",
47,"[4.488929,1.30011,3.98215]",
48,"[4.498869,1.265178,3.947568]",
49,"[4.521536,1.13574,3.896538]",
50,"[4.528555,1.110574,3.895878]",
51,"[4.534346,1.092274,3.895334]",
52,"[4.540147,1.067701,3.894788]",
53,"[4.540999,1.057606,3.894708]",
54,"[4.541497,1.037615,3.894661]",
55,"[4.540938,1.02488,3.894714]",
56,"[4.526319,1.007579,3.896088]",
57,"[4.518302,0.9983898,3.896842]",
58,"[4.503832,0.9833858,3.898202]",
59,"[4.496438,0.9769655,3.898897]",
60,"[4.489845,0.9704816,3.899517]",
61,"[4.477122,0.9572594,3.900712]",
62,"[4.473022,0.9579059,3.901098]",
63,"[4.465355,0.9567022,3.901819]",
64,"[4.461566,0.9574435,3.902175]",
65,"[4.458112,0.9572901,3.902499]",
66,"[4.455879,0.9602456,3.902709]",
67,"[4.454191,0.9609388,3.902868]",
68,"[4.451782,0.9691222,3.903094]",
69,"[4.448948,0.9777056,3.903361]",
70,"[4.439188,0.9908327,3.904278]",
71,"[4.432363,0.9967487,3.90492]",
72,"[4.419624,1.007044,3.906117]",
73,"[4.412863,1.012025,3.906753]",
74,"[4.398235,1.022606,3.908128]",
75,"[4.388705,1.029802,3.909024]",
76,"[4.377359,1.035707,3.91009]",
77,"[4.205595,1.036803,3.923204]",
78,"[4.157364,1.031428,3.93077]",
79,"[3.219437,0.6061704,4.864885]",
80,"[3.192598,0.6051424,4.849539]",
81,"[3.152555,0.6046365,4.825508]",
