frame,gazeStartPos,
0,"[3.207825,2.421316,4.98011]",
1,"[3.207382,2.419933,4.980321]",
2,"[3.206275,2.418184,4.980273]",
3,"[3.205183,2.41669,4.980145]",
4,"[3.204786,2.415134,4.980428]",
5,"[3.20458,2.414548,4.980501]",
6,"[3.203335,2.413167,4.980241]",
7,"[3.203108,2.412681,4.980266]",
8,"[3.202838,2.412134,4.980281]",
9,"[3.202482,2.410969,4.980434]",
10,"[3.202393,2.410521,4.980514]",
11,"[3.202219,2.40976,4.980625]",
12,"[3.202249,2.409583,4.980678]",
13,"[3.202423,2.409285,4.980818]",
14,"[3.202569,2.409179,4.980899]",
15,"[3.202773,2.409105,4.980958]",
16,"[3.202878,2.409048,4.980988]",
17,"[3.203504,2.408948,4.981265]",
18,"[3.204432,2.408906,4.981734]",
19,"[3.209719,2.407338,4.985038]",
20,"[3.21408,2.406505,4.987642]",
21,"[3.568401,2.303621,5.04]",
22,"[4.551633,1.811175,3.983221]",
23,"[4.571998,1.805379,3.983209]",
24,"[4.610419,1.795251,3.983187]",
25,"[4.625273,1.791241,3.983179]",
26,"[4.64859,1.785333,3.983167]",
27,"[4.660734,1.782398,3.98316]",
28,"[4.675506,1.779193,3.983154]",
29,"[4.690583,1.772952,3.983141]",
30,"[4.690892,1.7714,3.983138]",
31,"[4.697302,1.766433,3.983127]",
32,"[4.697887,1.766097,3.983126]",
33,"[4.699938,1.76499,3.983124]",
34,"[4.700606,1.764447,3.983123]",
35,"[4.700312,1.763795,3.983122]",
36,"[4.701816,1.763011,3.98312]",
37,"[4.700851,1.761936,3.983118]",
38,"[4.701793,1.761146,3.983116]",
39,"[4.701674,1.760997,3.983116]",
40,"[4.699574,1.760015,3.983114]",
41,"[4.698855,1.759535,3.983113]",
42,"[4.691411,1.757704,3.983109]",
43,"[4.679924,1.757698,3.983109]",
44,"[4.669673,1.758329,3.98311]",
45,"[4.655268,1.761033,3.983116]",
46,"[4.646848,1.762944,3.98312]",
47,"[4.621034,1.765368,3.983125]",
48,"[4.615061,1.765894,3.983126]",
49,"[4.597393,1.767812,3.98313]",
50,"[4.583364,1.746432,3.983085]",
51,"[4.563226,1.708226,3.983005]",
52,"[4.555813,1.692147,3.982971]",
53,"[4.551172,1.681833,3.98295]",
54,"[4.537355,1.66518,3.982915]",
55,"[4.528575,1.658307,3.982901]",
56,"[4.516214,1.648104,3.982879]",
57,"[4.511521,1.644022,3.982871]",
58,"[4.503423,1.636593,3.982855]",
59,"[4.499817,1.633276,3.982848]",
60,"[4.493234,1.627989,3.982837]",
61,"[4.490159,1.625711,3.982832]",
62,"[4.487845,1.623752,3.982828]",
63,"[4.483226,1.620599,3.982822]",
64,"[4.480989,1.619529,3.982819]",
65,"[4.476259,1.617947,3.982816]",
66,"[4.475085,1.618008,3.982816]",
67,"[4.473861,1.619275,3.982819]",
68,"[4.473921,1.620932,3.982822]",
69,"[4.474721,1.625083,3.982831]",
70,"[4.475784,1.626942,3.982835]",
71,"[4.480273,1.631176,3.982844]",
72,"[4.482944,1.632824,3.982847]",
73,"[4.486045,1.634298,3.98285]",
74,"[4.497406,1.625318,3.982831]",
75,"[4.643132,1.315325,3.982182]",
76,"[4.659986,1.284576,3.958516]",
77,"[4.670873,1.265732,3.947953]",
78,"[4.685252,1.242224,3.930125]",
79,"[4.692315,1.226179,3.943735]",
80,"[4.699563,1.211265,3.953459]",
81,"[4.737478,1.035582,4.478675]",
82,"[4.743527,1.024798,4.478674]",
83,"[4.724028,1.186728,3.877503]",
84,"[4.728126,1.180537,3.877118]",
85,"[4.729409,1.175141,3.876998]",
86,"[4.730845,1.170966,3.876863]",
87,"[4.728904,1.167883,3.877045]",
88,"[4.725951,1.164984,3.877323]",
89,"[4.724796,1.164811,3.877431]",
90,"[4.722907,1.163493,3.877609]",
91,"[4.72191,1.16224,3.877703]",
92,"[4.723589,1.159662,3.877545]",
93,"[4.898274,1.18849,3.862594]",
94,"[4.948101,1.188573,3.883928]",
95,"[4.980082,1.193867,3.957912]",
96,"[4.987234,1.207704,3.957912]",
97,"[4.826503,1.601922,3.982783]",
98,"[4.819987,1.613637,3.982807]",
99,"[4.786922,1.646199,3.982875]",
100,"[4.770749,1.664772,3.982914]",
101,"[4.753237,1.683797,3.982954]",
102,"[4.746317,1.690591,3.982968]",
103,"[4.732621,1.703311,3.982995]",
104,"[4.725686,1.709129,3.983007]",
105,"[4.71746,1.715222,3.98302]",
106,"[4.710209,1.723231,3.983037]",
107,"[4.704455,1.728134,3.983047]",
108,"[4.531142,1.744353,3.983081]",
109,"[4.486326,1.749229,3.983091]",
110,"[4.444837,1.750932,3.983095]",
111,"[4.427991,1.752832,3.983099]",
112,"[4.418524,1.753774,3.983101]",
113,"[4.408533,1.755617,3.983104]",
114,"[4.40717,1.756155,3.983106]",
115,"[4.406016,1.756772,3.983107]",
116,"[4.40627,1.756725,3.983107]",
117,"[4.411417,1.753178,3.983099]",
118,"[4.414862,1.750027,3.983093]",
119,"[4.419713,1.746061,3.983084]",
120,"[4.426007,1.743256,3.983078]",
121,"[4.430751,1.741339,3.983074]",
122,"[4.439457,1.737013,3.983065]",
123,"[4.4426,1.735823,3.983063]",
124,"[4.450631,1.734371,3.98306]",
125,"[4.453917,1.734203,3.98306]",
126,"[4.465986,1.753359,3.9831]",
127,"[4.472169,1.766948,3.983128]",
128,"[4.477135,1.778091,3.983151]",
129,"[4.485261,1.798087,3.983193]",
130,"[4.488854,1.804841,3.983207]",
131,"[4.494662,1.815325,3.983229]",
132,"[4.496244,1.817305,3.983234]",
133,"[4.498074,1.819566,3.983238]",
134,"[4.498232,1.819688,3.983239]",
135,"[4.498259,1.81979,3.983239]",
136,"[4.49823,1.819889,3.983239]",
137,"[4.498189,1.819841,3.983239]",
138,"[4.498049,1.819666,3.983239]",
139,"[4.497966,1.819566,3.983238]",
140,"[4.497767,1.819375,3.983238]",
141,"[4.497641,1.819267,3.983238]",
142,"[4.497311,1.818932,3.983237]",
143,"[4.497144,1.818536,3.983236]",
144,"[4.496862,1.818149,3.983235]",
145,"[4.496127,1.817738,3.983235]",
146,"[4.49542,1.817438,3.983234]",
147,"[4.493259,1.816548,3.983232]",
148,"[4.491886,1.816008,3.983231]",
149,"[4.461991,1.813133,3.983225]",
150,"[4.451632,1.813183,3.983225]",
151,"[4.440085,1.813376,3.983225]",
152,"[4.43603,1.813533,3.983226]",
153,"[4.432773,1.813716,3.983226]",
154,"[4.427383,1.814566,3.983228]",
155,"[4.426228,1.814663,3.983228]",
156,"[4.424294,1.814697,3.983228]",
157,"[4.423779,1.814952,3.983229]",
158,"[4.423344,1.815328,3.983229]",
159,"[4.423395,1.815454,3.98323]",
160,"[4.423791,1.816581,3.983232]",
161,"[4.423997,1.81705,3.983233]",
162,"[4.424365,1.820217,3.98324]",
163,"[4.424826,1.829498,3.983259]",
164,"[4.424927,1.834979,3.983271]",
165,"[4.42501,1.842822,3.983287]",
166,"[4.424732,1.845513,3.983293]",
167,"[4.424603,1.851303,3.983305]",
168,"[4.424268,1.853576,3.98331]",
169,"[4.423522,1.857206,3.983317]",
170,"[4.423329,1.859249,3.983321]",
171,"[4.423115,1.861072,3.983325]",
172,"[4.422791,1.865035,3.983334]",
173,"[4.422659,1.866741,3.983337]",
174,"[4.422673,1.869052,3.983342]",
175,"[4.422675,1.870506,3.983345]",
176,"[4.422781,1.873019,3.98335]",
177,"[4.422867,1.874141,3.983353]",
178,"[4.422904,1.876305,3.983357]",
179,"[4.422835,1.877528,3.98336]",
180,"[4.42281,1.878484,3.983362]",
181,"[4.422886,1.880604,3.983366]",
182,"[4.42297,1.881608,3.983368]",
183,"[4.423196,1.882825,3.983371]",
184,"[4.423344,1.883194,3.983372]",
185,"[4.423699,1.884273,3.983374]",
186,"[4.424005,1.885071,3.983376]",
187,"[4.424503,1.886015,3.983377]",
188,"[4.445299,1.865306,3.983334]",
189,"[4.459168,1.850906,3.983304]",
190,"[4.482924,1.796434,3.98319]",
191,"[4.490408,1.774763,3.983145]",
192,"[4.498406,1.751268,3.983095]",
193,"[4.501,1.743119,3.983078]",
194,"[4.504203,1.733047,3.983057]",
195,"[4.504993,1.729675,3.98305]",
196,"[4.505717,1.726819,3.983044]",
197,"[4.506934,1.721964,3.983034]",
198,"[4.507526,1.719759,3.983029]",
199,"[4.508593,1.716422,3.983022]",
200,"[4.508736,1.71525,3.98302]",
201,"[4.508953,1.713788,3.983017]",
202,"[4.509071,1.713116,3.983016]",
203,"[4.509191,1.712507,3.983014]",
204,"[4.509366,1.711439,3.983012]",
205,"[4.509483,1.710663,3.98301]",
206,"[4.509684,1.709341,3.983007]",
207,"[4.50968,1.7088,3.983006]",
208,"[4.509636,1.707827,3.983004]",
209,"[4.509592,1.707397,3.983003]",
210,"[4.508657,1.706258,3.983001]",
211,"[4.508214,1.70574,3.983]",
212,"[4.50615,1.693529,3.982974]",
213,"[4.502751,1.666459,3.982918]",
214,"[4.501384,1.653709,3.982891]",
215,"[4.499745,1.638617,3.982859]",
216,"[4.499067,1.631621,3.982845]",
217,"[4.499605,1.621702,3.982824]",
218,"[4.499944,1.618478,3.982817]",
219,"[4.500483,1.613617,3.982807]",
220,"[4.500717,1.611636,3.982803]",
221,"[4.500877,1.609982,3.9828]",
222,"[4.501266,1.608175,3.982796]",
223,"[4.501404,1.60742,3.982794]",
224,"[4.503412,1.637659,3.982857]",
225,"[4.503967,1.646221,3.982875]",
226,"[4.50404,1.802131,3.983202]",
227,"[4.504066,1.821396,3.983242]",
228,"[4.504251,1.832785,3.983266]",
229,"[4.504481,1.844396,3.98329]",
230,"[4.504626,1.84879,3.983299]",
231,"[4.50499,1.854524,3.983312]",
232,"[4.504966,1.856539,3.983316]",
233,"[4.504819,1.859694,3.983322]",
234,"[4.504649,1.86095,3.983325]",
235,"[4.504317,1.862581,3.983328]",
236,"[4.504174,1.863139,3.98333]",
237,"[4.503992,1.863859,3.983331]",
238,"[4.503773,1.86535,3.983334]",
239,"[4.503753,1.866217,3.983336]",
240,"[4.503762,1.867702,3.983339]",
241,"[4.503769,1.868298,3.983341]",
242,"[4.503735,1.869275,3.983342]",
243,"[4.50374,1.869579,3.983343]",
244,"[4.503749,1.869808,3.983344]",
245,"[4.503643,1.87014,3.983344]",
246,"[4.50351,1.870208,3.983345]",
247,"[4.50341,1.870264,3.983345]",
248,"[4.503258,1.870175,3.983344]",
249,"[4.502262,1.869453,3.983343]",
250,"[4.501505,1.868757,3.983341]",
251,"[4.500619,1.868505,3.983341]",
252,"[4.500207,1.868729,3.983341]",
253,"[4.499899,1.868903,3.983342]",
254,"[4.499816,1.869048,3.983342]",
255,"[4.499774,1.869045,3.983342]",
256,"[4.499803,1.8686,3.983341]",
257,"[4.500034,1.86812,3.98334]",
258,"[4.501291,1.865894,3.983335]",
259,"[4.502744,1.863551,3.98333]",
260,"[4.506966,1.858807,3.98332]",
261,"[4.510922,1.853012,3.983308]",
