AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
BookShelfArea,Bookshelf,WoodenShelf, 482,484,2,
BookShelfArea,Bookshelf,WoodenShelf, 507,510,3,
BookShelfArea,Bookshelf,WoodenShelf, 510,518,8,
BookShelfArea,UpperShelf,Bookcase, 519,521,2,
BookShelfArea,Bookshelf,WoodenShelf, 521,535,14,
BookShelfArea,UpperShelf,Bookcase, 535,560,25,
BookShelfArea,Bookshelf,WoodenShelf, 560,561,1,
BookShelfArea,UpperShelf,Books15, 561,563,2,
CabinArea,Cabin,GothicCabinet, 566,567,1,
BookShelfArea,Bookshelf,WoodenShelf, 648,649,1,
BookShelfArea,Bookshelf,WoodenShelf, 650,651,1,
BookShelfArea,Bookshelf,WoodenShelf, 652,653,1,
BookShelfArea,Bookshelf,WoodenShelf, 654,655,1,
BookShelfArea,Bookshelf,WoodenShelf, 659,663,4,
BookShelfArea,Bookshelf,WoodenShelf, 664,671,7,
BookShelfArea,UpperShelf,book3, 671,689,18,
BookShelfArea,UpperShelf,book6, 689,691,2,
BookShelfArea,Bookshelf,WoodenShelf, 691,692,1,
BookShelfArea,UpperShelf,Books13, 692,693,1,
BookShelfArea,Bookshelf,WoodenShelf, 693,711,18,
BookShelfArea,LowerShelf,Book9, 717,721,4,
BookShelfArea,LowerShelf,Books14, 721,723,2,
BookShelfArea,Bookshelf,WoodenShelf, 723,724,1,
BookShelfArea,LowerShelf,Cup1, 724,734,10,
BookShelfArea,LowerShelf,Book9, 734,736,2,
BookShelfArea,Bookshelf,WoodenShelf, 736,754,18,
BookShelfArea,LowerShelf,Plant2, 754,762,8,
BookShelfArea,Bookshelf,WoodenShelf, 762,766,4,
BookShelfArea,Bookshelf,BookshelfDrawer3, 766,769,3,
BookShelfArea,Bookshelf,WoodenShelf, 769,771,2,
OfficeSet,OfficeSet,OfficeTable, 771,791,20,
BookShelfArea,Bookshelf,WoodenShelf, 791,794,3,
BookShelfArea,Bookshelf,BookshelfDrawer3, 794,829,35,
BookShelfArea,Bookshelf,WoodenShelf, 829,833,4,
BookShelfArea,LowerShelf,Plant2, 833,837,4,
BookShelfArea,Bookshelf,WoodenShelf, 837,844,7,
BookShelfArea,UpperShelf,book3, 844,845,1,
BookShelfArea,Bookshelf,WoodenShelf, 845,854,9,
BookShelfArea,UpperShelf,Bookcase, 854,874,20,
BookShelfArea,Bookshelf,WoodenShelf, 874,874,0,
BookShelfArea,UpperShelf,Books15, 874,895,21,
BookShelfArea,Bookshelf,WoodenShelf, 895,897,2,
BookShelfArea,UpperShelf,Bookcase, 897,934,37,
BookShelfArea,UpperShelf,Paperbag, 934,936,2,
BookShelfArea,Bookshelf,WoodenShelf, 936,953,17,
BookShelfArea,Bookshelf,WoodenShelf, 963,963,0,
BookShelfArea,UpperShelf,Books13, 963,982,19,
BookShelfArea,Bookshelf,WoodenShelf, 982,1009,27,
BookShelfArea,UpperShelf,book7, 1009,1010,1,
BookShelfArea,UpperShelf,book11, 1010,1011,1,
BookShelfArea,UpperShelf,book6, 1011,1014,3,
BookShelfArea,UpperShelf,book3, 1014,1021,7,
BookShelfArea,Bookshelf,WoodenShelf, 1021,1039,18,
BookShelfArea,UpperShelf,book3, 1039,1051,12,
BookShelfArea,UpperShelf,book6, 1051,1079,28,
BookShelfArea,UpperShelf,book3, 1079,1121,42,
BookShelfArea,UpperShelf,book6, 1121,1162,41,
BookShelfArea,UpperShelf,book3, 1162,1176,14,
BookShelfArea,UpperShelf,book6, 1176,1181,5,
BookShelfArea,UpperShelf,book3, 1181,1185,4,
BookShelfArea,UpperShelf,book6, 1185,1199,14,
BookShelfArea,UpperShelf,book3, 1199,1269,70,
BookShelfArea,UpperShelf,book6, 1269,1320,51,
BookShelfArea,UpperShelf,book11, 1320,1322,2,
BookShelfArea,UpperShelf,book6, 1322,1369,47,
BookShelfArea,UpperShelf,book11, 1369,1382,13,
BookShelfArea,UpperShelf,book6, 1382,1403,21,
BookShelfArea,UpperShelf,book11, 1403,1423,20,
BookShelfArea,UpperShelf,book7, 1423,1448,25,
BookShelfArea,UpperShelf,book11, 1448,1477,29,
BookShelfArea,UpperShelf,book7, 1477,1492,15,
BookShelfArea,UpperShelf,book6, 1492,1519,27,
BookShelfArea,UpperShelf,book3, 1519,1527,8,
BookShelfArea,Bookshelf,WoodenShelf, 1527,1543,16,
BookShelfArea,UpperShelf,DeskPlant4, 1543,1552,9,
BookShelfArea,Bookshelf,WoodenShelf, 1552,1574,22,
BookShelfArea,UpperShelf,book3, 1574,1588,14,
BookShelfArea,Bookshelf,WoodenShelf, 1588,1631,43,
BookShelfArea,UpperShelf,book3, 1631,1761,130,
BookShelfArea,Bookshelf,WoodenShelf, 1761,1769,8,
BookShelfArea,UpperShelf,book3, 1769,1832,63,
BookShelfArea,UpperShelf,book6, 1832,1843,11,
BookShelfArea,UpperShelf,book3, 1843,1885,42,
BookShelfArea,Bookshelf,WoodenShelf, 1885,1886,1,
BookShelfArea,UpperShelf,book3, 1886,1888,2,
BookShelfArea,Bookshelf,WoodenShelf, 1888,1926,38,
BookShelfArea,UpperShelf,book3, 1926,1933,7,
BookShelfArea,Bookshelf,WoodenShelf, 1933,1934,1,
BookShelfArea,UpperShelf,book3, 1934,1963,29,
BookShelfArea,UpperShelf,Bookcase, 1964,2115,151,
BookShelfArea,UpperShelf,Bookcase, 2159,2176,17,
BookShelfArea,UpperShelf,Bookcase, 2182,2199,17,
BookShelfArea,UpperShelf,Paperbag, 2199,2361,162,
BookShelfArea,Bookshelf,WoodenShelf, 2361,2362,1,
BookShelfArea,UpperShelf,Bookcase, 2362,2370,8,
BookShelfArea,Bookshelf,WoodenShelf, 2370,2371,1,
BookShelfArea,UpperShelf,Books15, 2371,2399,28,
BookShelfArea,UpperShelf,Books16, 2399,2449,50,
BookShelfArea,UpperShelf,Books15, 2449,2475,26,
BookShelfArea,Bookshelf,WoodenShelf, 2475,2484,9,
BookShelfArea,UpperShelf,Books15, 2484,2488,4,
BookShelfArea,Bookshelf,WoodenShelf, 2488,2491,3,
BookShelfArea,UpperShelf,Bookcase, 2491,2504,13,
BookShelfArea,UpperShelf,Paperbag, 2504,2508,4,
BookShelfArea,Bookshelf,WoodenShelf, 2508,2514,6,
BookShelfArea,UpperShelf,Paperbag, 2514,2522,8,
BookShelfArea,Bookshelf,WoodenShelf, 2522,2535,13,
BookShelfArea,UpperShelf,Paperbag, 2535,2539,4,
BookShelfArea,Bookshelf,WoodenShelf, 2539,2550,11,
BookShelfArea,UpperShelf,Paperbag, 2550,2623,73,
BookShelfArea,Bookshelf,WoodenShelf, 2650,2669,19,
BookShelfArea,Bookshelf,WoodenShelf, 2675,2686,11,
BookShelfArea,Bookshelf,WoodenShelf, 2688,2690,2,
BookShelfArea,Bookshelf,WoodenShelf, 2705,2711,6,
BookShelfArea,UpperShelf,Paperbag, 2711,2721,10,
BookShelfArea,Bookshelf,WoodenShelf, 2723,2733,10,
BookShelfArea,UpperShelf,Kettle, 2735,2760,25,
