AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 167,174,7,
CabinArea,CabinetDoors,GothicCabinetDoor3, 174,182,8,
CabinArea,Cabin,GothicCabinet, 334,335,1,
CabinArea,CabinetDoors,GothicCabinetDoor4, 335,363,28,
CabinArea,Cabin,GothicCabinet, 363,367,4,
BookShelfArea,ChairGroup,PlantC1, 367,371,4,
BookShelfArea,RedOfficeChair,RedOfficeChair, 371,372,1,
BookShelfArea,ChairGroup,PlantC1, 372,382,10,
CabinArea,Cabin,GothicCabinet, 382,383,1,
CabinArea,CabinetDoors,GothicCabinetDoor4, 383,400,17,
CabinArea,Cabin,GothicCabinet, 423,424,1,
CabinArea,CabinetDoors,GothicCabinetDoor4, 424,471,47,
CabinArea,LowerCabin,SmallChair2, 471,477,6,
CabinArea,Cabin,GothicCabinet, 477,490,13,
CabinArea,LowerCabin,SmallChair2, 490,504,14,
CabinArea,CabinetDoors,GothicCabinetDoor3, 504,509,5,
CabinArea,LowerCabin,SmallChair2, 509,510,1,
CabinArea,CabinetDoors,GothicCabinetDoor4, 510,526,16,
CabinArea,Cabin,GothicCabinet, 526,526,0,
BookShelfArea,ChairGroup,PlantC1, 527,532,5,
BookShelfArea,RedOfficeChair,RedOfficeChair, 532,548,16,
BookShelfArea,Bookshelf,WoodenShelf, 548,549,1,
BookShelfArea,Bookshelf,WoodenShelf, 554,556,2,
BookShelfArea,Bookshelf,WoodenShelf, 559,560,1,
BookShelfArea,Bookshelf,WoodenShelf, 561,562,1,
BookShelfArea,ShelfSlot4,Books12, 562,575,13,
BookShelfArea,Bookshelf,WoodenShelf, 575,578,3,
BookShelfArea,ChairGroup,PlantC1, 581,582,1,
CabinArea,Cabin,GothicCabinet, 583,588,5,
CabinArea,CabinetDoors,GothicCabinetDoor3, 588,589,1,
LongTableArea,UnderLongTable,YogaBall, 591,595,4,
CabinArea,LoungeChair,LoungeChair, 604,612,8,
CabinArea,LoungeChair,SmallCabinetDrawer1, 612,642,30,
CabinArea,LoungeChair,OpenBook, 642,770,128,
CabinArea,LoungeChair,SmallCabinetDrawer1, 770,785,15,
CabinArea,LoungeChair,OpenBook, 785,807,22,
CabinArea,LoungeChair,Key1, 807,822,15,
CabinArea,LoungeChair,OpenBook, 822,830,8,
CabinArea,LoungeChair,SmallCabinetDrawer1, 830,837,7,
CabinArea,LoungeChair,OpenBook, 837,845,8,
CabinArea,LoungeChair,SmallCabinetDrawer1, 845,863,18,
CabinArea,LoungeChair,OpenBook, 863,867,4,
CabinArea,LoungeChair,SmallCabinetDrawer1, 867,985,118,
CabinArea,LoungeChair,SmallCabinetDrawer2, 985,1002,17,
