AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 0,12,12,
CabinArea,Cabin,GothicCabinet, 61,63,2,
CabinArea,CabinetDoors,GothicCabinetDoor3, 63,74,11,
CabinArea,CabinetDoors,GothicCabinetDoor4, 74,86,12,
CabinArea,Cabin,GothicCabinet, 86,88,2,
BookShelfArea,ChairGroup,PlantC1, 88,97,9,
BookShelfArea,RedOfficeChair,RedOfficeChair, 97,101,4,
BookShelfArea,Bookshelf,WoodenShelf, 101,105,4,
BookShelfArea,LowerShelf,DeskPlant2, 105,109,4,
BookShelfArea,Bookshelf,WoodenShelf, 114,116,2,
BookShelfArea,LowerShelf,Books14, 116,125,9,
BookShelfArea,LowerShelf,Book9, 125,126,1,
BookShelfArea,Bookshelf,WoodenShelf, 132,145,13,
BookShelfArea,LowerShelf,Plant2, 145,156,11,
BookShelfArea,Bookshelf,WoodenShelf, 156,172,16,
BookShelfArea,UpperShelf,book3, 172,184,12,
BookShelfArea,UpperShelf,book6, 184,205,21,
BookShelfArea,UpperShelf,book11, 205,210,5,
BookShelfArea,UpperShelf,book6, 214,216,2,
BookShelfArea,UpperShelf,book6, 225,289,64,
BookShelfArea,UpperShelf,book3, 289,290,1,
BookShelfArea,UpperShelf,book6, 290,319,29,
BookShelfArea,Bookshelf,WoodenShelf, 319,320,1,
BookShelfArea,LowerShelf,Book9, 328,374,46,
BookShelfArea,Bookshelf,WoodenShelf, 374,384,10,
BookShelfArea,LowerShelf,Plant2, 384,394,10,
BookShelfArea,Bookshelf,WoodenShelf, 394,399,5,
BookShelfArea,Bookshelf,BookshelfDrawer3, 399,404,5,
BookShelfArea,Bookshelf,WoodenShelf, 404,405,1,
OfficeSet,OfficeSet,OfficeTable, 405,419,14,
OfficeSet,OfficeChairGroup,OfficeChair, 419,427,8,
OfficeSet,OfficeChairGroup,Plant3, 427,612,185,
OfficeSet,OfficeSet,OfficeTable, 630,633,3,
OfficeSet,OfficeDeskSurface,OpenBook2, 633,637,4,
