frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.782801,1.602605,2.389785]","[4.716486,1.103125,2.496416]","[4.853559,1.660046,2.780544]","[-0.03651348,-0.4968747,0.2904156]","[0.1005595,0.06004631,0.5745437]","[0,0,0,1]","[0.1231854,-0.01891911,0.06955268,-0.9897625]","[-0.5266771,0.1369817,-0.4627841,-0.69977]","[0.2223393,-0.006393004,-0.008093758,-0.9749148]","[-0.5266771,0.1369817,-0.4627841,-0.69977]","[0.2223393,-0.006393004,-0.008093758,-0.9749148]",1.6,
1,"[4.753,0,2.206]","[4.782742,1.602593,2.389822]","[4.71638,1.103108,2.496606]","[4.854142,1.660319,2.781267]","[-0.03661981,-0.4968922,0.2906058]","[0.1011422,0.06031917,0.5752671]","[0,0,0,1]","[0.1229992,-0.0187201,0.06955095,-0.9897896]","[-0.5262646,0.1378329,-0.4626239,-0.7000191]","[0.2209285,-0.01353807,-0.007748238,-0.9751652]","[-0.5262646,0.1378329,-0.4626239,-0.7000191]","[0.2209285,-0.01353807,-0.007748238,-0.9751652]",
2,"[4.753,0,2.206]","[4.782825,1.602667,2.389895]","[4.71638,1.103108,2.496606]","[4.854315,1.660433,2.781416]","[-0.03661981,-0.4968922,0.2906058]","[0.1013156,0.06043342,0.5754163]","[0,0,0,1]","[0.1233601,-0.01885518,0.06958165,-0.98974]","[-0.5262646,0.1378329,-0.4626239,-0.7000191]","[0.2208634,-0.01499827,-0.007402367,-0.9751613]","[-0.5262646,0.1378329,-0.4626239,-0.7000191]","[0.2208634,-0.01499827,-0.007402367,-0.9751613]",
3,"[4.753,0,2.206]","[4.782854,1.602678,2.390001]","[4.716239,1.103132,2.497084]","[4.854702,1.660609,2.782482]","[-0.03676051,-0.4968678,0.2910835]","[0.1017019,0.06060874,0.5764816]","[0,0,0,1]","[0.1239366,-0.01887828,0.06935173,-0.9896836]","[-0.5253355,0.1393932,-0.4621249,-0.7007372]","[0.2195683,-0.01732022,-0.007282812,-0.9754162]","[-0.5253355,0.1393932,-0.4621249,-0.7007372]","[0.2195683,-0.01732022,-0.007282812,-0.9754162]",
4,"[4.753,0,2.206]","[4.78289,1.602737,2.390102]","[4.716326,1.103186,2.497478]","[4.854467,1.660382,2.782635]","[-0.03667354,-0.4968143,0.2914776]","[0.1014678,0.06038167,0.5766354]","[0,0,0,1]","[0.1243076,-0.01874656,0.06938464,-0.9896373]","[-0.5245394,0.1393789,-0.461476,-0.7017634]","[0.2184485,-0.01337967,-0.007469116,-0.9757282]","[-0.5245394,0.1393789,-0.461476,-0.7017634]","[0.2184485,-0.01337967,-0.007469116,-0.9757282]",
5,"[4.753,0,2.206]","[4.782869,1.602732,2.390176]","[4.716492,1.103219,2.497679]","[4.854606,1.660276,2.782951]","[-0.03650817,-0.4967811,0.2916784]","[0.1016057,0.06027631,0.5769511]","[0,0,0,1]","[0.1240808,-0.01872534,0.06930566,-0.9896717]","[-0.5243188,0.1388851,-0.4613445,-0.7021126]","[0.2178408,-0.01501546,-0.007061211,-0.9758433]","[-0.5243188,0.1388851,-0.4613445,-0.7021126]","[0.2178408,-0.01501546,-0.007061211,-0.9758433]",
6,"[4.753,0,2.206]","[4.782759,1.602686,2.390412]","[4.716732,1.10322,2.497831]","[4.85507,1.659854,2.783604]","[-0.03626831,-0.4967796,0.2918306]","[0.1020705,0.05985408,0.5776036]","[0,0,0,1]","[0.1236723,-0.01863477,0.06904221,-0.9897429]","[-0.524402,0.1383437,-0.461431,-0.7021004]","[0.2162341,-0.01980025,-0.00461287,-0.9761299]","[-0.524402,0.1383437,-0.461431,-0.7021004]","[0.2162341,-0.01980025,-0.00461287,-0.9761299]",
7,"[4.753,0,2.206]","[4.782696,1.602629,2.390468]","[4.716877,1.103237,2.497926]","[4.855233,1.659592,2.783695]","[-0.03612265,-0.4967632,0.2919264]","[0.1022335,0.05959164,0.5776946]","[0,0,0,1]","[0.1232895,-0.01843338,0.06848235,-0.9898334]","[-0.5243865,0.1379463,-0.4614925,-0.7021498]","[0.2156327,-0.02084344,-0.003156342,-0.976247]","[-0.5243865,0.1379463,-0.4614925,-0.7021498]","[0.2156327,-0.02084344,-0.003156342,-0.976247]",
8,"[4.753,0,2.206]","[4.78241,1.602518,2.390591]","[4.717615,1.103268,2.498331]","[4.855978,1.657836,2.783353]","[-0.03538455,-0.4967324,0.2923312]","[0.1029777,0.05783619,0.5773526]","[0,0,0,1]","[0.122157,-0.01719321,0.06773967,-0.9900472]","[-0.5243767,0.135321,-0.4621989,-0.7022033]","[0.2143921,-0.02150172,0.003671045,-0.9765041]","[-0.5243767,0.135321,-0.4621989,-0.7022033]","[0.2143921,-0.02150172,0.003671045,-0.9765041]",
9,"[4.753,0,2.206]","[4.782175,1.602455,2.390651]","[4.71817,1.103239,2.498531]","[4.85613,1.656563,2.782959]","[-0.0348294,-0.496761,0.2925314]","[0.1031299,0.05656319,0.5769588]","[0,0,0,1]","[0.1217213,-0.01651088,0.06784379,-0.9901053]","[-0.5245505,0.1333067,-0.4629058,-0.7019932]","[0.2132535,-0.01754695,0.006723543,-0.9768162]","[-0.5245505,0.1333067,-0.4629058,-0.7019932]","[0.2132535,-0.01754695,0.006723543,-0.9768162]",
10,"[4.753,0,2.206]","[4.78175,1.602275,2.39083]","[4.719228,1.103054,2.498733]","[4.856651,1.651564,2.781802]","[-0.03377146,-0.4969457,0.292733]","[0.1036517,0.05156349,0.5758021]","[0,0,0,1]","[0.1206883,-0.01441377,0.0669349,-0.9903264]","[-0.5253636,0.1298401,-0.4643383,-0.7010881]","[0.2100489,-0.00852322,0.01308929,-0.9775661]","[-0.5253636,0.1298401,-0.4643383,-0.7010881]","[0.2100489,-0.00852322,0.01308929,-0.9775661]",
