AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 496,548,52,
CabinArea,Cabin,GothicCabinet, 549,572,23,
CabinArea,Cabin,GothicCabinet, 592,615,23,
CabinArea,Cabin,GothicCabinet, 759,771,12,
CabinArea,Cabin,GothicCabinet, 792,803,11,
CabinArea,Cabin,GothicCabinet, 808,812,4,
CabinArea,LoungeChair,OpenBook, 858,861,3,
CabinArea,LoungeChair,OpenBook, 870,900,30,
CabinArea,LoungeChair,LoungeChair, 900,901,1,
CabinArea,LoungeChair,LoungeChair, 982,983,1,
CabinArea,LoungeChair,OpenBook, 983,1021,38,
CabinArea,LoungeChair,LoungeChair, 1078,1098,20,
CabinArea,LoungeChair,LoungeChair, 1530,1531,1,
CabinArea,LoungeChair,OpenBook, 1531,1548,17,
CabinArea,LoungeChair,OpenBook, 1552,1575,23,
CabinArea,LoungeChair,LoungeChair, 1575,1576,1,
CabinArea,LoungeChair,LoungeChair, 2083,2089,6,
CabinArea,LoungeChair,OpenBook, 2089,2093,4,
CabinArea,LoungeChair,LoungeChair, 2093,2094,1,
CabinArea,LoungeChair,LoungeChair, 2124,2127,3,
CabinArea,LoungeChair,OpenBook, 2127,2150,23,
CabinArea,LoungeChair,LoungeChair, 2150,2152,2,
CabinArea,LoungeChair,LoungeChair, 2166,2174,8,
CabinArea,LoungeChair,OpenBook, 2174,2228,54,
CabinArea,LoungeChair,LoungeChair, 2228,2237,9,
CabinArea,LoungeChair,OpenBook, 2237,2248,11,
CabinArea,LoungeChair,LoungeChair, 2248,2256,8,
CabinArea,LoungeChair,OpenBook, 2256,2304,48,
CabinArea,LoungeChair,LoungeChair, 2304,2306,2,
CabinArea,LoungeChair,LoungeChair, 2320,2343,23,
CabinArea,LoungeChair,OpenBook, 2343,2389,46,
CabinArea,LoungeChair,LoungeChair, 2389,2391,2,
CabinArea,LoungeChair,LoungeChair, 2482,2486,4,
LongTableArea,UnderLongTable,YogaBall, 2500,2503,3,
CabinArea,LoungeChair,LoungeChair, 2565,2567,2,
CabinArea,LoungeChair,OpenBook, 2567,2576,9,
CabinArea,LoungeChair,LoungeChair, 2576,2635,59,
CabinArea,SmallCabinet,SmallCabinetDrawer1, 2635,2664,29,
CabinArea,LoungeChair,LoungeChair, 2664,2704,40,
CabinArea,SmallCabinet,SmallCabinetDrawer1, 2704,2709,5,
CabinArea,LoungeChair,OpenBook, 2709,2713,4,
CabinArea,SmallCabinet,SmallCabinetDrawer1, 2713,2723,10,
CabinArea,LoungeChair,LoungeChair, 2723,2763,40,
CabinArea,LoungeChair,LoungeChair, 2766,2780,14,
CabinArea,LoungeChair,OpenBook, 2780,2789,9,
CabinArea,LoungeChair,LoungeChair, 2789,2796,7,
CabinArea,LoungeChair,OpenBook, 2796,2832,36,
CabinArea,LoungeChair,LoungeChair, 2832,2835,3,
CabinArea,SmallCabinet,SmallCabinetDrawer1, 2835,2865,30,
CabinArea,LoungeChair,OpenBook, 2865,2975,110,
CabinArea,LoungeChair,LoungeChair, 2975,2995,20,
CabinArea,LoungeChair,OpenBook, 2995,3101,106,
CabinArea,LoungeChair,LoungeChair, 3101,3105,4,
CabinArea,LoungeChair,Key1, 3111,3121,10,
CabinArea,LoungeChair,Key1, 3121,3122,1,
CabinArea,Cabin,GothicCabinet, 3236,3240,4,
CabinArea,LoungeChair,Key1, 3261,3275,14,
CabinArea,Cabin,GothicCabinet, 3600,3600,0,
CabinArea,LoungeChair,OpenBook, 3639,3662,23,
CabinArea,LoungeChair,LoungeChair, 3662,3666,4,
CabinArea,Cabin,GothicCabinet, 3719,3721,2,
CabinArea,Cabin,GothicCabinet, 3832,3834,2,
LongTableArea,LongTableSurface,Plant1, 3989,4004,15,
LongTableArea,LongTableSurface,OtherPlant2, 4011,4017,6,
LongTableArea,LongTableSurface,Laptop, 4017,4030,13,
LongTableArea,LongTableSurface,OtherPlant2, 4030,4035,5,
LongTableArea,LongTableSurface,Laptop, 4035,4043,8,
LongTableArea,UnderLongTable,PlantC3, 4048,4053,5,
OfficeSet,BookStack,Books1, 4053,4054,1,
OfficeSet,OfficeDeskSurface,OtherPlantBox, 4072,4111,39,
OfficeSet,OfficeChairGroup,OfficeChair, 4111,4112,1,
OfficeSet,OfficeChairGroup,Plant3, 4112,4143,31,
OfficeSet,OfficeDeskSurface,ComputerMonitor, 4143,4150,7,
BookShelfArea,Bookshelf,WoodenShelf, 4161,4172,11,
OfficeSet,OfficeDeskSurface,ComputerMonitor, 4174,4175,1,
OfficeSet,OfficeDeskSurface,OtherPlantBox, 4180,4184,4,
OfficeSet,OfficeDeskSurface,SushiBox1, 4218,4222,4,
OfficeSet,BookStack,Books1, 4241,4242,1,
OfficeSet,OfficeDeskSurface,OtherPlantBox, 4255,4292,37,
LongTableArea,LongTableSurface,OtherPlant2, 4298,4303,5,
LongTableArea,LongTableSurface,OtherPlant2, 4311,4317,6,
LongTableArea,LongTable,LongTable, 4325,4328,3,
LongTableArea,LongTableSurface,Plant1, 4328,4349,21,
LongTableArea,LongTable,LongTable, 4349,4360,11,
LongTableArea,LongTableSurface,Plant1, 4360,4366,6,
LongTableArea,LongTable,LongTable, 4366,4368,2,
LongTableArea,LongTable,LongTable, 4371,4375,4,
LongTableArea,LongTable,LongTable, 4388,4401,13,
LongTableArea,LongTable,LongTable, 4408,4409,1,
LongTableArea,LongTableSurface,Bookcase1, 4409,4411,2,
LongTableArea,LongTable,LongTable, 4411,4413,2,
LongTableArea,LongTableSurface,Keyboard, 4413,4416,3,
LongTableArea,LongTable,LongTable, 4416,4422,6,
LongTableArea,UnderLongTable,YogaBall, 4424,4427,3,
CabinArea,Cabin,GothicCabinet, 4463,4466,3,
CabinArea,CabinetDoors,GothicCabinetDoor3, 4466,4471,5,
CabinArea,Cabin,GothicCabinet, 4471,4475,4,
CabinArea,Cabin,GothicCabinet, 4486,4492,6,
BookShelfArea,Bookshelf,WoodenShelf, 4510,4516,6,
BookShelfArea,ShelfSlot4,Books12, 4516,4534,18,
BookShelfArea,ShelfSlot4,Books13, 4534,4547,13,
BookShelfArea,ShelfSlot4,Books12, 4547,4552,5,
BookShelfArea,Bookshelf,WoodenShelf, 4552,4554,2,
BookShelfArea,ShelfSlot7,DeskPlant2, 4560,4562,2,
BookShelfArea,Bookshelf,WoodenShelf, 4566,4576,10,
BookShelfArea,Bookshelf,WoodenShelf, 4576,4590,14,
BookShelfArea,ShelfSlot9,Plant2, 4590,4593,3,
BookShelfArea,Bookshelf,WoodenShelf, 4593,4604,11,
BookShelfArea,ShelfSlot9,Plant2, 4604,4621,17,
