frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.758224,1.811185,2.520323]","[4.691022,1.529703,2.653964]","[4.867935,1.728014,2.861273]","[-0.06197789,-0.07029718,0.4479636]","[0.114935,0.128014,0.6552724]","[0,0,0,1]","[-0.1409415,0.0209825,0.008506889,0.989759]","[-0.3598426,-0.02418762,0.1092963,0.9262735]","[-0.189324,-0.02074373,0.03412617,0.9811022]","[-0.3598426,-0.02418762,0.1092963,0.9262735]","[-0.189324,-0.02074373,0.03412617,0.9811022]",1.6,
1,"[4.753,0,2.206]","[4.758499,1.811165,2.520091]","[4.691391,1.529449,2.653831]","[4.867493,1.7285,2.861567]","[-0.06160862,-0.07055084,0.447831]","[0.1144934,0.1285003,0.6555675]","[0,0,0,1]","[-0.1408554,0.02079721,0.008802148,0.9897726]","[-0.3598043,-0.02392552,0.1078312,0.9264669]","[-0.1852748,-0.02184896,0.0442412,0.9814472]","[-0.3598043,-0.02392552,0.1078312,0.9264669]","[-0.1852748,-0.02184896,0.0442412,0.9814472]",
2,"[4.753,0,2.206]","[4.758899,1.81096,2.519952]","[4.692727,1.528836,2.653375]","[4.869135,1.729674,2.860938]","[-0.06027293,-0.07116396,0.4473754]","[0.1161355,0.1296735,0.654938]","[0,0,0,1]","[-0.1405915,0.02036722,0.009019732,0.9898171]","[-0.3584382,-0.02189192,0.1061156,0.9272445]","[-0.1852524,-0.01666707,0.02703428,0.9821777]","[-0.3584382,-0.02189192,0.1061156,0.9272445]","[-0.1852524,-0.01666707,0.02703428,0.9821777]",
3,"[4.753,0,2.206]","[4.759247,1.810989,2.519576]","[4.693094,1.528676,2.65323]","[4.869737,1.730053,2.860709]","[-0.05990618,-0.0713245,0.4472296]","[0.116737,0.1300528,0.6547086]","[0,0,0,1]","[-0.1403331,0.02006897,0.009297438,0.9898573]","[-0.3581435,-0.02125731,0.1058253,0.9274063]","[-0.1845358,-0.01623108,0.02240374,0.9824364]","[-0.3581435,-0.02125731,0.1058253,0.9274063]","[-0.1845358,-0.01623108,0.02240374,0.9824364]",
4,"[4.753,0,2.206]","[4.75947,1.811257,2.519088]","[4.693786,1.528444,2.652819]","[4.870327,1.730789,2.860152]","[-0.05921406,-0.07155556,0.4468188]","[0.1173277,0.130789,0.6541514]","[0,0,0,1]","[-0.1406045,0.0186317,0.009332119,0.9898465]","[-0.3581279,-0.02055899,0.1053911,0.9274775]","[-0.1830381,-0.01493741,0.02189582,0.9827484]","[-0.3581279,-0.02055899,0.1053911,0.9274775]","[-0.1830381,-0.01493741,0.02189582,0.9827484]",
5,"[4.753,0,2.206]","[4.759752,1.811205,2.51892]","[4.694065,1.528346,2.6527]","[4.870182,1.731015,2.859636]","[-0.05893516,-0.07165357,0.4467003]","[0.1171821,0.1310148,0.653636]","[0,0,0,1]","[-0.1411578,0.01784021,0.009511971,0.9897807]","[-0.3578617,-0.02050422,0.1052284,0.9275999]","[-0.1849045,-0.01489047,0.02476418,0.9823316]","[-0.3578617,-0.02050422,0.1052284,0.9275999]","[-0.1849045,-0.01489047,0.02476418,0.9823316]",
6,"[4.753,0,2.206]","[4.759659,1.811539,2.518675]","[4.694324,1.528177,2.652555]","[4.870433,1.731738,2.858295]","[-0.05867533,-0.07182272,0.4465547]","[0.1174329,0.1317382,0.6522948]","[0,0,0,1]","[-0.1420222,0.01697494,0.009803353,0.9896694]","[-0.3576059,-0.02087164,0.1056716,0.92764]","[-0.1883954,-0.01520154,0.02863218,0.9815581]","[-0.3576059,-0.02087164,0.1056716,0.92764]","[-0.1883954,-0.01520154,0.02863218,0.9815581]",
7,"[4.753,0,2.206]","[4.759604,1.811796,2.518514]","[4.694382,1.52814,2.652462]","[4.870632,1.7322,2.856997]","[-0.05861745,-0.07185958,0.4464619]","[0.1176318,0.1321995,0.6509966]","[0,0,0,1]","[-0.1427234,0.01639311,0.009843582,0.9895779]","[-0.3576684,-0.02135322,0.1061373,0.9275517]","[-0.191769,-0.01597249,0.02984085,0.9808563]","[-0.3576684,-0.02135322,0.1061373,0.9275517]","[-0.191769,-0.01597249,0.02984085,0.9808563]",
8,"[4.753,0,2.206]","[4.759566,1.812069,2.518361]","[4.694602,1.528049,2.652329]","[4.87072,1.732463,2.856077]","[-0.05839713,-0.07195139,0.4463286]","[0.1177206,0.1324626,0.6500769]","[0,0,0,1]","[-0.1434389,0.01577821,0.00995428,0.9894834]","[-0.3573907,-0.02177682,0.1065898,0.927597]","[-0.1936089,-0.01655125,0.03006037,0.9804785]","[-0.3573907,-0.02177682,0.1065898,0.927597]","[-0.1936089,-0.01655125,0.03006037,0.9804785]",
9,"[4.753,0,2.206]","[4.75982,1.812378,2.518]","[4.695032,1.527904,2.652261]","[4.870767,1.732675,2.855287]","[-0.05796822,-0.0720961,0.4462604]","[0.1177668,0.1326752,0.6492873]","[0,0,0,1]","[-0.144528,0.01505844,0.01018616,0.9893337]","[-0.3563948,-0.02234233,0.1070935,0.9279087]","[-0.1933365,-0.01734844,0.03083254,0.9804945]","[-0.3563948,-0.02234233,0.1070935,0.9279087]","[-0.1933365,-0.01734844,0.03083254,0.9804945]",
10,"[4.753,0,2.206]","[4.760029,1.812487,2.517864]","[4.695333,1.52782,2.652302]","[4.870812,1.732833,2.854676]","[-0.05766632,-0.07217965,0.4463021]","[0.1178123,0.1328326,0.6486763]","[0,0,0,1]","[-0.1447788,0.01473084,0.01044243,0.9892993]","[-0.3554799,-0.02265453,0.1071829,0.9282417]","[-0.1931443,-0.01865065,0.03148349,0.9804878]","[-0.3554799,-0.02265453,0.1071829,0.9282417]","[-0.1931443,-0.01865065,0.03148349,0.9804878]",
