frame,gazeStartPos,
0,"[4.918181,2.000288,3.983617]",
1,"[4.918094,2.000201,3.983617]",
2,"[4.917948,2.000037,3.983616]",
3,"[4.91768,1.99969,3.983616]",
4,"[4.916918,1.999108,3.983614]",
5,"[4.916298,1.998794,3.983614]",
6,"[4.914704,1.998421,3.983613]",
7,"[4.913886,1.99836,3.983613]",
8,"[4.912386,1.998476,3.983613]",
9,"[4.909263,1.999515,3.983615]",
10,"[4.907743,2.000165,3.983617]",
11,"[4.906779,2.001457,3.983619]",
12,"[4.907139,2.002066,3.983621]",
13,"[4.958104,2.012964,3.983644]",
14,"[4.972686,2.015664,3.983649]",
15,"[4.990085,2.018357,3.983655]",
16,"[4.997746,2.018964,3.983656]",
17,"[5.008314,2.018898,3.983656]",
18,"[5.012626,2.018412,3.983655]",
19,"[5.015986,2.018006,3.983654]",
20,"[5.020736,2.017479,3.983653]",
21,"[5.0221,2.018313,3.983655]",
22,"[5.015136,2.024858,3.983668]",
23,"[5.008434,2.02978,3.983679]",
24,"[4.991722,2.041931,3.983704]",
25,"[4.983214,2.048136,3.983717]",
26,"[4.97679,2.052514,3.983726]",
27,"[4.96854,2.057322,3.983736]",
28,"[4.965389,2.058719,3.983739]",
29,"[4.961381,2.060226,3.983742]",
30,"[4.959966,2.060556,3.983743]",
31,"[4.958632,2.060822,3.983744]",
32,"[4.957989,2.060907,3.983744]",
33,"[4.956524,2.064105,3.983751]",
34,"[4.953932,2.068449,3.98376]",
35,"[4.952628,2.07058,3.983764]",
36,"[4.951271,2.070934,3.983765]",
37,"[4.950668,2.071129,3.983765]",
38,"[4.949514,2.069336,3.983762]",
39,"[4.948824,2.065801,3.983754]",
40,"[4.948043,2.059883,3.983742]",
41,"[4.948875,2.055584,3.983733]",
42,"[4.949762,2.051263,3.983724]",
43,"[4.952124,2.040504,3.983701]",
44,"[4.953693,2.033233,3.983686]",
45,"[4.956219,2.016975,3.983652]",
46,"[4.957115,2.008511,3.983634]",
47,"[4.959503,1.993919,3.983603]",
48,"[4.961278,1.988332,3.983592]",
49,"[4.96268,1.984654,3.983584]",
50,"[4.964159,1.984911,3.983585]",
51,"[4.98474,2.033053,3.983685]",
52,"[5.001482,2.068543,3.98376]",
53,"[5.006322,2.077715,3.983779]",
54,"[5.012967,2.090958,3.983807]",
55,"[5.01478,2.095352,3.983816]",
56,"[5.018172,2.10121,3.983828]",
57,"[5.020314,2.104032,3.983834]",
58,"[5.022572,2.106451,3.983839]",
59,"[5.141758,2.123214,3.983874]",
60,"[5.165882,2.126441,3.983881]",
61,"[5.386422,2.158144,3.983948]",
62,"[5.412658,2.162739,3.983957]",
63,"[5.629519,2.202021,3.957222]",
64,"[5.95,2.314827,4.311447]",
65,"[5.95,2.304205,4.254026]",
66,"[5.95,2.2871,4.195786]",
67,"[5.95,2.282557,4.179397]",
68,"[5.95,2.277765,4.169109]",
69,"[5.95,2.276292,4.166255]",
70,"[5.95,2.274229,4.162384]",
71,"[5.95,2.27347,4.161898]",
72,"[5.95,2.272727,4.161465]",
73,"[5.537612,2.176836,3.978379]",
74,"[5.514658,2.174084,3.983981]",
75,"[5.476838,2.164412,3.983961]",
76,"[5.466913,2.16136,3.983954]",
77,"[5.453735,2.156222,3.983943]",
78,"[5.449363,2.154186,3.983939]",
79,"[5.443387,2.151492,3.983933]",
80,"[5.440811,2.150265,3.983931]",
81,"[5.438657,2.14924,3.983929]",
82,"[5.436574,2.148656,3.983928]",
83,"[5.435718,2.148444,3.983927]",
84,"[5.433566,2.14788,3.983926]",
85,"[5.432012,2.147448,3.983925]",
86,"[5.415144,2.144908,3.98392]",
87,"[5.009331,2.074017,3.983771]",
88,"[4.992409,2.071084,3.983765]",
