frame,gazeStartPos,
0,"[4.041056,2.052291,3.951105]",
1,"[4.040832,2.052199,3.951098]",
2,"[4.040681,2.05211,3.951096]",
3,"[4.040577,2.052013,3.951096]",
4,"[4.040413,2.051801,3.951098]",
5,"[4.040343,2.051708,3.9511]",
6,"[4.040275,2.051619,3.951101]",
7,"[4.040184,2.051521,3.951102]",
8,"[4.040184,2.051521,3.951102]",
9,"[4.040078,2.051398,3.951103]",
10,"[4.039927,2.051212,3.951105]",
11,"[4.03974,2.050879,3.951113]",
12,"[4.039516,2.050373,3.951128]",
13,"[4.039281,2.049839,3.951145]",
14,"[4.03855,2.048842,3.95116]",
15,"[4.037957,2.048274,3.95116]",
16,"[4.037421,2.047655,3.951093]",
17,"[4.036899,2.046841,3.950904]",
18,"[4.036269,2.045687,3.950653]",
19,"[4.035328,2.044264,3.950667]",
20,"[4.034027,2.042377,3.950857]",
21,"[4.031966,2.040844,3.953299]",
22,"[4.029765,2.039191,3.956261]",
23,"[4.027964,2.037101,3.957206]",
24,"[4.024247,2.032242,3.957183]",
25,"[4.022072,2.029534,3.95717]",
26,"[3.723998,2.283225,5.04]",
27,"[3.718947,2.274582,5.04]",
28,"[3.716765,2.270271,5.04]",
29,"[3.712912,2.261658,5.04]",
30,"[3.711351,2.257544,5.04]",
31,"[3.708983,2.250536,5.04]",
32,"[3.708062,2.247316,5.04]",
33,"[3.707434,2.244364,5.04]",
34,"[3.707268,2.241368,5.04]",
35,"[3.707533,2.238019,5.04]",
36,"[3.709311,2.23027,5.04]",
37,"[3.711256,2.225699,5.04]",
38,"[3.717534,2.215617,5.04]",
39,"[3.721524,2.210443,5.04]",
40,"[4.024451,1.974931,3.957184]",
41,"[4.030911,1.969314,3.950545]",
42,"[4.043055,1.959293,3.950362]",
43,"[4.050462,1.953399,3.949923]",
44,"[4.074772,1.936175,3.935175]",
45,"[4.084296,1.930119,3.940331]",
46,"[4.094175,1.924125,3.952113]",
47,"[4.119287,1.909656,3.957767]",
48,"[4.064442,1.956788,4.287682]",
49,"[4.158935,1.892788,3.983392]",
50,"[4.178358,1.884685,3.983375]",
51,"[4.197423,1.876643,3.983358]",
52,"[4.235565,1.861586,3.983326]",
53,"[4.254978,1.854521,3.983312]",
54,"[4.299039,1.840211,3.983282]",
55,"[4.322852,1.83366,3.983268]",
56,"[4.366714,1.82411,3.983248]",
57,"[4.389593,1.819945,3.983239]",
58,"[4.445966,1.809015,3.983216]",
59,"[4.475638,1.802768,3.983203]",
60,"[4.504234,1.796981,3.983191]",
61,"[4.560058,1.786547,3.983169]",
62,"[4.588618,1.781332,3.983158]",
63,"[4.617995,1.776438,3.983148]",
64,"[4.654459,1.770919,3.983136]",
65,"[4.751186,1.752498,3.983098]",
66,"[4.79467,1.742853,3.983078]",
67,"[4.842369,1.733417,3.983058]",
68,"[4.904465,1.723252,3.983037]",
69,"[4.958151,1.717011,3.983024]",
70,"[5.058959,1.706175,3.983001]",
71,"[5.110043,1.701085,3.98299]",
72,"[5.211287,1.693254,3.982974]",
73,"[5.264143,1.689074,3.982965]",
