frame,gazeStartPos,
0,"[4.105752,1.987417,3.955994]",
1,"[4.109276,1.987519,3.957705]",
2,"[4.109276,1.987519,3.957705]",
3,"[4.113041,1.987181,3.957728]",
4,"[4.117257,1.986691,3.957754]",
5,"[4.122387,1.986333,3.961703]",
6,"[4.122387,1.988891,3.981113]",
7,"[4.122387,1.989802,3.988575]",
8,"[4.064414,2.036539,4.187419]",
9,"[4.064413,2.037879,4.194839]",
10,"[4.064412,2.041253,4.211953]",
11,"[4.064411,2.04342,4.222192]",
12,"[4.140397,1.985852,3.983587]",
13,"[4.148551,1.984969,3.983585]",
14,"[4.156492,1.983287,3.983581]",
15,"[4.180119,1.975614,3.983565]",
16,"[4.196336,1.968447,3.98355]",
17,"[4.238659,1.946623,3.983505]",
18,"[4.261918,1.935104,3.98348]",
19,"[4.281909,1.925925,3.983461]",
20,"[4.313632,1.910437,3.983429]",
21,"[4.327552,1.902451,3.983412]",
22,"[4.353744,1.886482,3.983378]",
23,"[4.36683,1.878927,3.983363]",
24,"[4.388686,1.866585,3.983337]",
25,"[4.39848,1.860515,3.983324]",
26,"[4.415847,1.848438,3.983299]",
27,"[4.423754,1.84284,3.983287]",
28,"[4.42999,1.838602,3.983278]",
29,"[4.439174,1.833656,3.983268]",
30,"[4.442362,1.832449,3.983265]",
31,"[4.446936,1.830866,3.983262]",
32,"[4.448406,1.829908,3.98326]",
33,"[4.451206,1.825749,3.983251]",
34,"[4.453071,1.821147,3.983242]",
35,"[4.45767,1.808183,3.983215]",
36,"[4.460684,1.79985,3.983197]",
37,"[4.463698,1.792082,3.983181]",
38,"[4.471218,1.777176,3.98315]",
39,"[4.476113,1.770182,3.983135]",
40,"[4.492393,1.752055,3.983097]",
41,"[4.506307,1.737421,3.983066]",
42,"[4.536881,1.705053,3.982999]",
43,"[4.553053,1.686536,3.98296]",
44,"[4.566216,1.670439,3.982926]",
45,"[4.584887,1.642883,3.982868]",
46,"[4.58953,1.630845,3.982843]",
47,"[4.591896,1.604653,3.982788]",
48,"[4.589922,1.588369,3.982754]",
49,"[4.581344,1.555922,3.982686]",
50,"[4.575425,1.542113,3.982657]",
51,"[4.569251,1.52995,3.982632]",
52,"[4.553814,1.502828,3.982575]",
53,"[4.543569,1.485246,3.982538]",
54,"[4.524239,1.454612,3.982474]",
55,"[4.514293,1.442258,3.982448]",
56,"[4.495464,1.42418,3.98241]",
57,"[4.483348,1.412483,3.982386]",
58,"[4.455883,1.383604,3.982325]",
59,"[4.439176,1.36351,3.982283]",
60,"[4.425754,1.345157,3.982245]",
61,"[4.401679,1.296387,3.978642]",
62,"[4.39478,1.268023,3.949533]",
63,"[4.396262,1.188573,3.923308]",
64,"[4.406475,1.137553,3.907353]",
65,"[4.440347,1.034266,3.904169]",
66,"[4.46438,0.9816827,3.90191]",
67,"[4.490816,0.9360999,3.899425]",
68,"[4.546079,0.8626821,3.894231]",
69,"[4.578362,0.8334495,3.891196]",
70,"[4.632452,0.7948159,3.886111]",
71,"[4.665843,0.7742044,3.882973]",
72,"[4.720686,0.7434886,3.877818]",
73,"[4.754187,0.7283025,3.874669]",
74,"[4.82139,0.718016,3.853426]",
75,"[4.859209,0.704387,3.857936]",
76,"[4.905012,0.687772,3.863397]",
77,"[4.990111,0.6467835,3.873545]",
78,"[5.036891,0.6209463,3.879123]",
79,"[5.12252,0.5803216,3.889333]",
80,"[5.165906,0.5662922,3.894507]",
81,"[5.253331,0.5497953,3.904932]",
82,"[5.29248,0.54823,3.9096]",
83,"[5.32761,0.5461008,3.913789]",
84,"[5.403802,0.5330675,3.922874]",
85,"[5.448665,0.5191302,3.928224]",
86,"[5.558168,0.4684239,3.957659]",
87,"[5.581817,0.4747412,3.92561]",
88,"[5.233094,0.8600593,3.378376]",
89,"[5.241313,0.8769349,3.339371]",
90,"[5.245584,0.8860655,3.319105]",
91,"[5.255416,0.9090592,3.272449]",
92,"[5.264156,0.9295536,3.230972]",
93,"[5.278853,0.9615186,3.161232]",
94,"[5.283246,0.9705453,3.140385]",
95,"[5.382598,0.9298032,3.151857]",
96,"[5.442127,0.9010733,3.164402]",
97,"[5.568689,0.8394053,3.186966]",
98,"[5.584996,0.8454468,3.15299]",
