AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 29,30,1,
CabinArea,Cabin,GothicCabinet, 58,61,3,
BookShelfArea,UpperShelf,Books13, 71,85,14,
BookShelfArea,UpperShelf,book7, 85,92,7,
BookShelfArea,Bookshelf,WoodenShelf, 92,94,2,
BookShelfArea,UpperShelf,Books12, 94,95,1,
BookShelfArea,UpperShelf,Books13, 95,98,3,
CabinArea,Cabin,GothicCabinet, 100,101,1,
CabinArea,Cabin,GothicCabinet, 106,107,1,
CabinArea,Cabin,GothicCabinet, 110,113,3,
BookShelfArea,Bookshelf,WoodenShelf, 156,158,2,
BookShelfArea,Bookshelf,WoodenShelf, 160,161,1,
BookShelfArea,UpperShelf,Kettle, 162,167,5,
BookShelfArea,Bookshelf,WoodenShelf, 167,168,1,
BookShelfArea,UpperShelf,book3, 176,176,0,
BookShelfArea,UpperShelf,DeskPlant4, 177,202,25,
BookShelfArea,UpperShelf,Kettle, 202,205,3,
BookShelfArea,UpperShelf,Paperbag, 205,225,20,
BookShelfArea,Bookshelf,WoodenShelf, 225,226,1,
BookShelfArea,UpperShelf,Bookcase, 226,275,49,
BookShelfArea,Bookshelf,WoodenShelf, 275,275,0,
BookShelfArea,UpperShelf,Books15, 275,276,1,
BookShelfArea,Bookshelf,WoodenShelf, 276,277,1,
CabinArea,Cabin,GothicCabinet, 281,282,1,
CabinArea,Cabin,GothicCabinet, 291,293,2,
CabinArea,Cabin,GothicCabinet, 344,344,0,
BookShelfArea,Bookshelf,WoodenShelf, 346,347,1,
BookShelfArea,UpperShelf,Books13, 347,348,1,
BookShelfArea,Bookshelf,WoodenShelf, 348,348,0,
BookShelfArea,UpperShelf,book6, 349,351,2,
BookShelfArea,UpperShelf,book3, 351,352,1,
BookShelfArea,UpperShelf,Kettle, 352,353,1,
BookShelfArea,UpperShelf,DeskPlant4, 353,360,7,
BookShelfArea,UpperShelf,book3, 360,364,4,
BookShelfArea,UpperShelf,book6, 364,370,6,
BookShelfArea,UpperShelf,book3, 370,379,9,
BookShelfArea,Bookshelf,WoodenShelf, 379,402,23,
BookShelfArea,UpperShelf,book3, 402,433,31,
BookShelfArea,UpperShelf,book6, 433,435,2,
BookShelfArea,UpperShelf,book11, 435,435,0,
BookShelfArea,UpperShelf,book7, 435,436,1,
BookShelfArea,UpperShelf,Books13, 436,438,2,
BookShelfArea,Bookshelf,WoodenShelf, 438,438,0,
CabinArea,Cabin,GothicCabinet, 445,447,2,
CabinArea,Cabin,GothicCabinet, 450,451,1,
BookShelfArea,Bookshelf,WoodenShelf, 474,475,1,
BookShelfArea,UpperShelf,Books12, 475,476,1,
BookShelfArea,Bookshelf,WoodenShelf, 476,477,1,
BookShelfArea,UpperShelf,book7, 477,478,1,
BookShelfArea,UpperShelf,Kettle, 478,480,2,
BookShelfArea,Bookshelf,WoodenShelf, 480,481,1,
BookShelfArea,Bookshelf,WoodenShelf, 485,486,1,
BookShelfArea,UpperShelf,Kettle, 486,489,3,
BookShelfArea,UpperShelf,DeskPlant4, 489,494,5,
BookShelfArea,Bookshelf,WoodenShelf, 495,507,12,
BookShelfArea,UpperShelf,book3, 507,516,9,
BookShelfArea,Bookshelf,WoodenShelf, 516,517,1,
BookShelfArea,UpperShelf,Books13, 517,518,1,
BookShelfArea,Bookshelf,WoodenShelf, 518,519,1,
CabinArea,Cabin,GothicCabinet, 522,523,1,
CabinArea,Cabin,GothicCabinet, 527,528,1,
CabinArea,Cabin,GothicCabinet, 697,699,2,
BookShelfArea,Bookshelf,WoodenShelf, 706,708,2,
BookShelfArea,UpperShelf,Bookcase, 708,713,5,
BookShelfArea,UpperShelf,Paperbag, 713,713,0,
BookShelfArea,Bookshelf,WoodenShelf, 713,715,2,
BookShelfArea,UpperShelf,Bookcase, 715,731,16,
BookShelfArea,Bookshelf,WoodenShelf, 731,731,0,
BookShelfArea,UpperShelf,Bookcase, 731,742,11,
BookShelfArea,UpperShelf,Books15, 742,787,45,
BookShelfArea,Bookshelf,WoodenShelf, 787,800,13,
BookShelfArea,UpperShelf,Books15, 810,824,14,
BookShelfArea,UpperShelf,Books15, 848,864,16,
BookShelfArea,Bookshelf,WoodenShelf, 864,866,2,
BookShelfArea,UpperShelf,Bookcase, 866,885,19,
BookShelfArea,Bookshelf,WoodenShelf, 885,885,0,
BookShelfArea,UpperShelf,Books15, 885,886,1,
CabinArea,Cabin,GothicCabinet, 888,889,1,
CabinArea,Cabin,GothicCabinet, 894,896,2,
CabinArea,Cabin,GothicCabinet, 898,899,1,
BookShelfArea,Bookshelf,WoodenShelf, 925,926,1,
BookShelfArea,Bookshelf,WoodenShelf, 929,930,1,
BookShelfArea,UpperShelf,Bookcase, 930,932,2,
BookShelfArea,UpperShelf,Paperbag, 932,939,7,
BookShelfArea,Bookshelf,WoodenShelf, 939,940,1,
BookShelfArea,UpperShelf,Bookcase, 940,946,6,
BookShelfArea,Bookshelf,WoodenShelf, 946,948,2,
BookShelfArea,UpperShelf,DeskPlant4, 948,950,2,
BookShelfArea,LowerShelf,Plant2, 950,978,28,
BookShelfArea,Bookshelf,WoodenShelf, 978,980,2,
BookShelfArea,LowerShelf,Book9, 980,1010,30,
BookShelfArea,Bookshelf,WoodenShelf, 1010,1010,0,
BookShelfArea,Bookshelf,BookshelfDrawer2, 1010,1018,8,
BookShelfArea,Bookshelf,WoodenShelf, 1018,1025,7,
BookShelfArea,LowerShelf,Books14, 1025,1044,19,
BookShelfArea,Bookshelf,WoodenShelf, 1049,1064,15,
BookShelfArea,LowerShelf,Book9, 1064,1066,2,
BookShelfArea,LowerShelf,Books14, 1066,1075,9,
BookShelfArea,Bookshelf,BookshelfDrawer2, 1075,1122,47,
BookShelfArea,BookshelfDrawer2,book4, 1122,1127,5,
BookShelfArea,BookshelfDrawer2,book4, 1136,1195,59,
BookShelfArea,BookshelfDrawer2,book4, 1241,1248,7,
BookShelfArea,BookshelfDrawer2,book4, 1264,1269,5,
BookShelfArea,Bookshelf,BookshelfDrawer2, 1269,1282,13,
BookShelfArea,Bookshelf,BookshelfDrawer3, 1283,1376,93,
BookShelfArea,BookshelfDrawer3,book5, 1376,1380,4,
BookShelfArea,BookshelfDrawer3,book1, 1381,1383,2,
BookShelfArea,BookshelfDrawer3,book5, 1394,1455,61,
BookShelfArea,Bookshelf,BookshelfDrawer2, 1456,1461,5,
BookShelfArea,Bookshelf,WoodenShelf, 1461,1462,1,
BookShelfArea,LowerShelf,Books14, 1462,1465,3,
BookShelfArea,Bookshelf,WoodenShelf, 1465,1466,1,
BookShelfArea,UpperShelf,Books12, 1468,1469,1,
CabinArea,Cabin,GothicCabinet, 1469,1473,4,
BookShelfArea,ChairGroup,PlantC1, 1493,1494,1,
BookShelfArea,RedOfficeChair,RedOfficeChair, 1494,1495,1,
BookShelfArea,Bookshelf,WoodenShelf, 1495,1496,1,
BookShelfArea,LowerShelf,DeskPlant2, 1496,1498,2,
BookShelfArea,LowerShelf,Cup1, 1498,1499,1,
BookShelfArea,LowerShelf,Books14, 1499,1501,2,
BookShelfArea,Bookshelf,BookshelfDrawer2, 1501,1503,2,
BookShelfArea,BookshelfDrawer3,book1, 1505,1506,1,
OfficeSet,OfficeChairGroup,OfficeChair, 1508,1509,1,
BookShelfArea,Bookshelf,BookshelfDrawer3, 1509,1516,7,
BookShelfArea,BookshelfDrawer3,book1, 1516,1521,5,
BookShelfArea,Bookshelf,BookshelfDrawer3, 1527,1528,1,
BookShelfArea,Bookshelf,BookshelfDrawer3, 1528,1542,14,
BookShelfArea,Bookshelf,WoodenShelf, 1543,1545,2,
BookShelfArea,LowerShelf,Plant2, 1545,1556,11,
BookShelfArea,Bookshelf,WoodenShelf, 1556,1563,7,
BookShelfArea,LowerShelf,Books14, 1563,1563,0,
BookShelfArea,Bookshelf,BookshelfDrawer1, 1563,1574,11,
BookShelfArea,Bookshelf,WoodenShelf, 1574,1574,0,
BookShelfArea,Bookshelf,BookshelfDrawer1, 1574,1610,36,
BookShelfArea,BookshelfDrawer1,SushiBox2, 1610,1616,6,
BookShelfArea,BookshelfDrawer1,SushiBox2, 1629,1640,11,
BookShelfArea,Bookshelf,BookshelfDrawer1, 1640,1666,26,
BookShelfArea,LowerShelf,Cup1, 1666,1668,2,
BookShelfArea,Bookshelf,WoodenShelf, 1668,1670,2,
BookShelfArea,Bookshelf,WoodenShelf, 1693,1694,1,
BookShelfArea,UpperShelf,Books12, 1694,1709,15,
BookShelfArea,UpperShelf,Books13, 1709,1763,54,
BookShelfArea,UpperShelf,Books13, 1800,1801,1,
BookShelfArea,UpperShelf,Books12, 1801,1850,49,
BookShelfArea,Bookshelf,WoodenShelf, 1850,1863,13,
BookShelfArea,UpperShelf,Books13, 1877,1886,9,
BookShelfArea,Bookshelf,WoodenShelf, 1888,1895,7,
BookShelfArea,UpperShelf,Books15, 1895,1917,22,
BookShelfArea,Bookshelf,WoodenShelf, 1917,1918,1,
BookShelfArea,UpperShelf,Bookcase, 1918,1927,9,
BookShelfArea,UpperShelf,Books15, 1927,1934,7,
BookShelfArea,Bookshelf,WoodenShelf, 1934,1935,1,
BookShelfArea,UpperShelf,Bookcase, 1935,1980,45,
BookShelfArea,Bookshelf,WoodenShelf, 1981,1994,13,
BookShelfArea,Bookshelf,WoodenShelf, 2018,2021,3,
BookShelfArea,Bookshelf,WoodenShelf, 2026,2040,14,
BookShelfArea,Bookshelf,WoodenShelf, 2053,2053,0,
BookShelfArea,UpperShelf,Paperbag, 2053,2057,4,
BookShelfArea,UpperShelf,Bookcase, 2057,2057,0,
BookShelfArea,UpperShelf,Paperbag, 2057,2109,52,
BookShelfArea,Bookshelf,WoodenShelf, 2133,2137,4,
BookShelfArea,UpperShelf,Kettle, 2138,2199,61,
BookShelfArea,Bookshelf,WoodenShelf, 2199,2225,26,
BookShelfArea,LowerShelf,Plant2, 2225,2233,8,
BookShelfArea,UpperShelf,Kettle, 2233,2238,5,
BookShelfArea,LowerShelf,Plant2, 2238,2243,5,
BookShelfArea,UpperShelf,Kettle, 2243,2245,2,
BookShelfArea,UpperShelf,DeskPlant4, 2245,2266,21,
BookShelfArea,LowerShelf,Plant2, 2266,2303,37,
BookShelfArea,Bookshelf,WoodenShelf, 2303,2306,3,
BookShelfArea,Bookshelf,WoodenShelf, 2309,2309,0,
BookShelfArea,LowerShelf,Book9, 2311,2312,1,
BookShelfArea,LowerShelf,Books14, 2312,2313,1,
BookShelfArea,Bookshelf,WoodenShelf, 2313,2316,3,
BookShelfArea,UpperShelf,Books12, 2316,2316,0,
BookShelfArea,Bookshelf,WoodenShelf, 2316,2317,1,
CabinArea,Cabin,GothicCabinet, 2529,2530,1,
BookShelfArea,Bookshelf,WoodenShelf, 2534,2534,0,
BookShelfArea,UpperShelf,Books12, 2534,2537,3,
BookShelfArea,Bookshelf,WoodenShelf, 2537,2537,0,
BookShelfArea,UpperShelf,book7, 2537,2538,1,
BookShelfArea,Bookshelf,WoodenShelf, 2538,2540,2,
BookShelfArea,LowerShelf,Plant2, 2542,2543,1,
OfficeSet,OfficeSet,OfficeTable, 2543,2552,9,
BookShelfArea,Bookshelf,WoodenShelf, 2552,2559,7,
BookShelfArea,Bookshelf,BookshelfDrawer3, 2559,2587,28,
BookShelfArea,BookshelfDrawer3,book1, 2587,2595,8,
