AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 0,22,22,
CabinArea,Cabin,GothicCabinet, 48,49,1,
CabinArea,CabinetDoors,GothicCabinetDoor3, 49,77,28,
CabinArea,LowerCabin,PlantC2, 77,78,1,
CabinArea,CabinetDoors,GothicCabinetDoor3, 78,79,1,
CabinArea,Cabin,GothicCabinet, 94,95,1,
CabinArea,Cabin,GothicCabinet, 108,108,0,
CabinArea,CabinetDoors,GothicCabinetDoor3, 108,109,1,
CabinArea,CabinetDoors,GothicCabinetDoor4, 109,111,2,
BookShelfArea,ChairGroup,PlantC1, 111,129,18,
BookShelfArea,RedOfficeChair,RedOfficeChair, 129,129,0,
CabinArea,CabinetDoors,GothicCabinetDoor4, 129,134,5,
CabinArea,Cabin,GothicCabinet, 134,152,18,
CabinArea,Cabin,GothicCabinet, 234,235,1,
CabinArea,LoungeChair,LoungeChair, 237,238,1,
CabinArea,LoungeChair,SmallCabinetDrawer1, 238,265,27,
CabinArea,LoungeChair,OpenBook, 265,268,3,
CabinArea,LoungeChair,Key1, 268,270,2,
CabinArea,LoungeChair,OpenBook, 270,279,9,
CabinArea,Cabin,GothicCabinet, 307,315,8,
CabinArea,LoungeChair,LoungeChair, 317,330,13,
CabinArea,LoungeChair,SmallCabinetDrawer1, 330,353,23,
CabinArea,LoungeChair,LoungeChair, 353,407,54,
CabinArea,LoungeChair,OpenBook, 407,408,1,
CabinArea,LoungeChair,SmallCabinetDrawer1, 408,416,8,
CabinArea,LoungeChair,SmallCabinetDrawer2, 416,419,3,
CabinArea,LoungeChair,LoungeChair, 419,438,19,
CabinArea,LoungeChair,LoungeChair, 466,467,1,
CabinArea,LoungeChair,OpenBook, 467,476,9,
CabinArea,LoungeChair,LoungeChair, 491,492,1,
CabinArea,LoungeChair,OpenBook, 492,500,8,
CabinArea,LoungeChair,SmallCabinetDrawer1, 500,557,57,
CabinArea,LoungeChair,OpenBook, 557,597,40,
CabinArea,LoungeChair,SmallCabinetDrawer1, 597,719,122,
CabinArea,LoungeChair,OpenBook, 719,809,90,
CabinArea,LoungeChair,LoungeChair, 809,814,5,
CabinArea,LoungeChair,OpenBook, 814,888,74,
CabinArea,LoungeChair,LoungeChair, 888,890,2,
CabinArea,LoungeChair,LoungeChair, 908,915,7,
CabinArea,LoungeChair,SmallCabinetDrawer1, 915,915,0,
CabinArea,LoungeChair,OpenBook, 915,963,48,
CabinArea,LoungeChair,SmallCabinetDrawer1, 963,971,8,
CabinArea,LoungeChair,LoungeChair, 971,990,19,
CabinArea,LoungeChair,OpenBook, 990,1170,180,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1170,1212,42,
CabinArea,LoungeChair,OpenBook, 1212,1224,12,
CabinArea,LoungeChair,Key1, 1224,1247,23,
CabinArea,LoungeChair,OpenBook, 1247,1248,1,
CabinArea,LoungeChair,Key1, 1248,1259,11,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1259,1287,28,
CabinArea,LoungeChair,OpenBook, 1287,1313,26,
CabinArea,LoungeChair,Key1, 1313,1316,3,
CabinArea,LoungeChair,OpenBook, 1316,1317,1,
CabinArea,LoungeChair,Key1, 1317,1318,1,
CabinArea,LoungeChair,OpenBook, 1318,1321,3,
CabinArea,LoungeChair,Key1, 1321,1333,12,
CabinArea,LoungeChair,OpenBook, 1333,1334,1,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1334,1377,43,
CabinArea,LoungeChair,Key1, 1377,1380,3,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1380,1393,13,
CabinArea,LoungeChair,Key1, 1393,1396,3,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1396,1628,232,
CabinArea,LoungeChair,LoungeChair, 1628,1652,24,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1652,1663,11,
CabinArea,LoungeChair,OpenBook, 1663,1664,1,
CabinArea,LoungeChair,Key1, 1664,1679,15,
CabinArea,LoungeChair,OpenBook, 1679,1687,8,
CabinArea,LoungeChair,SmallCabinetDrawer1, 1687,1706,19,
CabinArea,Cabin,GothicCabinet, 1706,1707,1,
CabinArea,CabinetDoors,GothicCabinetDoor3, 1707,1727,20,
CabinArea,CabinetDoors,GothicCabinetDoor4, 1727,1740,13,
CabinArea,CabinetDoors,GothicCabinetDoor3, 1740,1772,32,
CabinArea,CabinetDoors,GothicCabinetDoor4, 1772,1774,2,
BookShelfArea,ChairGroup,PlantC1, 1774,1786,12,
CabinArea,CabinetDoors,GothicCabinetDoor4, 1786,1789,3,
BookShelfArea,ChairGroup,PlantC1, 1789,1791,2,
BookShelfArea,Bookshelf,WoodenShelf, 1791,1794,3,
BookShelfArea,Bookshelf,WoodenShelf, 1795,1796,1,
BookShelfArea,Bookshelf,WoodenShelf, 1810,1811,1,
BookShelfArea,LowerShelf,Plant2, 1813,1823,10,
OfficeSet,OfficeSet,OfficeTable, 1823,1841,18,
OfficeSet,OfficeChairGroup,Plant3, 1841,1875,34,
OfficeSet,OfficeChairGroup,OfficeChair, 1875,1892,17,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 1892,1898,6,
OfficeSet,BookStack,Books4, 1898,1899,1,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer2, 1899,1901,2,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer2, 1915,1920,5,
LongTableArea,UnderLongTable,PlantC3, 1932,1936,4,
OfficeSet,BookStack,Books2, 1936,1957,21,
OfficeSet,BookStack,Books3, 1957,1962,5,
LongTableArea,UnderLongTable,PlantC3, 1962,1969,7,
LongTableArea,UnderLongTable,Paperbag, 1976,1978,2,
LongTableArea,LongTable,LongTable, 1978,1992,14,
LongTableArea,UnderLongTable,PlantC3, 1994,2009,15,
OfficeSet,BookStack,Books3, 2009,2034,25,
OfficeSet,BookStack,Books5, 2034,2035,1,
LongTableArea,UnderLongTable,PlantC3, 2058,2059,1,
LongTableArea,UnderLongTable,PlantC3, 2065,2068,3,
OfficeSet,BookStack,Books3, 2068,2077,9,
LongTableArea,UnderLongTable,PlantC3, 2077,2086,9,
OfficeSet,BookStack,Books2, 2086,2107,21,
OfficeSet,BookStack,Books3, 2107,2118,11,
OfficeSet,BookStack,Books5, 2118,2121,3,
OfficeSet,BookStack,Books3, 2146,2160,14,
LongTableArea,UnderLongTable,PlantC3, 2166,2182,16,
LongTableArea,UnderLongTable,PlantC3, 2183,2198,15,
OfficeSet,BookStack,Books3, 2257,2268,11,
LongTableArea,UnderLongTable,PlantC3, 2268,2308,40,
OfficeSet,BookStack,Books5, 2315,2317,2,
OfficeSet,BookStack,Books5, 2318,2319,1,
OfficeSet,BookStack,Books5, 2329,2332,3,
LongTableArea,UnderLongTable,PlantC3, 2332,2339,7,
OfficeSet,BookStack,Books3, 2339,2364,25,
LongTableArea,UnderLongTable,PlantC3, 2364,2380,16,
OfficeSet,BookStack,Books5, 2381,2388,7,
OfficeSet,BookStack,Key4, 2388,2417,29,
OfficeSet,BookStack,Books3, 2417,2493,76,
OfficeSet,BookStack,Key4, 2493,2522,29,
OfficeSet,BookStack,Books3, 2522,2626,104,
OfficeSet,BookStack,Key4, 2626,2663,37,
OfficeSet,BookStack,Books5, 2663,2684,21,
OfficeSet,BookStack,Key4, 2684,2686,2,
OfficeSet,BookStack,Books5, 2686,2697,11,
LongTableArea,UnderLongTable,PlantC3, 2701,2704,3,
OfficeSet,BookStack,Books2, 2704,2727,23,
LongTableArea,UnderLongTable,PlantC3, 2727,2729,2,
LongTableArea,LongTableSurface,Laptop, 2729,2739,10,
LongTableArea,LongTable,LongTable, 2739,2761,22,
LongTableArea,ChargingStation,PowerStrip, 2761,2762,1,
LongTableArea,LongTableSurface,Plant1, 2762,2763,1,
LongTableArea,LongTable,LongTable, 2763,2773,10,
LongTableArea,LongTableSurface,Bookcase1, 2773,2782,9,
CabinArea,LoungeChair,OpenBook, 2786,2789,3,
CabinArea,Cabin,GothicCabinet, 2800,2811,11,
OfficeSet,BookStack,Key4, 2886,2890,4,
OfficeSet,BookStack,Key4, 2902,2905,3,
CabinArea,CabinetDoors,GothicCabinetDoor3, 2905,2920,15,
OfficeSet,BookStack,Key4, 2920,2931,11,
CabinArea,CabinetDoors,GothicCabinetDoor3, 2931,2955,24,
CabinArea,Cabin,GothicCabinet, 2955,2956,1,
OfficeSet,BookStack,Key4, 3043,3071,28,
OfficeSet,BookStack,Key4, 3118,3127,9,
BookShelfArea,Bookshelf,WoodenShelf, 3324,3325,1,
BookShelfArea,UpperShelf,Bookcase, 3325,3333,8,
BookShelfArea,Bookshelf,WoodenShelf, 3333,3335,2,
BookShelfArea,UpperShelf,Paperbag, 3335,3356,21,
BookShelfArea,Bookshelf,WoodenShelf, 3356,3364,8,
BookShelfArea,UpperShelf,Paperbag, 3364,3367,3,
BookShelfArea,Bookshelf,WoodenShelf, 3367,3376,9,
BookShelfArea,UpperShelf,Bookcase, 3376,3394,18,
BookShelfArea,Bookshelf,WoodenShelf, 3394,3395,1,
BookShelfArea,UpperShelf,Books15, 3395,3406,11,
BookShelfArea,Bookshelf,WoodenShelf, 3406,3411,5,
BookShelfArea,UpperShelf,Bookcase, 3411,3418,7,
BookShelfArea,Bookshelf,WoodenShelf, 3418,3421,3,
BookShelfArea,UpperShelf,Books15, 3421,3468,47,
BookShelfArea,Bookshelf,WoodenShelf, 3468,3508,40,
BookShelfArea,UpperShelf,Bookcase, 3508,3523,15,
BookShelfArea,Bookshelf,WoodenShelf, 3523,3534,11,
BookShelfArea,UpperShelf,Books15, 3534,3539,5,
BookShelfArea,Bookshelf,WoodenShelf, 3539,3551,12,
BookShelfArea,UpperShelf,book8, 3551,3572,21,
BookShelfArea,UpperShelf,book8, 3585,3618,33,
BookShelfArea,UpperShelf,Books16, 3658,3669,11,
CabinArea,Cabin,GothicCabinet, 3671,3672,1,
BookShelfArea,UpperShelf,book8, 3672,3673,1,
BookShelfArea,UpperShelf,book8, 3694,3697,3,
BookShelfArea,UpperShelf,book8, 3734,3736,2,
BookShelfArea,UpperShelf,book8, 3736,3738,2,
BookShelfArea,UpperShelf,book8, 3738,3740,2,
BookShelfArea,UpperShelf,book8, 3740,3741,1,
CabinArea,Cabin,GothicCabinet, 3827,3832,5,
CabinArea,Cabin,GothicCabinet, 3835,3836,1,
LongTableArea,UnderLongTable,YogaBall, 3838,3845,7,
LongTableArea,LongTable,LongTable, 3847,3857,10,
LongTableArea,LongTableSurface,Bookcase1, 3857,3867,10,
LongTableArea,LongTable,LongTable, 3867,3870,3,
LongTableArea,UnderLongTable,OtherPlant3, 3883,3924,41,
LongTableArea,UnderLongTable,Paperbag, 3924,3939,15,
LongTableArea,LongTable,LongTable, 3939,3990,51,
LongTableArea,UnderLongTable,OtherPlant3, 3990,4004,14,
LongTableArea,LongTable,LongTable, 4004,4045,41,
LongTableArea,LongTableSurface,Laptop, 4045,4070,25,
LongTableArea,LongTable,LongTable, 4070,4075,5,
LongTableArea,UnderLongTable,PlantC3, 4081,4090,9,
LongTableArea,LongTable,LongTable, 4090,4092,2,
LongTableArea,LongTableSurface,Laptop, 4092,4112,20,
LongTableArea,UnderLongTable,PlantC3, 4112,4113,1,
OfficeSet,BookStack,Books5, 4113,4113,0,
OfficeSet,BookStack,Books3, 4113,4114,1,
OfficeSet,BookStack,Books5, 4114,4115,1,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4115,4120,5,
OfficeSet,OfficeChairGroup,OfficeChair, 4120,4139,19,
OfficeSet,BookStack,Books4, 4163,4163,0,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer2, 4163,4165,2,
OfficeSet,OfficeTableDrawer2,BookStack7, 4165,4166,1,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4166,4176,10,
OfficeSet,OfficeTableDrawer2,BookStack7, 4176,4184,8,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4184,4208,24,
OfficeSet,OfficeSet,OfficeTable, 4208,4228,20,
OfficeSet,OfficeTableDrawer,OfficeTableDrawer1, 4228,4253,25,
LongTableArea,UnderLongTable,PlantC3, 4253,4256,3,
LongTableArea,LongTable,LongTable, 4256,4262,6,
LongTableArea,UnderLongTable,OtherPlant3, 4262,4280,18,
LongTableArea,LongTable,LongTable, 4280,4300,20,
LongTableArea,UnderLongTable,Backpack, 4300,4301,1,
LongTableArea,UnderLongTable,SmallChair, 4303,4319,16,
LongTableArea,UnderLongTable,Backpack, 4320,4344,24,
LongTableArea,LongTable,LongTable, 4344,4362,18,
LongTableArea,UnderLongTable,Backpack, 4362,4407,45,
LongTableArea,LongTableSurface,Bookcase1, 4407,4481,74,
LongTableArea,LongTableSurface,Keyboard, 4481,4501,20,
LongTableArea,LongTableSurface,Bookcase1, 4501,4513,12,
LongTableArea,LongTableSurface,Keyboard, 4513,4514,1,
LongTableArea,LongTable,LongTable, 4514,4519,5,
LongTableArea,LongTableSurface,Plant1, 4519,4595,76,
LongTableArea,LongTableSurface,Bookcase1, 4595,4597,2,
CabinArea,LoungeChair,LoungeChair, 4613,4631,18,
CabinArea,Cabin,GothicCabinet, 4631,4645,14,
CabinArea,LoungeChair,LoungeChair, 4649,4669,20,
CabinArea,LoungeChair,SmallCabinetDrawer1, 4669,4676,7,
CabinArea,LoungeChair,OpenBook, 4676,4678,2,
CabinArea,LoungeChair,Key1, 4678,4683,5,
CabinArea,LoungeChair,OpenBook, 4683,4694,11,
CabinArea,LoungeChair,Key1, 4694,4696,2,
CabinArea,LoungeChair,OpenBook, 4696,4699,3,
CabinArea,LoungeChair,Key1, 4699,4702,3,
CabinArea,LoungeChair,SmallCabinetDrawer1, 4702,4746,44,
CabinArea,LoungeChair,Key1, 4746,4750,4,
CabinArea,LoungeChair,OpenBook, 4750,4764,14,
CabinArea,LoungeChair,Key1, 4764,4765,1,
CabinArea,LoungeChair,OpenBook, 4765,4768,3,
CabinArea,LoungeChair,SmallCabinetDrawer1, 4768,5167,399,
CabinArea,LoungeChair,Key1, 5167,5167,0,
