frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.690025,1.647026,2.632418]","[4.743765,1.705512,3.015822]","[4.816372,1.284596,2.776952]","[-0.009234868,0.1055117,0.8098224]","[0.06337202,-0.3154037,0.5709519]","[0,0,0,1]","[0.2064763,-0.1464686,-0.004532885,-0.9674161]","[-0.262865,-0.03253117,0.03981373,0.9634618]","[0.007392559,0.2472188,-0.1164688,0.9619061]","[-0.262865,-0.03253117,0.03981373,0.9634618]","[0.007392559,0.2472188,-0.1164688,0.9619061]",1.6,
1,"[4.753,0,2.206]","[4.69006,1.646989,2.632386]","[4.744106,1.705575,3.015527]","[4.816309,1.284545,2.776998]","[-0.008893657,0.105575,0.8095271]","[0.06330953,-0.3154553,0.570998]","[0,0,0,1]","[0.2062095,-0.1466197,-0.004646658,-0.9674496]","[-0.2628881,-0.03482815,0.03896188,0.96341]","[0.007453392,0.2472472,-0.1165549,0.9618878]","[-0.2628881,-0.03482815,0.03896188,0.96341]","[0.007453392,0.2472472,-0.1165549,0.9618878]",
2,"[4.753,0,2.206]","[4.690034,1.647001,2.632485]","[4.744548,1.705305,3.015791]","[4.816271,1.284513,2.777025]","[-0.008451916,0.105305,0.8097914]","[0.06327099,-0.3154874,0.5710248]","[0,0,0,1]","[0.2062046,-0.1469458,-0.00475636,-0.9674007]","[-0.2625329,-0.03657097,0.03788771,0.9634851]","[0.007519253,0.2472481,-0.1166041,0.9618812]","[-0.2625329,-0.03657097,0.03788771,0.9634851]","[0.007519253,0.2472481,-0.1166041,0.9618812]",
3,"[4.753,0,2.206]","[4.690076,1.646965,2.632698]","[4.743672,1.705489,3.016579]","[4.816049,1.284402,2.777112]","[-0.009327503,0.1054894,0.8105792]","[0.06304903,-0.3155985,0.5711123]","[0,0,0,1]","[0.2062608,-0.1479474,-0.004860571,-0.9672355]","[-0.2588609,-0.05791129,0.0406571,0.9633194]","[0.007698509,0.2473107,-0.1164202,0.9618859]","[-0.2588609,-0.05791129,0.0406571,0.9633194]","[0.007698509,0.2473107,-0.1164202,0.9618859]",
4,"[4.753,0,2.206]","[4.690215,1.64689,2.632857]","[4.743646,1.704561,3.018862]","[4.815607,1.284361,2.777092]","[-0.009354185,0.1045605,0.8128623]","[0.06260682,-0.3156386,0.5710919]","[0,0,0,1]","[0.2060309,-0.1488605,-0.004880792,-0.9671443]","[-0.2423481,-0.06967628,0.05839133,0.9659209]","[0.007258954,0.2467834,-0.1160116,0.9620741]","[-0.2423481,-0.06967628,0.05839133,0.9659209]","[0.007258954,0.2467834,-0.1160116,0.9620741]",
5,"[4.753,0,2.206]","[4.690319,1.646794,2.632853]","[4.743221,1.704214,3.018845]","[4.815427,1.28439,2.777029]","[-0.009779073,0.1042143,0.8128445]","[0.06242714,-0.3156101,0.5710291]","[0,0,0,1]","[0.2054421,-0.1494125,-0.00440137,-0.9671867]","[-0.2399692,-0.07178984,0.06296975,0.9660724]","[0.006861612,0.2464403,-0.1158616,0.9621831]","[-0.2399692,-0.07178984,0.06296975,0.9660724]","[0.006861612,0.2464403,-0.1158616,0.9621831]",
6,"[4.753,0,2.206]","[4.69083,1.646712,2.632845]","[4.744871,1.702479,3.016624]","[4.815435,1.284479,2.776817]","[-0.0081289,0.1024794,0.8106242]","[0.06243573,-0.3155205,0.5708165]","[0,0,0,1]","[0.205772,-0.1508936,-0.004355902,-0.9668868]","[-0.2564233,-0.05385815,0.05735205,0.9633572]","[0.006118369,0.2466444,-0.1158464,0.9621376]","[-0.2564233,-0.05385815,0.05735205,0.9633572]","[0.006118369,0.2466444,-0.1158464,0.9621376]",
7,"[4.753,0,2.206]","[4.690906,1.646709,2.632817]","[4.746133,1.702124,3.016314]","[4.815505,1.284461,2.776757]","[-0.006866624,0.1021242,0.8103139]","[0.06250457,-0.3155388,0.5707574]","[0,0,0,1]","[0.2058973,-0.1510004,-0.004141136,-0.9668444]","[-0.2605204,-0.04918692,0.0497361,0.962931]","[0.005979632,0.2470007,-0.1158739,0.9620438]","[-0.2605204,-0.04918692,0.0497361,0.962931]","[0.005979632,0.2470007,-0.1158739,0.9620438]",
8,"[4.753,0,2.206]","[4.691217,1.646675,2.632907]","[4.748106,1.700939,3.016117]","[4.815547,1.284451,2.776725]","[-0.004893193,0.1009386,0.8101165]","[0.06254751,-0.3155493,0.5707245]","[0,0,0,1]","[0.2060513,-0.1521831,-0.003772385,-0.9666277]","[-0.2647898,-0.0444392,0.04151008,0.9623868]","[0.005909381,0.2472206,-0.1158656,0.9619887]","[-0.2647898,-0.0444392,0.04151008,0.9623868]","[0.005909381,0.2472206,-0.1158656,0.9619887]",
9,"[4.753,0,2.206]","[4.691871,1.646607,2.632973]","[4.750719,1.699394,3.015625]","[4.81603,1.284396,2.776412]","[-0.002280833,0.09939368,0.8096248]","[0.06302959,-0.3156039,0.5704123]","[0,0,0,1]","[0.2058341,-0.1539061,-0.00283992,-0.9664043]","[-0.2726865,-0.04969286,0.02911197,0.9603776]","[0.00509213,0.2489686,-0.1159578,0.9615313]","[-0.2726865,-0.04969286,0.02911197,0.9603776]","[0.00509213,0.2489686,-0.1159578,0.9615313]",
10,"[4.753,0,2.206]","[4.691938,1.646507,2.633016]","[4.750791,1.699731,3.015491]","[4.816284,1.284401,2.776237]","[-0.002208545,0.09973095,0.8094912]","[0.06328434,-0.3155987,0.5702368]","[0,0,0,1]","[0.2053937,-0.1541927,-0.002239597,-0.9664539]","[-0.2707731,-0.05200519,0.03222724,0.9606971]","[0.004646278,0.2496854,-0.1162027,0.9613181]","[-0.2707731,-0.05200519,0.03222724,0.9606971]","[0.004646278,0.2496854,-0.1162027,0.9613181]",
11,"[4.753,0,2.206]","[4.692117,1.646352,2.633165]","[4.748583,1.701578,3.016343]","[4.816782,1.284367,2.776036]","[-0.004416418,0.1015783,0.8103425]","[0.06378182,-0.3156331,0.5700363]","[0,0,0,1]","[0.205209,-0.154639,-0.001681267,-0.9664229]","[-0.2630522,-0.05578437,0.04153568,0.9622715]","[0.004268351,0.2507088,-0.1169511,0.9609627]","[-0.2630522,-0.05578437,0.04153568,0.9622715]","[0.004268351,0.2507088,-0.1169511,0.9609627]",
12,"[4.753,0,2.206]","[4.692101,1.646349,2.633165]","[4.748537,1.701809,3.016613]","[4.816969,1.284326,2.776026]","[-0.004462639,0.1018089,0.8106135]","[0.06396895,-0.3156741,0.5700257]","[0,0,0,1]","[0.2047599,-0.154577,-0.00188648,-0.9665277]","[-0.2622207,-0.05719308,0.04253734,0.962372]","[0.004420022,0.2512279,-0.1172652,0.9607882]","[-0.2622207,-0.05719308,0.04253734,0.962372]","[0.004420022,0.2512279,-0.1172652,0.9607882]",
13,"[4.753,0,2.206]","[4.69242,1.646315,2.633183]","[4.749771,1.702187,3.016795]","[4.817259,1.284247,2.776041]","[-0.003228961,0.1021873,0.8107954]","[0.06425968,-0.315753,0.5700405]","[0,0,0,1]","[0.2044752,-0.1557448,-0.00137473,-0.9664013]","[-0.2635846,-0.05506545,0.03871853,0.9622847]","[0.004860065,0.2525861,-0.1176762,0.9603797]","[-0.2635846,-0.05506545,0.03871853,0.9622847]","[0.004860065,0.2525861,-0.1176762,0.9603797]",
14,"[4.753,0,2.206]","[4.692574,1.646342,2.633183]","[4.750349,1.702511,3.016783]","[4.81731,1.284239,2.776001]","[-0.002651354,0.1025111,0.8107828]","[0.0643102,-0.3157613,0.5700008]","[0,0,0,1]","[0.2047255,-0.1563075,-0.001175005,-0.9662578]","[-0.2640624,-0.05329644,0.03682791,0.9623275]","[0.004832122,0.2527327,-0.1177538,0.9603317]","[-0.2640624,-0.05329644,0.03682791,0.9623275]","[0.004832122,0.2527327,-0.1177538,0.9603317]",
15,"[4.753,0,2.206]","[4.692773,1.646503,2.633151]","[4.749908,1.70337,3.016772]","[4.817286,1.284253,2.775848]","[-0.003091174,0.1033702,0.8107714]","[0.06428585,-0.3157465,0.5698484]","[0,0,0,1]","[0.2056225,-0.1570788,-0.001146144,-0.9659422]","[-0.2622142,-0.05395574,0.03970629,0.9626817]","[0.004195348,0.252333,-0.1176251,0.9604555]","[-0.2622142,-0.05395574,0.03970629,0.9626817]","[0.004195348,0.252333,-0.1176251,0.9604555]",
16,"[4.753,0,2.206]","[4.692868,1.646531,2.633159]","[4.749974,1.703703,3.016824]","[4.817299,1.284267,2.7758]","[-0.003025734,0.1037033,0.8108235]","[0.06429894,-0.3157334,0.5697997]","[0,0,0,1]","[0.2056031,-0.1572593,-0.001207501,-0.9659169]","[-0.2615876,-0.05414823,0.04031816,0.9628159]","[0.003980107,0.2523203,-0.1177189,0.9604483]","[-0.2615876,-0.05414823,0.04031816,0.9628159]","[0.003980107,0.2523203,-0.1177189,0.9604483]",
17,"[4.753,0,2.206]","[4.693016,1.6465,2.633214]","[4.750967,1.70527,3.016557]","[4.817369,1.284241,2.775705]","[-0.002032773,0.1052702,0.8105572]","[0.06436905,-0.3157591,0.5697046]","[0,0,0,1]","[0.2058455,-0.15704,-0.001264862,-0.9659009]","[-0.2609449,-0.04667612,0.04296172,0.963267]","[0.003633193,0.25248,-0.1181151,0.960359]","[-0.2609449,-0.04667612,0.04296172,0.963267]","[0.003633193,0.25248,-0.1181151,0.960359]",
18,"[4.753,0,2.206]","[4.693084,1.646526,2.633263]","[4.751182,1.705396,3.016347]","[4.817421,1.284196,2.775702]","[-0.001818131,0.1053955,0.8103466]","[0.06442182,-0.3158039,0.5697021]","[0,0,0,1]","[0.2062623,-0.1567877,-0.001528697,-0.9658526]","[-0.2620984,-0.04561593,0.04359998,0.9629759]","[0.003588393,0.2526715,-0.1182236,0.9602955]","[-0.2620984,-0.04561593,0.04359998,0.9629759]","[0.003588393,0.2526715,-0.1182236,0.9602955]",
19,"[4.753,0,2.206]","[4.693165,1.646527,2.633311]","[4.75111,1.705204,3.016251]","[4.817467,1.284157,2.775723]","[-0.001890375,0.1052035,0.8102505]","[0.06446743,-0.315843,0.5697235]","[0,0,0,1]","[0.2064233,-0.1564952,-0.001541776,-0.9658656]","[-0.2633159,-0.04786775,0.04352508,0.9625378]","[0.003580429,0.2528173,-0.1183268,0.9602445]","[-0.2633159,-0.04786775,0.04352508,0.9625378]","[0.003580429,0.2528173,-0.1183268,0.9602445]",
20,"[4.753,0,2.206]","[4.693088,1.646423,2.633537]","[4.751286,1.704244,3.01657]","[4.817731,1.283897,2.776008]","[-0.001714309,0.1042444,0.8105698]","[0.06473096,-0.3161032,0.5700082]","[0,0,0,1]","[0.2058709,-0.1551716,-0.0004577159,-0.9661981]","[-0.2647636,-0.06471088,0.04371193,0.9611462]","[0.003973039,0.2536042,-0.1190249,0.9599491]","[-0.2647636,-0.06471088,0.04371193,0.9611462]","[0.003973039,0.2536042,-0.1190249,0.9599491]",
21,"[4.753,0,2.206]","[4.693113,1.64637,2.633656]","[4.751324,1.703749,3.016769]","[4.817851,1.283784,2.776159]","[-0.001676303,0.1037489,0.8107687]","[0.06485058,-0.3162158,0.5701587]","[0,0,0,1]","[0.2056184,-0.154898,-0.0002500138,-0.9662958]","[-0.2644043,-0.06376525,0.04291944,0.961344]","[0.004315371,0.2539322,-0.1193254,0.9598236]","[-0.2644043,-0.06376525,0.04291944,0.961344]","[0.004315371,0.2539322,-0.1193254,0.9598236]",
22,"[4.753,0,2.206]","[4.693177,1.64632,2.633987]","[4.751444,1.702758,3.017183]","[4.818079,1.283467,2.776586]","[-0.001555228,0.102758,0.8111833]","[0.06507947,-0.3165331,0.5705862]","[0,0,0,1]","[0.2052147,-0.1542758,-0.0003572732,-0.9664811]","[-0.2648955,-0.05816157,0.03913276,0.9617257]","[0.005531433,0.2546816,-0.1198369,0.959555]","[-0.2648955,-0.05816157,0.03913276,0.9617257]","[0.005531433,0.2546816,-0.1198369,0.959555]",
23,"[4.753,0,2.206]","[4.693199,1.646329,2.634246]","[4.751698,1.700494,3.018327]","[4.81811,1.283323,2.776805]","[-0.001302264,0.1004939,0.8123271]","[0.06511033,-0.3166774,0.5708047]","[0,0,0,1]","[0.2052632,-0.1538719,-0.0003098293,-0.9665352]","[-0.2644796,-0.05805085,0.03329886,0.9620665]","[0.006143344,0.2549622,-0.1198786,0.9594715]","[-0.2644796,-0.05805085,0.03329886,0.9620665]","[0.006143344,0.2549622,-0.1198786,0.9594715]",
24,"[4.753,0,2.206]","[4.693143,1.646192,2.634761]","[4.751064,1.696193,3.021086]","[4.817976,1.283235,2.776961]","[-0.001936043,0.09619335,0.8150859]","[0.06497676,-0.3167651,0.5709612]","[0,0,0,1]","[0.2042177,-0.1530104,-0.0002720021,-0.9668934]","[-0.2606947,-0.06344327,0.02445061,0.9630241]","[0.006196772,0.2546358,-0.119765,0.9595721]","[-0.2606947,-0.06344327,0.02445061,0.9630241]","[0.006196772,0.2546358,-0.119765,0.9595721]",
