frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.460256,1.799006,2.507957]","[4.23959,1.00179,2.233851]","[4.205834,1.773603,3.0504]","[-0.5134102,-0.5982104,0.02785105]","[-0.547166,0.173603,0.8443997]","[0,0,0,1]","[-0.02538855,-0.3112331,0.03744628,0.9492561]","[0.6371148,-0.5500978,-0.09930688,0.5306743]","[-0.2081924,-0.1501053,0.1930518,0.9470245]","[0.6371148,-0.5500978,-0.09930688,0.5306743]","[-0.2081924,-0.1501053,0.1930518,0.9470245]",1.6,
1,"[4.753,0,2.206]","[4.460447,1.79898,2.508268]","[4.239696,1.001726,2.235826]","[4.20663,1.77194,3.052696]","[-0.5133044,-0.5982741,0.02982642]","[-0.5463694,0.1719402,0.8466955]","[0,0,0,1]","[-0.02567206,-0.3121939,0.03656271,0.9489674]","[0.6354402,-0.5494658,-0.1023605,0.5327526]","[-0.1908108,-0.148451,0.2005704,0.9493814]","[0.6354402,-0.5494658,-0.1023605,0.5327526]","[-0.1908108,-0.148451,0.2005704,0.9493814]",
2,"[4.753,0,2.206]","[4.460883,1.798765,2.508701]","[4.240099,1.00156,2.236829]","[4.206639,1.770798,3.0531]","[-0.5129004,-0.5984402,0.03082904]","[-0.5463611,0.1707982,0.8470996]","[0,0,0,1]","[-0.02515882,-0.3131712,0.03494375,0.9487201]","[0.6348783,-0.5490837,-0.1027479,0.533741]","[-0.1916832,-0.1491532,0.205394,0.9480634]","[0.6348783,-0.5490837,-0.1027479,0.533741]","[-0.1916832,-0.1491532,0.205394,0.9480634]",
3,"[4.753,0,2.206]","[4.461778,1.798316,2.509045]","[4.241236,1.00109,2.240752]","[4.206249,1.769027,3.052662]","[-0.5117634,-0.5989101,0.03475196]","[-0.5467504,0.1690273,0.8466621]","[0,0,0,1]","[-0.02472597,-0.3136263,0.03319124,0.948644]","[0.6330042,-0.5469244,-0.1033324,0.5380538]","[-0.2032374,-0.1515817,0.2103076,0.9441866]","[0.6330042,-0.5469244,-0.1033324,0.5380538]","[-0.2032374,-0.1515817,0.2103076,0.9441866]",
4,"[4.753,0,2.206]","[4.462248,1.797972,2.509172]","[4.241566,1.000959,2.242575]","[4.205983,1.768762,3.051994]","[-0.5114335,-0.5990406,0.03657471]","[-0.5470173,0.1687619,0.8459943]","[0,0,0,1]","[-0.02431591,-0.313615,0.03298519,0.9486656]","[0.6322816,-0.5457183,-0.1037989,0.5400346]","[-0.2068407,-0.1552232,0.2070344,0.9435356]","[0.6322816,-0.5457183,-0.1037989,0.5400346]","[-0.2068407,-0.1552232,0.2070344,0.9435356]",
5,"[4.753,0,2.206]","[4.462532,1.797791,2.509197]","[4.241762,1.000891,2.244435]","[4.205626,1.768553,3.051236]","[-0.5112383,-0.5991092,0.03843464]","[-0.5473741,0.1685525,0.845236]","[0,0,0,1]","[-0.02372893,-0.313603,0.0327851,0.9486913]","[0.631014,-0.5448518,-0.1052935,0.5420989]","[-0.2116389,-0.1582621,0.2056444,0.9422699]","[0.631014,-0.5448518,-0.1052935,0.5420989]","[-0.2116389,-0.1582621,0.2056444,0.9422699]",
6,"[4.753,0,2.206]","[4.46299,1.797982,2.509477]","[4.241517,1.001107,2.247068]","[4.204941,1.768915,3.048946]","[-0.511483,-0.5988927,0.04106792]","[-0.5480585,0.1689149,0.8429458]","[0,0,0,1]","[-0.02370646,-0.3140582,0.03213504,0.9485635]","[0.6283118,-0.5457119,-0.1079622,0.5438447]","[-0.2232398,-0.1615457,0.2093553,0.9382097]","[0.6283118,-0.5457119,-0.1079622,0.5438447]","[-0.2232398,-0.1615457,0.2093553,0.9382097]",
7,"[4.753,0,2.206]","[4.463322,1.79815,2.509631]","[4.241244,1.001306,2.247741]","[4.204933,1.769196,3.048592]","[-0.5117561,-0.5986943,0.04174139]","[-0.5480669,0.1691963,0.8425916]","[0,0,0,1]","[-0.02447999,-0.3144872,0.03181736,0.9484125]","[0.6274815,-0.5469801,-0.1076518,0.5435907]","[-0.2225317,-0.1608487,0.2099928,0.9383552]","[0.6274815,-0.5469801,-0.1076518,0.5435907]","[-0.2225317,-0.1608487,0.2099928,0.9383552]",
8,"[4.753,0,2.206]","[4.463763,1.798296,2.509786]","[4.241053,1.001534,2.248418]","[4.205249,1.769611,3.049016]","[-0.5119466,-0.5984658,0.04241819]","[-0.5477504,0.1696105,0.8430156]","[0,0,0,1]","[-0.02535607,-0.3147907,0.03159239,0.9482962]","[0.6267552,-0.5480626,-0.1070923,0.5434489]","[-0.2171347,-0.159762,0.209233,0.9399735]","[0.6267552,-0.5480626,-0.1070923,0.5434489]","[-0.2171347,-0.159762,0.209233,0.9399735]",
9,"[4.753,0,2.206]","[4.46463,1.79879,2.509821]","[4.241066,1.002115,2.250445]","[4.205294,1.770384,3.048736]","[-0.5119343,-0.5978845,0.0444449]","[-0.5477055,0.1703839,0.8427355]","[0,0,0,1]","[-0.0268023,-0.3148057,0.03046116,0.9482885]","[0.6246612,-0.5482388,-0.1080709,0.5454845]","[-0.2202466,-0.1629321,0.2076476,0.9390565]","[0.6246612,-0.5482388,-0.1080709,0.5454845]","[-0.2202466,-0.1629321,0.2076476,0.9390565]",
10,"[4.753,0,2.206]","[4.466003,1.798903,2.509796]","[4.241323,1.002578,2.251971]","[4.204859,1.773113,3.046775]","[-0.5116761,-0.5974222,0.04597112]","[-0.548141,0.1731134,0.840775]","[0,0,0,1]","[-0.02751632,-0.3146586,0.03047897,0.9483163]","[0.6239139,-0.5464457,-0.1098597,0.5477768]","[-0.2368352,-0.1715999,0.2053718,0.933962]","[0.6239139,-0.5464457,-0.1098597,0.5477768]","[-0.2368352,-0.1715999,0.2053718,0.933962]",
