AreaName,ParentName,GazeObject,startKeyframe,endKeyframe,duration,
CabinArea,Cabin,GothicCabinet, 76,83,7,
CabinArea,CabinetDoors,GothicCabinetDoor3, 83,93,10,
CabinArea,CabinetDoors,GothicCabinetDoor4, 93,95,2,
CabinArea,Cabin,GothicCabinet, 95,97,2,
CabinArea,CabinetDoors,GothicCabinetDoor4, 330,365,35,
CabinArea,CabinetDoors,GothicCabinetDoor3, 365,393,28,
CabinArea,Cabin,GothicCabinet, 393,408,15,
CabinArea,CabinetDoors,GothicCabinetDoor4, 408,560,152,
CabinArea,CabinetDoors,GothicCabinetDoor3, 560,562,2,
CabinArea,LoungeChair,LoungeChair, 562,564,2,
CabinArea,LoungeChair,SmallCabinetDrawer1, 564,571,7,
CabinArea,LoungeChair,OpenBook, 571,578,7,
CabinArea,LoungeChair,LoungeChair, 578,581,3,
LongTableArea,UnderLongTable,YogaBall, 581,584,3,
CabinArea,LoungeChair,LoungeChair, 584,587,3,
CabinArea,LoungeChair,OpenBook, 587,635,48,
CabinArea,LoungeChair,Key1, 635,636,1,
CabinArea,LoungeChair,OpenBook, 636,637,1,
LongTableArea,UnderLongTable,YogaBall, 637,638,1,
LongTableArea,LongTable,LongTable, 640,644,4,
LongTableArea,LongTableSurface,Bookcase1, 644,667,23,
LongTableArea,LongTableSurface,Keyboard, 667,674,7,
LongTableArea,LongTableSurface,Plant1, 674,675,1,
LongTableArea,ChargingStation,PowerStrip, 675,676,1,
LongTableArea,LongTable,LongTable, 676,690,14,
LongTableArea,ChargingStation,PhoneWithCharger, 690,700,10,
LongTableArea,LongTableSurface,Laptop, 700,724,24,
LongTableArea,LongTable,LongTable, 724,725,1,
LongTableArea,LongTableSurface,OtherPlant2, 725,726,1,
LongTableArea,LongTableSurface,Plant1, 726,727,1,
LongTableArea,LongTableSurface,Paper Bottle, 727,728,1,
CabinArea,LoungeChair,LoungeChair, 763,765,2,
CabinArea,LoungeChair,OpenBook, 765,769,4,
CabinArea,LoungeChair,LoungeChair, 769,771,2,
CabinArea,LoungeChair,OpenBook, 771,776,5,
CabinArea,LoungeChair,LoungeChair, 776,776,0,
CabinArea,Cabin,GothicCabinet, 780,788,8,
CabinArea,CabinetDoors,GothicCabinetDoor3, 788,789,1,
