frame,plyr_pos,head_pos,l_hand_pos,r_hand_pos,l_hand_locpos,r_hand_locpos,plyr_rot,head_rot,l_hand_rot,r_hand_rot,l_hand_locrot,r_hand_locrot,camOffset,
0,"[4.753,0,2.206]","[4.177498,1.862008,2.708475]","[4.145374,1.76655,3.081439]","[4.284619,1.607965,2.939667]","[-0.6076259,0.1665499,0.8754389]","[-0.4683806,0.007965047,0.7336665]","[0,0,0,1]","[-0.02094244,-0.02451937,-0.03256454,0.9989493]","[0.1565645,-0.02502359,-0.03808177,-0.9866161]","[0.146908,-0.08683969,0.03093327,-0.9848452]","[0.1565645,-0.02502359,-0.03808177,-0.9866161]","[0.146908,-0.08683969,0.03093327,-0.9848452]",1.6,
1,"[4.753,0,2.206]","[4.17754,1.862412,2.708452]","[4.14674,1.766356,3.080338]","[4.283829,1.608265,2.939915]","[-0.6062598,0.1663559,0.8743379]","[-0.4691707,0.008264894,0.7339146]","[0,0,0,1]","[-0.02235605,-0.02518417,-0.03217728,0.9989147]","[0.1607486,-0.04544662,-0.03948155,-0.9851577]","[0.1480601,-0.08465393,0.02901942,-0.9849212]","[0.1607486,-0.04544662,-0.03948155,-0.9851577]","[0.1480601,-0.08465393,0.02901942,-0.9849212]",
2,"[4.753,0,2.206]","[4.177651,1.862494,2.708471]","[4.147122,1.766174,3.080042]","[4.283561,1.608486,2.939937]","[-0.6058774,0.1661738,0.8740419]","[-0.4694386,0.008486038,0.7339364]","[0,0,0,1]","[-0.02265091,-0.02511186,-0.03220884,0.9989089]","[0.1621639,-0.04852478,-0.03765257,-0.9848505]","[0.1487654,-0.08404145,0.0283992,-0.9848855]","[0.1621639,-0.04852478,-0.03765257,-0.9848505]","[0.1487654,-0.08404145,0.0283992,-0.9848855]",
3,"[4.753,0,2.206]","[4.177381,1.862608,2.708325]","[4.146963,1.766824,3.079893]","[4.283458,1.608617,2.93993]","[-0.606037,0.1668236,0.8738928]","[-0.4695416,0.008616887,0.7339301]","[0,0,0,1]","[-0.02308236,-0.02662102,-0.03092339,0.9989005]","[0.1646514,-0.04956265,-0.03528463,-0.9844737]","[0.1491859,-0.08382021,0.02817517,-0.9848472]","[0.1646514,-0.04956265,-0.03528463,-0.9844737]","[0.1491859,-0.08382021,0.02817517,-0.9848472]",
4,"[4.753,0,2.206]","[4.177174,1.862713,2.708177]","[4.146788,1.767276,3.079754]","[4.283375,1.608742,2.939911]","[-0.6062121,0.1672756,0.8737535]","[-0.4696248,0.008742219,0.7339114]","[0,0,0,1]","[-0.02359739,-0.02824959,-0.02948836,0.9988872]","[0.1665841,-0.04953882,-0.03340662,-0.9842153]","[0.1496176,-0.08366328,0.02801139,-0.9847997]","[0.1665841,-0.04953882,-0.03340662,-0.9842153]","[0.1496176,-0.08366328,0.02801139,-0.9847997]",
5,"[4.753,0,2.206]","[4.17736,1.862617,2.708075]","[4.146325,1.766843,3.07962]","[4.282617,1.610118,2.939538]","[-0.6066746,0.1668431,0.8736199]","[-0.4703826,0.01011797,0.7335376]","[0,0,0,1]","[-0.02417184,-0.02882584,-0.02915977,0.9988666]","[0.160986,-0.05228748,-0.03329207,-0.9850082]","[0.1546645,-0.08220521,0.02570129,-0.9842056]","[0.160986,-0.05228748,-0.03329207,-0.9850082]","[0.1546645,-0.08220521,0.02570129,-0.9842056]",
6,"[4.753,0,2.206]","[4.177451,1.862857,2.708118]","[4.143354,1.768383,3.080794]","[4.28232,1.611036,2.939286]","[-0.6096455,0.1683826,0.8747938]","[-0.4706794,0.01103585,0.7332862]","[0,0,0,1]","[-0.02474671,-0.02907383,-0.02998997,0.9988208]","[0.1402263,-0.06087752,-0.04693766,-0.9871309]","[0.1564321,-0.08122282,0.02488138,-0.9840289]","[0.1402263,-0.06087752,-0.04693766,-0.9871309]","[0.1564321,-0.08122282,0.02488138,-0.9840289]",
7,"[4.753,0,2.206]","[4.177515,1.862948,2.708119]","[4.142635,1.768748,3.080616]","[4.28243,1.611235,2.939243]","[-0.6103646,0.1687481,0.8746154]","[-0.4705703,0.01123483,0.7332428]","[0,0,0,1]","[-0.02452189,-0.02945179,-0.02964668,0.9988255]","[0.1442694,-0.05743927,-0.05119016,-0.9865428]","[0.1561873,-0.08076903,0.02656751,-0.9840611]","[0.1442694,-0.05743927,-0.05119016,-0.9865428]","[0.1561873,-0.08076903,0.02656751,-0.9840611]",
8,"[4.753,0,2.206]","[4.177581,1.862896,2.708098]","[4.143308,1.768292,3.080059]","[4.282482,1.611609,2.939205]","[-0.609692,0.1682916,0.8740588]","[-0.4705176,0.01160895,0.7332051]","[0,0,0,1]","[-0.02388034,-0.02974847,-0.02888565,0.9988545]","[0.1565456,-0.0500722,-0.04525073,-0.9853622]","[0.1560355,-0.07986363,0.02903282,-0.9840894]","[0.1565456,-0.0500722,-0.04525073,-0.9853622]","[0.1560355,-0.07986363,0.02903282,-0.9840894]",
9,"[4.753,0,2.206]","[4.177631,1.862511,2.708035]","[4.141631,1.768846,3.080161]","[4.282353,1.611891,2.939283]","[-0.611369,0.1688458,0.8741611]","[-0.4706461,0.01189109,0.7332833]","[0,0,0,1]","[-0.02281192,-0.03031066,-0.02820083,0.9988822]","[0.17122,-0.03589039,-0.03772234,-0.983856]","[0.1556998,-0.07939757,0.02979785,-0.9841573]","[0.17122,-0.03589039,-0.03772234,-0.983856]","[0.1556998,-0.07939757,0.02979785,-0.9841573]",
10,"[4.753,0,2.206]","[4.177589,1.862332,2.708007]","[4.141552,1.768519,3.080875]","[4.282168,1.611939,2.939388]","[-0.6114478,0.1685191,0.8748751]","[-0.4708317,0.01193912,0.7333878]","[0,0,0,1]","[-0.02238471,-0.03044907,-0.02857607,0.998877]","[0.169866,-0.03417906,-0.03741717,-0.9841632]","[0.1558844,-0.07939415,0.0284978,-0.9841669]","[0.169866,-0.03417906,-0.03741717,-0.9841632]","[0.1558844,-0.07939415,0.0284978,-0.9841669]",
